2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
не обязательно	2	3
ведь если	2	2
связи с	8	5
разного рода	2	6
никогда не	6	7
так же	5	9
этот предмет	2	3
значит и	3	2
в данном	9	9
того или	6	2
есть символ	11	14
к тому	3	3
перед нами	8	5
для нас	16	5
в настоящее	2	3
совсем не	2	4
о которых	3	3
в результате	2	2
с этим	2	3
символа с	5	2
и как	3	6
поэтому и	2	2
едва ли	5	2
точки зрения	5	3
же самое	9	9
знак есть	6	2
от нас	2	3
есть и	2	3
что они	5	3
что символ	6	13
как бы	9	14
что в	8	12
уже не	7	3
сколько угодно	4	3
определенным образом	2	3
нельзя сказать	2	2
кроме того	3	2
начала xx	2	2
или как	3	3
но как	4	6
никак не	9	4
тех или	5	3
он в	2	2
идейной образности	6	4
и о	5	8
являются только	3	2
имеет ничего	3	2
есть ни	3	5
с другими	3	2
заставляет нас	2	2
было бы	8	8
только на	5	4
таким образом	9	6
а в	5	4
это повторяем	2	2
и обозначаемого	2	3
только потому	2	3
итак символ	5	3
ряд отдельных	2	2
но только	6	2
у нас	10	14
всех этих	2	7
с собой	3	2
как нечто	9	8
сразу же	2	2
по существу	2	2
в связи	7	4
в себе	8	15
является не	2	2
что здесь	5	3
только в	19	7
не будем	2	2
ровно ничего	2	4
не имеет	9	2
само собой	2	2
не то	2	2
или иной	8	5
в искусстве	4	3
а это	3	2
если не	3	4
и это	9	9
есть именно	5	5
он будет	2	2
и его	5	3
и только	6	4
не может	7	8
он не	8	3
конца xix	2	2
это тоже	2	2
но что	2	2
не есть	35	29
и если	6	6
мы выше	4	4
по себе	25	15
и тем	9	13
содержит в	3	7
этот раз	3	2
нашего исследования	2	2
тем что	4	7
хотя и	5	6
а только	5	5
говорим о	3	2
собственно говоря	5	2
и следовательно	2	3
есть ее	4	24
в котором	2	5
нас выше	2	2
в том	21	9
символа от	2	3
символа мы	2	7
но в	12	14
понятие символа	3	17
под него	4	2
принцип конструирования	3	2
является символом	3	4
в понятии	2	2
все равно	3	5
мы имеем	2	2
и ее	3	8
как будто	3	3
что это	3	3
и при	2	2
предмета но	2	2
знак то	2	4
его в	3	6
так и	10	12
об этом	3	10
с точки	2	3
в ее	4	3
говорить о	3	6
является в	2	2
