3gram	Losev_VladivirSolovjev_partition_part2_wordlist_3gram	Losev_VladivirSolovjev_partition_part3_wordlist_3gram
для вл соловьева	8	10
как мы знаем	2	4
в конце концов	5	3
вл соловьев был	4	4
так или иначе	2	3
на то что	2	2
вл соловьева с	6	6
с м указ	2	13
вл соловьева не	6	3
во всяком случае	3	6
он никогда не	2	2
сам вл соловьев	7	3
о том что	8	3
никакого отношения к	3	3
у вл соловьева	42	11
сам по себе	2	2
там же с	6	10
в отличие от	3	3
и то что	4	5
вл соловьева но	4	4
к вл соловьеву	2	5
и в его	3	2
вл соловьев написал	2	4
в те времена	5	3
вл соловьева в	8	20
в настоящее время	3	2
в том что	10	9
соловьев никогда не	6	3
как мы видели	3	2
что же касается	5	5
в то время	4	6
вл соловьев называет	7	3
жизни вл соловьева	2	3
здесь вл соловьев	3	3
по вл соловьеву	8	3
необходимо сказать что	5	4
вл соловьева и	10	6
само собой разумеется	2	3
у него в	4	3
вл соловьева это	3	2
л м лопатин	7	3
том что вл	3	2
вопросы философии и	2	2
содержит в себе	4	4
в то же	3	3
с точки зрения	6	3
вл соловьева только	4	2
тем не менее	9	6
что вл соловьев	17	8
никогда не был	4	2
самого вл соловьева	4	3
вл соловьев и	11	4
м указ соч	2	13
философии и психологии	2	2
в данном случае	2	2
вл соловьева то	8	4
вл соловьев не	2	5
же с ]	5	9
на первый план	2	2
вл соловьев никогда	7	3
дело в том	5	3
само по себе	3	2
вл соловьева здесь	2	2
в это время	2	4
ни в каких	2	2
в связи с	2	8
точно так же	4	3
у нас выше	3	3
вл соловьевым и	2	2
вл соловьева к	3	14
вл соловьева мы	5	2
более или менее	5	3
с вл соловьевым	4	2
то же время	2	3
и вл соловьев	2	3
вл соловьева как	10	4
вл соловьев в	7	9
т i с	2	3
философию вл соловьева	6	2
