2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram
между тем	6	3
нужно сказать	2	5
я думаю	2	11
он был	3	3
мы имеем	5	2
такой же	2	5
из этих	6	6
языка пушкина	2	4
пушкин писал	3	5
никогда не	2	5
что это	16	4
в новом	2	4
есть в	2	2
борисе годунове	40	2
к нему	4	2
об этом	5	3
так и	5	9
несмотря на	3	2
речь идет	2	4
с точки	4	8
в своей	4	6
это не	7	8
прежде всего	10	7
это объясняется	2	2
говорить о	3	2
но это	4	6
пушкина к	11	3
со стороны	3	6
как о	2	2
а то	2	2
и в	25	44
но не	2	3
то есть	2	2
если бы	4	9
если в	2	2
в качестве	4	4
для пушкина	13	3
что пушкин	11	8
должна была	4	4
и т	8	30
для него	3	6
где пушкин	2	2
должен был	2	2
отношение к	4	2
ср с	3	2
в такой	2	2
другой стороны	5	7
все это	8	5
то в	4	3
у него	9	2
более что	2	2
по крайней	4	2
пушкина не	3	5
в результате	2	3
с этим	7	3
и с	4	3
в биографии	2	2
уже в	3	2
к которому	3	4
что мы	3	5
гораздо более	2	4
того что	5	9
в отношении	2	9
точки зрения	7	11
том смысле	2	2
пушкина это	8	4
не менее	2	5
ср еще	2	2
в чем	4	3
что он	19	10
так что	11	6
говорит что	5	3
что эта	2	2
была бы	4	5
тем не	2	2
обстоятельство что	5	3
одно из	2	2
что они	2	7
то же	5	5
в целом	4	5
а также	4	2
как бы	6	4
не была	2	2
сих пор	2	7
что в	19	30
во многих	2	3
в которых	2	5
в этом	24	21
на эти	3	7
пушкинской эпохи	2	14
большое значение	2	2
лишь в	4	3
того же	2	3
с которыми	2	2
по мнению	3	3
с одной	2	3
пушкина и	6	13
пушкина что	4	2
той же	2	5
еще не	2	3
в то	7	9
т е	8	15
и для	4	3
так как	3	5
у пушкина	22	8
как раз	3	4
и у	2	2
в статье	2	7
было бы	7	17
в рукописи	4	4
то обстоятельство	5	2
в самом	2	7
таким образом	10	7
должен быть	2	3
а в	6	17
д д	2	6
пушкин по	2	2
и сальери	5	2
в печатном	4	3
этой области	2	5
что для	3	3
до сих	2	7
своего рода	3	3
к сожалению	2	3
борису годунову	3	2
по этому	3	3
на то	5	4
вовсе не	2	19
без всякого	2	2
на вопрос	3	4
все эти	3	5
например в	4	8
как можно	2	2
биографии пушкина	2	6
внимание на	2	3
во всех	2	8
т п	6	9
творчества пушкина	2	5
между прочим	3	2
сочинений пушкина	2	28
не в	6	12
самого пушкина	8	5
такого рода	5	2
у нас	4	11
г и	12	2
точку зрения	2	3
но все	2	4
но также	2	9
и не	10	16
всех этих	3	2
может быть	19	15
пушкина на	4	3
ни в	5	3
в виде	3	3
о том	8	17
и во	2	2
в этой	14	11
в россии	6	4
при помощи	2	2
пушкина как	13	6
что у	2	4
которые в	2	2
что касается	7	3
этом отношении	4	7
и тогда	2	2
что здесь	4	2
только в	6	10
но и	9	10
в другом	3	3
ни на	2	2
что не	2	3
не является	3	3
для этого	2	2
дело не	2	4
то время	4	2
этих двух	2	3
не имеет	2	4
ср в	3	5
бориса годунова	34	15
и более	3	2
в этих	11	2
и за	2	3
для того	2	10
как в	6	13
то что	12	18
как и	4	9
т д	2	21
потому что	5	6
время чумы	2	2
что все	3	2
в которой	4	4
представляет собою	2	2
в каждом	4	3
ответ на	5	3
в борисе	39	2
в области	6	14
и это	5	2
можно назвать	4	2
что этот	3	2
с этой	3	3
отметить что	5	2
и его	3	8
и только	2	3
тем более	3	4
подчеркнуть что	3	2
самом деле	2	11
это слово	3	4
он не	5	2
не может	7	8
в г	12	3
в его	12	9
это место	2	2
крайней мере	4	2
заключается в	2	4
не только	12	18
к борису	2	2
том что	15	29
в какой	3	3
во втором	2	4
пушкина в	21	24
и тем	4	3
во время	3	3
а как	4	2
и такие	2	2
в каком	4	3
в словаре	2	3
в своих	8	2
о которой	2	3
могут быть	2	5
того времени	3	5
в уста	2	3
стиха в	8	2
тем что	19	5
а не	5	16
мы не	2	2
мы находим	2	4
этого слова	2	2
годунова в	2	2
в ней	4	3
думаю что	2	5
же время	3	4
можно найти	2	2
во всяком	4	6
тому что	3	3
пушкина но	3	8
г в	6	5
не было	4	4
в котором	5	5
этому поводу	2	2
в конце	6	3
пушкина с	5	3
ничего не	4	2
в начале	4	3
начиная с	2	2
всяком случае	4	6
одной стороны	3	2
молодой человек	2	2
в том	20	36
это в	4	4
а с	2	3
но в	5	10
и что	3	4
а потому	2	2
с другой	5	9
но он	3	2
в сущности	2	2
время как	4	2
и по	2	5
сказать что	4	7
все же	4	8
академического издания	2	30
случае в	2	4
