2gram	Vinokur_StatiiOPushkine_partition_part3_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram
между тем	3	6
нужно сказать	5	2
я думаю	11	2
он был	3	3
мы имеем	2	5
такой же	5	2
из этих	6	6
языка пушкина	4	2
пушкин писал	5	3
никогда не	5	2
что это	4	16
в новом	4	2
есть в	2	2
борисе годунове	2	40
к нему	2	4
об этом	3	5
так и	9	5
несмотря на	2	3
речь идет	4	2
с точки	8	4
в своей	6	4
это не	8	7
прежде всего	7	10
это объясняется	2	2
говорить о	2	3
но это	6	4
пушкина к	3	11
со стороны	6	3
как о	2	2
а то	2	2
и в	44	25
но не	3	2
то есть	2	2
если бы	9	4
если в	2	2
в качестве	4	4
для пушкина	3	13
что пушкин	8	11
должна была	4	4
и т	30	8
для него	6	3
где пушкин	2	2
должен был	2	2
отношение к	2	4
ср с	2	3
в такой	2	2
другой стороны	7	5
все это	5	8
то в	3	4
у него	2	9
более что	2	2
по крайней	2	4
пушкина не	5	3
в результате	3	2
с этим	3	7
и с	3	4
в биографии	2	2
уже в	2	3
к которому	4	3
что мы	5	3
гораздо более	4	2
того что	9	5
в отношении	9	2
точки зрения	11	7
том смысле	2	2
пушкина это	4	8
не менее	5	2
ср еще	2	2
в чем	3	4
что он	10	19
так что	6	11
говорит что	3	5
что эта	2	2
была бы	5	4
тем не	2	2
обстоятельство что	3	5
одно из	2	2
что они	7	2
то же	5	5
в целом	5	4
а также	2	4
как бы	4	6
не была	2	2
сих пор	7	2
что в	30	19
во многих	3	2
в которых	5	2
в этом	21	24
на эти	7	3
пушкинской эпохи	14	2
большое значение	2	2
лишь в	3	4
того же	3	2
с которыми	2	2
по мнению	3	3
с одной	3	2
пушкина и	13	6
пушкина что	2	4
той же	5	2
еще не	3	2
в то	9	7
т е	15	8
и для	3	4
так как	5	3
у пушкина	8	22
как раз	4	3
и у	2	2
в статье	7	2
было бы	17	7
в рукописи	4	4
то обстоятельство	2	5
в самом	7	2
таким образом	7	10
должен быть	3	2
а в	17	6
д д	6	2
пушкин по	2	2
и сальери	2	5
в печатном	3	4
этой области	5	2
что для	3	3
до сих	7	2
своего рода	3	3
к сожалению	3	2
борису годунову	2	3
по этому	3	3
на то	4	5
вовсе не	19	2
без всякого	2	2
на вопрос	4	3
все эти	5	3
например в	8	4
как можно	2	2
биографии пушкина	6	2
внимание на	3	2
во всех	8	2
т п	9	6
творчества пушкина	5	2
между прочим	2	3
сочинений пушкина	28	2
не в	12	6
самого пушкина	5	8
такого рода	2	5
у нас	11	4
г и	2	12
точку зрения	3	2
но все	4	2
но также	9	2
и не	16	10
всех этих	2	3
может быть	15	19
пушкина на	3	4
ни в	3	5
в виде	3	3
о том	17	8
и во	2	2
в этой	11	14
в россии	4	6
при помощи	2	2
пушкина как	6	13
что у	4	2
которые в	2	2
что касается	3	7
этом отношении	7	4
и тогда	2	2
что здесь	2	4
только в	10	6
но и	10	9
в другом	3	3
ни на	2	2
что не	3	2
не является	3	3
для этого	2	2
дело не	4	2
то время	2	4
этих двух	3	2
не имеет	4	2
ср в	5	3
бориса годунова	15	34
и более	2	3
в этих	2	11
и за	3	2
для того	10	2
как в	13	6
то что	18	12
как и	9	4
т д	21	2
потому что	6	5
время чумы	2	2
что все	2	3
в которой	4	4
представляет собою	2	2
в каждом	3	4
ответ на	3	5
в борисе	2	39
в области	14	6
и это	2	5
можно назвать	2	4
что этот	2	3
с этой	3	3
отметить что	2	5
и его	8	3
и только	3	2
тем более	4	3
подчеркнуть что	2	3
самом деле	11	2
это слово	4	3
он не	2	5
не может	8	7
в г	3	12
в его	9	12
это место	2	2
крайней мере	2	4
заключается в	4	2
не только	18	12
к борису	2	2
том что	29	15
в какой	3	3
во втором	4	2
пушкина в	24	21
и тем	3	4
во время	3	3
а как	2	4
и такие	2	2
в каком	3	4
в словаре	3	2
в своих	2	8
о которой	3	2
могут быть	5	2
того времени	5	3
в уста	3	2
стиха в	2	8
тем что	5	19
а не	16	5
мы не	2	2
мы находим	4	2
этого слова	2	2
годунова в	2	2
в ней	3	4
думаю что	5	2
же время	4	3
можно найти	2	2
во всяком	6	4
тому что	3	3
пушкина но	8	3
г в	5	6
не было	4	4
в котором	5	5
этому поводу	2	2
в конце	3	6
пушкина с	3	5
ничего не	2	4
в начале	3	4
начиная с	2	2
всяком случае	6	4
одной стороны	2	3
молодой человек	2	2
в том	36	20
это в	4	4
а с	3	2
но в	10	5
и что	4	3
а потому	2	2
с другой	9	5
но он	2	3
в сущности	2	2
время как	2	4
и по	5	2
сказать что	7	4
все же	8	4
академического издания	30	2
случае в	4	2
