3gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_3gram
на то что	4	3
по сравнению с	14	5
не в состоянии	2	2
для того чтобы	8	15
вместо того чтобы	2	2
в сущности говоря	4	2
в зависимости от	5	2
одной и той	3	2
друг с другом	5	4
заключается в том	5	6
то время как	5	4
скажем только что	2	2
и тем самым	5	3
на этот вопрос	2	2
именно в этом	2	2
мы могли бы	9	5
по отношению к	10	7
в том что	19	15
к тому что	7	3
может быть выражена	2	2
в то время	6	5
от того что	6	2
вместе с тем	2	5
в этом отношении	3	4
в первую очередь	3	3
с точки зрения	10	18
с самого начала	7	8
и той же	3	2
из того что	3	5
в этом вопросе	2	3
независимо от того	2	2
то же самое	6	3
так же точно	3	9
бы сказать что	2	2
можно сказать что	6	4
нам думается что	5	5
с другой стороны	2	9
можно было бы	5	3
мы не станем	2	4
в школьном возрасте	8	3
не может быть	2	5
так же как	6	5
развития научных понятий	5	2
до сих пор	3	4
могли бы сказать	2	2
при переходе от	5	2
