2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_2gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_2gram
между тем	5	5
как эстетической	2	2
мы имеем	5	6
далеко не	4	6
всего лишь	8	4
в рамках	3	3
из этих	3	2
никогда не	5	2
в свое	2	2
в нем	2	3
и того	3	5
в новом	2	2
несмотря на	2	2
так и	14	4
это не	2	6
с точки	2	4
прежде всего	5	6
со стороны	9	2
в данном	4	2
и в	18	18
но не	7	10
не будет	3	3
имеем дело	4	4
более чем	2	4
не случайно	8	3
вместе с	2	4
то есть	10	11
если в	3	3
к тому	6	7
в качестве	12	31
данном случае	3	2
для него	6	2
в принципе	2	8
здесь не	3	2
именно в	3	4
другой стороны	5	2
то в	2	2
при этом	11	12
как к	2	2
и потому	2	2
целого в	2	4
подобно тому	3	3
однако в	5	3
и как	4	5
что мы	2	3
произведении искусства	2	3
едва ли	3	2
точки зрения	3	6
сводится к	2	5
отношения к	2	2
себя в	4	6
что он	4	3
тому как	2	3
столь же	4	4
нуждается в	2	8
дело с	3	4
вступает в	3	3
мысль о	3	2
то же	3	9
в целом	3	5
целого как	2	2
а также	2	3
как бы	10	5
в противоположность	2	2
представляет собой	5	16
что в	9	5
уже не	5	4
в этом	14	13
эстетического объекта	2	11
роль в	3	2
данного текста	2	2
не всегда	3	4
лишь в	5	5
того же	5	4
с одной	2	3
художественной реальности	3	14
и рецептивная	2	2
той же	5	2
в их	6	5
в мире	5	8
могла бы	2	3
еще не	6	3
в то	3	9
личности в	3	3
было бы	3	2
как уже	2	2
в самом	5	6
и самого	6	2
отличие от	2	6
таким образом	4	3
а напротив	2	2
а в	10	9
на наш	2	6
своего рода	8	3
тогда как	20	14
и т.п	5	5
все эти	2	2
не столько	3	2
в культуре	2	3
не в	6	14
такого рода	5	5
отношению к	7	5
и не	12	21
может быть	9	29
в произведении	3	5
даже в	2	3
в себя	2	6
как правило	5	4
произведения как	2	7
в первом	2	2
одного и	3	2
и все	2	3
состоит в	4	11
о том	6	5
в этой	6	5
воспринимающего сознания	3	5
художественного высказывания	2	2
я и	3	6
и к	4	3
на примере	2	2
в себе	2	11
самого произведения	2	2
наш взгляд	2	6
этом отношении	3	2
не с	2	4
в составе	2	2
только в	2	6
но и	13	17
что не	3	3
не является	5	2
научной идентификации	3	2
дело не	3	3
само произведение	2	2
текста в	6	12
коммуникативного события	11	14
не более	2	4
и сам	4	2
не предполагает	2	2
что и	5	3
вопроса о	2	3
или иной	5	6
мере в	2	3
в искусстве	2	2
то что	2	6
как и	14	13
произведение искусства	4	9
как справедливо	2	3
этого текста	4	2
один из	2	2
только не	3	2
и его	13	5
можно читать	2	2
самом деле	2	2
я в	5	3
он не	6	3
не может	2	22
могли бы	2	2
эстетического отношения	3	8
в его	7	13
как говорит	3	2
не есть	4	8
в той	2	8
с его	8	3
восходящая к	3	2
художественного целого	6	10
по себе	4	4
не только	22	15
можно сказать	4	2
человеческого я	2	2
том что	12	12
этом ряду	2	2
тем самым	4	7
отнюдь не	4	15
говорит и	3	2
на себя	2	2
жизненной позиции	2	2
свое время	2	2
могут быть	2	4
в случае	5	6
той или	3	6
субъекта и	2	4
а не	9	17
этого слова	2	7
в конечном	2	4
же время	3	6
и на	4	5
к тексту	2	2
в тексте	9	5
который в	3	2
в отличие	2	6
есть не	2	8
по своей	2	6
в противовес	2	2
по отношению	7	6
не должен	2	2
в начале	6	2
тому же	3	4
одной стороны	2	3
в том	9	27
иначе говоря	2	9
но в	2	8
на его	2	2
с другой	7	4
конечном счете	2	4
в сущности	5	6
и по	2	2
в пределах	4	2
все же	4	4
в частности	12	19
