2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part5_wordlist_2gram
связи с	3	9
которую мы	2	2
так точно	4	2
никогда не	5	8
так же	15	4
к тому	6	7
отрицательный ответ	2	2
по сравнению	5	5
у ребенка	9	15
в результате	4	3
с этим	3	3
переход от	7	4
и как	3	2
точки зрения	18	26
того как	5	4
же самое	4	2
не дает	2	2
говорит что	5	5
что они	5	3
в целом	4	10
как бы	5	7
что в	16	14
пиаже в	3	8
исследования пиаже	2	3
путь развития	4	2
лежит в	2	3
он в	3	3
той же	4	2
нас к	3	2
учения о	2	2
было бы	10	10
отчета в	2	2
таким образом	19	14
а в	3	4
в первой	2	2
речи к	2	7
что если	4	2
речь ребенка	3	8
высшей степени	2	7
этой теории	5	3
очевидно что	2	3
когда ребенок	3	2
в более	2	2
и т.д	4	12
речь в	3	3
отношению к	12	5
и другое	4	2
в себя	3	2
отдает себе	2	2
с помощью	10	5
по существу	3	5
как показывают	2	2
только в	10	4
помощью которого	2	2
не имеет	4	4
речевого развития	3	3
не то	4	2
только для	2	3
современной психологии	2	2
сравнению с	5	5
и его	3	4
ребенка в	5	10
не может	18	9
он не	8	7
могли бы	6	4
но что	3	2
по себе	7	7
интересующей нас	3	4
и тем	3	2
в них	2	4
тем что	5	2
в теории	4	6
в котором	2	2
сам пиаже	3	6
в том	18	33
не отдает	2	2
но в	6	6
имеет свою	3	2
все равно	2	2
все же	3	4
в совершенно	2	4
приводит к	7	5
в частности	3	6
для ребенка	3	9
эта проблема	2	5
так и	7	8
больше чем	3	2
с точки	9	18
является то	2	2
говорить о	3	2
показал что	3	5
и в	16	15
вместе с	4	6
оба эти	4	2
в качестве	4	4
не станем	2	2
в такой	5	2
все это	2	4
при этом	4	3
этот вопрос	6	5
и с	3	4
к которому	4	6
что мы	4	9
эта теория	4	2
языка и	6	3
все что	2	5
тому как	4	2
что он	25	12
столь же	2	2
с несомненностью	2	2
совершенно в	2	2
вытекает из	3	3
детской речи	2	19
ребенка не	3	5
развития ребенка	11	3
в этом	25	19
должно быть	8	2
это есть	4	2
т.д и	2	2
в их	3	2
но мы	5	3
пиаже и	2	7
как уже	3	2
в самом	4	11
речь не	3	2
мышления и	4	16
отличие от	2	3
об отношении	2	3
ее в	3	2
что для	2	3
которые не	2	2
во всех	2	2
на основе	2	7
значение в	3	3
мысль что	4	6
ребенок усваивает	3	2
и не	12	7
за пределы	4	2
показать что	3	5
психологического развития	2	2
и из	2	2
мы можем	6	10
в одном	3	2
состоит в	6	3
потребность в	4	4
но и	6	10
в другом	6	2
самое что	2	2
того чтобы	17	12
этих двух	3	2
ребенка и	4	4
казалось бы	4	8
для того	14	10
таким же	3	3
потому что	21	7
друг от	4	2
в которой	5	4
он должен	5	2
когда он	2	3
что ребенок	11	8
тем более	4	3
ребенок в	5	4
в его	11	2
чем в	3	2
с ним	5	3
можно сказать	5	2
тем самым	8	3
развитие ребенка	3	2
одной из	3	3
ребенка с	3	4
же как	7	2
мы не	3	10
раньше чем	3	2
указывает на	2	2
должны были	2	3
из которых	3	3
ребенок не	6	2
по отношению	12	6
от друга	4	2
вот почему	3	3
тому чтобы	4	2
а с	2	4
речи является	2	3
на всем	2	2
в зависимости	2	6
можно было	5	5
нам известно	2	4
что она	2	3
в своей	2	4
это не	4	5
прежде всего	3	4
в высшей	2	7
но если	6	2
но не	10	3
и составляет	4	2
речи не	4	2
если бы	8	8
тот же	5	7
для него	5	3
ребенка от	2	2
именно в	4	2
что оно	6	4
у него	6	2
и развития	12	2
мы будем	2	3
к логике	2	2
что с	5	5
развития в	6	6
вопрос об	3	2
во всем	2	2
из виду	2	2
представляет собой	7	2
и их	4	5
на протяжении	2	2
которых он	2	3
своем развитии	5	2
с одной	3	7
детской мысли	12	7
из того	11	4
что между	4	2
они не	3	3
детского мышления	4	23
речи так	3	2
точка зрения	8	3
как известно	4	6
всем протяжении	2	2
вопрос о	12	5
и ошибок	2	5
отношение между	4	6
если мы	7	6
друг с	7	2
тогда когда	5	5
его мысли	3	4
мы видим	4	4
находится в	2	2
внутренней речи	7	5
приводит нас	2	2
больше того	2	3
мы должны	8	6
мышления ребенка	2	3
не является	5	9
в истории	2	6
как он	6	6
речи и	6	15
и более	3	2
в этих	3	2
то что	26	20
мы видели	3	6
что все	6	4
ступень в	3	3
с другом	7	2
стороны и	2	2
говорит он	2	12
с этой	4	2
заключается в	5	8
не только	16	15
том что	15	27
на этот	4	6
могут быть	4	2
мы могли	7	4
от того	3	2
а не	10	3
процессе развития	4	7
и даже	2	5
речи но	2	3
к внутренней	3	5
само по	2	2
отношения между	3	3
во всяком	2	7
сама по	4	2
теории пиаже	3	8
ничего не	5	3
внутренняя речь	7	3
речи как	4	3
другом месте	4	2
в сущности	13	9
сказать что	13	6
к его	3	2
речи в	6	6
зависимости от	2	6
в процессе	13	11
в силу	10	2
процесса развития	2	2
развитии ребенка	3	4
процесс развития	2	3
подобно тому	4	2
по поводу	2	4
и есть	7	2
ребенка как	2	3
общего с	2	2
того что	16	17
в отношении	9	6
в своем	5	9
что эта	3	6
то же	8	5
к этому	3	4
на все	5	2
является для	2	4
ту мысль	2	5
принадлежит к	2	2
того же	7	3
до лет	3	2
так как	16	4
значение для	2	4
развития и	11	3
с их	4	2
нас интересует	2	2
в известном	8	2
вовсе не	2	6
как мы	10	6
на вопрос	5	4
все эти	4	3
не могут	4	2
как это	8	6
мышление ребенка	3	7
не в	6	8
но все	2	2
теории которая	3	2
может быть	9	9
с таким	3	6
мы знаем	3	7
о том	8	9
в этой	6	6
и к	2	6
самый процесс	2	2
своей психологической	2	3
что у	2	3
детской логики	2	2
этом отношении	5	3
что нам	2	4
из них	2	3
что и	3	2
как в	5	4
как и	8	6
в развитии	28	26
показали что	7	2
к которым	2	4
самом деле	3	6
мысль ребенка	4	3
как процесс	3	2
в виду	2	6
что мышление	2	3
речь и	4	5
ту же	2	2
ребенка на	4	2
с развитием	2	4
их в	2	4
но с	2	2
в отличие	2	3
по своей	3	6
только что	5	3
пиаже как	5	5
хотя бы	5	4
те же	2	3
в основе	8	3
речи с	2	5
к этой	3	3
одной стороны	3	7
и что	12	8
с другой	4	6
речи мы	3	4
и по	4	3
