3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_3gram
в конце концов	2	5
с их мирами	2	4
себе еще не	2	2
человека в человеке	2	2
о себе самом	3	9
но все же	2	2
слово о себе	3	2
по отношению к	5	8
но в то	3	5
в большинстве случаев	8	2
том что он	2	4
в самом деле	4	2
в романах достоевского	2	5
в то же	5	9
с точки зрения	8	13
как раз и	2	3
с другой стороны	3	3
можно было бы	3	2
по себе еще	2	2
то перед нами	5	2
и т п	9	3
как бы в	4	2
в произведениях достоевского	3	3
не может быть	4	4
и не может	4	2
в этом смысле	2	10
в творчестве достоевского	2	4
из одного куска	2	2
то же время	5	9
до сих пор	7	2
в одной плоскости	2	5
