2gram	Ircho_Komedia_partition_part2_wordlist_2gram	Ircho_Komedia_partition_part3_wordlist_2gram
между тем	2	4
он был	4	2
и ее	2	2
связи с	5	3
ни было	2	2
при всем	2	3
из комедии	2	5
наряду с	2	6
в нем	3	6
можно было	2	4
кто из	2	2
его в	8	4
к нему	5	3
так и	4	12
больше чем	2	5
из этого	2	2
речь идет	5	3
об этом	7	2
что она	4	2
в своей	5	3
что ни	3	2
в ее	3	2
говорить о	3	2
то ли	4	2
это не	2	2
со стороны	11	2
прежде всего	5	4
ничуть не	6	2
и в	22	26
но если	3	3
в жены	5	2
комедии и	3	4
более чем	5	4
в силу	2	2
вместе с	9	9
если бы	8	9
х годов	2	2
тот же	2	2
к тому	6	12
в качестве	2	5
iv в	5	34
и т	4	2
в комедии	10	19
аттической комедии	6	15
отношение к	5	2
н э	2	7
все это	5	3
у него	4	4
отрывки из	2	3
по всему	3	3
афинах в	2	3
с этим	3	5
и с	4	5
третейском суде	7	7
уже в	2	4
однако в	4	2
перед лицом	2	2
этой комедии	4	2
даже не	3	3
едва ли	7	14
точки зрения	4	4
хвастливого воина	4	4
не менее	5	4
до начала	2	3
что он	8	5
в своем	8	6
столь же	3	9
после этого	2	2
так что	6	5
нет и	4	2
с тем	4	5
дело с	3	3
судя по	3	4
то же	7	3
в целом	3	4
ситуация в	3	3
к этому	6	5
и хотя	2	2
как бы	3	2
к концу	2	3
сих пор	9	2
что в	5	9
за то	2	4
в этом	8	10
плавта и	2	2
менандра с	3	2
бы то	2	2
роль в	2	2
законных детей	5	2
цитаты из	3	2
того же	6	3
о чем	7	3
с одной	3	2
меньше чем	2	2
начала iii	2	2
комедий менандра	3	5
нового времени	2	2
ii в	2	4
в их	2	3
в мире	2	2
еще не	6	6
в изображении	2	2
в самиянке	12	7
в то	6	6
и для	4	4
так как	11	4
в комедиях	2	5
в брюзге	2	11
по имени	3	4
меньше всего	4	4
как в	2	3
античной литературы	2	5
было бы	3	8
с планго	5	2
в самом	9	4
на основании	2	5
со временем	3	3
в афинах	6	10
отличие от	2	2
в остриженной	2	2
таким образом	12	6
о его	2	4
у того	3	2
а в	7	3
в аттической	2	2
что для	2	4
до сих	9	2
как мы	2	4
вовсе не	4	2
в других	3	2
как это	5	4
менандр и	2	3
в глазах	8	2
во всех	2	3
т п	4	2
в ненавистном	5	2
по своему	3	2
не в	4	2
г и	2	5
отношению к	3	3
но все	4	3
и еще	3	2
возможно что	3	3
и не	21	14
человека в	2	3
может быть	6	11
ни в	10	5
мы знаем	2	3
и все	2	2
мы можем	3	3
в одном	2	2
и во	2	2
из его	2	2
о том	8	6
как видно	2	2
в этой	3	3
сразу же	4	4
и к	3	2
в связи	4	3
с участием	2	2
с самого	4	2
больше того	2	4
к благополучному	2	4
деметрия полиоркета	2	3
что касается	2	3
опять же	2	5
монолог фрасонида	2	2
комедии только	2	3
бы в	4	2
но и	4	10
как видим	2	2
не является	4	2
плавтовского пиргополиника	3	2
менандра в	3	6
фр ii	3	14
комедии менандра	7	4
аристофана византийского	2	3
не по	7	4
iii в	6	6
того чтобы	6	6
к свадьбе	3	2
до нас	4	4
то время	2	3
как он	3	3
из них	5	7
не имеет	3	3
и сам	5	3
представление о	2	2
что и	8	7
в доме	10	6
из дому	4	3
для того	6	5
тут же	4	2
и поэтому	4	3
и особенно	2	3
приемного сына	3	3
ст сл	6	6
идет о	3	2
и после	2	2
с хрисидой	5	2
то что	4	6
как и	3	4
потому что	10	6
в развитии	2	2
в течение	3	2
в которой	3	5
новой комедии	6	12
если не	3	2
отец и	3	2
менандра и	2	8
в третейском	6	7
один из	3	5
и это	2	2
и здесь	4	6
ясно что	6	8
тех пор	3	3
или иначе	2	3
с этой	3	3
в двух	3	6
и его	6	12
не может	3	3
он не	5	2
в г	2	17
в его	8	4
в образе	2	3
чем в	3	2
и я	2	2
и если	2	2
одним из	2	2
брак с	2	3
хоть и	2	5
не только	5	7
с его	3	5
том что	13	9
с женой	2	2
в какой	3	2
ли не	2	7
а затем	2	5
до тех	3	3
одной из	3	4
на этот	3	4
во время	6	6
на себя	4	7
этот раз	2	4
в них	3	4
отнюдь не	4	2
в уже	2	2
от того	2	2
в виду	2	2
тем что	5	3
хотя и	5	4
мы не	2	2
из которых	2	3
на это	3	2
в ней	4	3
то это	5	2
целый ряд	2	2
же время	5	3
новой аттической	5	4
и на	2	7
менандр не	2	2
во всяком	3	2
тому что	2	4
молодого человека	14	9
то ни	3	2
не было	2	3
а на	2	2
дошедших до	2	2
по отношению	5	3
в котором	2	3
что его	5	3
так или	2	3
в конце	7	2
хотя бы	4	2
с дочерью	3	3
в начале	3	4
тому же	6	11
в плен	2	2
все время	2	2
у менандра	6	6
всяком случае	3	2
одной стороны	3	2
менандра как	3	2
молодой человек	8	9
что их	2	2
в том	12	11
ст и	5	2
но в	5	3
и что	6	2
с другой	4	2
друг друга	4	3
в щите	3	10
время как	2	2
все же	4	4
свою вину	2	2
в частности	3	4
