2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram
авторитарного сознания	4	2
между тем	2	3
связи с	6	2
далеко не	3	2
в рамках	6	4
всего лишь	4	5
никогда не	4	4
как будто	2	4
в хх	6	3
в нем	2	2
его в	3	2
так и	4	9
несмотря на	3	2
в своей	4	7
одно из	3	4
это не	4	5
с точки	2	3
прежде всего	11	3
героя как	2	2
со стороны	4	7
в данном	5	4
и в	8	16
но не	4	4
не случайно	2	3
то есть	6	5
в стихотворении	4	6
х годов	2	15
еще в	4	3
к тому	2	6
в качестве	17	5
данном случае	4	4
для него	2	2
в принципе	3	2
человеческого духа	2	3
по аналогии	3	2
при этом	19	15
искусства и	5	3
хх века	10	11
что ему	3	2
подобно тому	2	2
художественного творчества	3	2
мира в	3	3
однако в	2	4
особого рода	2	5
того что	6	9
точки зрения	6	7
не менее	7	2
себя в	6	7
эстетический субъект	3	2
что он	5	5
тому как	2	3
коммуникативное событие	4	4
то же	5	9
в целом	8	5
а также	5	4
как бы	7	8
общественного сознания	3	2
е годы	2	9
представляет собой	4	2
что в	3	2
в кругозоре	2	2
уже не	7	3
в этом	12	14
эстетического объекта	6	6
другого в	3	4
в году	13	5
в жизни	6	8
одного из	3	2
лишь в	4	5
того же	2	2
с одной	2	4
все они	2	2
но одновременно	2	2
той же	3	3
xix века	6	2
в мире	2	16
эстетического субъекта	9	7
еще не	4	6
в то	5	9
из того	2	2
объект и	2	2
как раз	4	2
было бы	2	2
в самом	3	3
творческое поведение	2	3
отличие от	5	5
по мысли	2	6
а в	3	5
русской литературы	2	2
нашего столетия	3	2
от себя	2	2
[] в	4	3
своего рода	11	10
тогда как	13	17
и т.п	4	6
что я	2	5
эстетический объект	3	3
творческого поведения	4	2
например в	3	3
но без	2	2
он и	3	2
жизни и	3	3
на смену	6	3
как это	8	3
не в	8	10
мыслится как	3	3
такого рода	10	10
отношению к	2	4
оказывается не	2	2
и не	12	22
может быть	13	12
неклассической художественности	8	2
даже в	2	4
поэзии и	2	2
лирическому герою	2	2
к себе	3	8
состоит в	11	6
о том	2	6
в этой	4	8
не как	4	2
говоря словами	3	3
я и	7	10
я не	7	2
в себе	7	6
этом отношении	2	5
художественное произведение	2	2
только в	8	7
но и	17	14
в другом	2	6
что не	2	2
как мыслилось	2	2
своего другого	3	4
из них	4	4
художественной культуры	10	5
коммуникативного события	7	5
по этой	2	2
и сам	6	2
как в	5	5
или иной	2	2
то что	10	12
как и	6	5
потому что	3	3
причастность к	2	2
произведение искусства	8	6
этого текста	3	2
объекта и	2	2
один из	3	2
это как	2	3
в области	3	3
нас самих	2	2
уединенного сознания	50	14
или иначе	9	2
с этой	5	2
и его	4	6
и только	2	2
конвергентного сознания	3	7
самом деле	2	3
в слове	2	3
лирический герой	4	5
я в	5	7
не может	5	8
самим собой	2	3
в его	7	6
одним из	5	4
говоря уже	2	4
с его	5	6
не только	24	14
том что	14	8
тем самым	5	7
во втором	2	2
жизни не	2	2
для своего	2	2
и тем	4	3
на себя	2	2
отнюдь не	2	3
не говоря	2	4
эстетической деятельности	4	2
в своих	4	2
в случае	4	2
тем что	2	2
а не	16	12
субъекта и	3	5
и даже	3	2
вплоть до	2	2
в е	2	8
то это	2	2
же время	5	7
собственного я	5	2
же в	5	2
в тексте	8	4
в отличие	5	5
дискурс свободы	5	2
ментальный кризис	2	2
по своей	3	3
все более	2	2
по отношению	3	4
так или	8	2
в конце	4	2
для себя	5	2
эстетическое переживание	2	2
и адресата	4	2
еще и	3	2
как дискурс	2	2
тому же	2	5
в основе	3	5
одной стороны	2	4
хх веке	5	3
в том	16	12
но в	3	3
с другой	3	6
отказ от	7	2
здесь как	2	2
все же	4	2
парадигмы художественности	7	2
в частности	15	11
