3gram	Vygotskiy_Psychologia_partition_part5_wordlist_3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram
одно и то	2	3
и в самом	10	2
то что в	2	2
на то что	12	16
для того чтобы	8	19
о том что	3	6
то что он	2	3
о которых мы	5	2
в сущности говоря	7	8
и как бы	2	4
и то что	3	3
на самом деле	2	2
заключается в том	6	6
легко показать что	3	2
все то что	6	2
мы видим что	7	3
мы могли бы	3	4
в том что	11	14
к тому что	2	6
и то же	2	3
вместе с тем	2	3
в самом деле	18	5
в двух противоположных	2	2
с точки зрения	9	2
чтобы увидеть что	5	2
с самого начала	6	3
один из критиков	2	2
в двух планах	5	3
указывает на то	3	2
образом мы видим	2	2
то же самое	8	3
в данном случае	2	2
с другой стороны	5	5
в лучшем случае	2	3
и т п	5	3
должен был бы	2	3
совершенно прав когда	2	2
с одной стороны	5	12
и т д	4	3
мы увидим что	7	6
и мы увидим	2	2
совершенно ясно что	5	5
он говорит что	2	2
ничего не может	2	2
до сих пор	5	5
мы видим в	2	2
