4gram	Losev_VladivirSolovjev_partition_part2_wordlist_4gram	Losev_VladivirSolovjev_partition_part1_wordlist_4gram
письма т iii с	5	5
в л указ соч	2	3
с м указ соч	4	13
соловьев вл письма с	3	7
письма т ii с	3	2
дело в том что	4	3
вопросы философии и психологии	2	2
вл письма т ii	3	2
там же с ]	7	9
вл соловьева в эти	5	2
л указ соч с	2	3
к с п хитрово	4	2
т i с ]	2	3
вл письма с ]	2	5
указ соч с ]	2	11
вл письма т iii	5	5
в то же время	4	3
соловьев вл письма т	10	9
т iii с ]	10	4
вл соловьев никогда не	2	3
