3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_3gram
в конце концов	5	2
с их мирами	4	2
себе еще не	2	2
человека в человеке	2	2
о себе самом	9	3
но все же	2	2
слово о себе	2	3
по отношению к	8	5
но в то	5	3
в большинстве случаев	2	8
том что он	4	2
в самом деле	2	4
в романах достоевского	5	2
в то же	9	5
с точки зрения	13	8
как раз и	3	2
с другой стороны	3	3
можно было бы	2	3
по себе еще	2	2
то перед нами	2	5
и т п	3	9
как бы в	2	4
в произведениях достоевского	3	3
не может быть	4	4
и не может	2	4
в этом смысле	10	2
в творчестве достоевского	4	2
из одного куска	2	2
то же время	9	5
до сих пор	2	7
в одной плоскости	5	2
