2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_2gram
проявляется в	2	4
и ее	7	6
в зависимости	3	2
идеи и	4	3
никогда не	17	2
в нем	20	10
есть в	8	3
его в	3	2
истину и	2	2
так и	3	6
в своей	6	3
это не	3	6
для достоевского	4	3
с точки	9	2
прежде всего	11	15
в ее	3	3
но это	2	3
в форме	2	6
в одной	5	2
не о	2	2
и в	45	53
одна из	3	7
карнавального мироощущения	4	13
но не	6	5
зависимости от	3	2
для правильного	2	2
то есть	50	48
тот же	2	2
перед нами	4	5
жизни в	2	3
отношение к	8	6
здесь не	2	4
именно в	3	2
все это	5	8
при этом	2	3
по сравнению	2	4
и одновременно	2	4
в сознании	2	2
за всеми	2	2
связь с	2	2
с карнавальным	2	2
и потому	6	5
вступают в	2	2
человека и	2	7
и другие	4	9
и с	7	6
уже в	4	2
образом в	2	2
еще раз	3	5
точки зрения	19	4
не менее	2	3
что он	7	4
так сказать	7	5
не знает	4	4
в большинстве	2	4
из подполья	4	5
области серьезно-смехового	5	2
есть и	3	2
в таком	3	2
понять и	2	2
то же	5	6
характерно что	2	2
не знают	2	2
в чисто	2	2
к этому	4	4
как бы	15	14
каждом из	2	3
и их	6	2
на протяжении	3	5
между ними	4	2
во все	2	5
что в	6	2
произведениях достоевского	4	3
сих пор	2	5
этого жанра	3	14
в этом	20	8
мы остановимся	2	2
авторской позиции	5	2
братьях карамазовых	2	2
в жизни	3	8
они и	2	2
уже на	2	2
здесь в	2	10
утрачивает свою	2	2
здесь конечно	2	4
нового времени	3	8
мы и	3	2
в их	4	2
в мире	3	5
еще не	9	5
в то	5	5
и для	2	4
они не	2	3
так как	5	7
и у	2	7
с другими	7	3
значение для	3	2
было бы	4	5
с их	4	2
карнавальное мироощущение	2	10
в самом	13	2
смысле этого	2	2
и др	4	14
и прежде	2	6
исторической поэтики	2	2
сократического диалога	6	10
и до	4	5
таким образом	11	6
и той	3	2
а в	3	2
в литературе	6	5
равных правах	3	2
у достоевского	14	17
ее в	2	3
человеческой жизни	2	3
его творчества	5	6
до сих	2	5
вовсе не	7	3
и т.п	6	31
как мы	8	5
сократический диалог	4	7
произведений достоевского	3	2
и т.д	3	2
например в	2	5
все эти	4	9
в некоторых	2	4
жизни и	15	9
нет ни	3	2
преступлении и	2	2
в диалог	2	2
как это	2	2
достоевского в	4	3
здесь и	2	4
во всех	4	12
не в	8	2
на основе	2	2
конечно в	2	2
мы видим	2	2
и не	42	15
человека в	5	3
может быть	18	12
диалогическое отношение	2	3
на пороге	4	10
конечно не	6	4
даже и	2	2
большинстве случаев	2	4
мы можем	4	5
все то	2	3
о себе	3	2
о том	3	2
его творчестве	3	2
более того	5	6
ко всем	2	2
и к	2	5
я не	6	4
в себе	5	5
мы должны	4	4
ивана карамазова	4	4
фамильярного контакта	2	7
правда в	2	2
только в	9	4
себя и	2	2
но и	15	7
них в	2	2
в дальнейшем	2	7
уже говорили	2	2
в истории	2	3
для понимания	2	2
ведущих героев	4	2
основные особенности	2	2
из них	9	4
как он	4	2
и более	2	2
в этих	4	5
что и	5	3
как в	4	7
творчества достоевского	2	10
и особенно	2	3
слово в	3	2
правильного понимания	2	2
то что	5	9
как и	14	11
мы видели	3	2
в развитии	2	3
потому что	8	5
достоевского и	2	6
сравнению с	2	4
в которой	2	2
в каждом	4	4
один из	2	6
в особенности	2	2
в области	2	3
сочетается с	4	3
в братьях	2	2
том числе	2	11
он сам	6	4
художественной прозы	4	4
и его	8	10
отметить что	2	2
подчеркнуть что	3	3
это было	2	3
числе и	2	10
не может	24	2
он не	9	3
в его	22	8
в образе	3	3
одним из	3	3
и наказании	2	2
и оценить	2	2
в той	3	2
с ним	8	2
с его	8	2
не только	16	4
том что	7	5
можно сказать	2	8
мы уже	3	5
с самим	2	5
меньшей степени	2	2
одной из	2	4
на равных	2	2
в них	4	2
человеческой мысли	3	2
в своих	4	2
могут быть	4	4
тем что	2	2
а не	10	11
их в	7	2
хотя и	2	4
и даже	3	2
и других	3	9
как у	2	5
в ней	7	7
и идеи	5	4
же время	3	5
и на	7	18
в рассказе	3	2
героев достоевского	4	2
в условиях	2	4
это очень	2	4
не было	2	4
карнавальным мироощущением	3	4
идеи в	5	2
по отношению	8	2
в конце	4	3
почти вовсе	3	4
хотя бы	5	2
ничего не	3	6
все его	3	2
в начале	2	2
в основе	2	5
и смерти	7	2
быть только	2	2
вопросов и	2	2
в том	8	14
но в	6	5
и через	2	3
конечно и	2	4
в смысле	2	2
на его	5	3
от него	3	3
в преступлении	2	2
и от	3	3
в сущности	7	10
и по	2	3
сказать что	5	10
далеко не	4	2
есть с	2	2
