3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part6_wordlist_3gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_3gram
в русской сказке	5	6
материалы показывают что	2	2
эти материалы показывают	2	2
в ином мире	5	6
после того как	2	2
мы имеем в	4	4
о том что	5	4
т е в	2	2
тех случаях когда	3	3
отсюда видно что	3	2
но все же	2	2
тридевять земель в	4	2
так как он	2	2
то время как	2	3
в тридесятом царстве	3	3
как и в	2	2
уже знаем что	2	2
в том что	4	5
здесь мы имеем	2	4
в то время	2	3
не только в	5	4
но и в	2	2
в данном случае	3	3
с другой стороны	8	8
и в сказке	6	3
мы уже знаем	3	2
с одной стороны	4	7
и т д	16	8
точно так же	2	2
за тридевять земель	5	3
не может быть	3	3
случай мы имеем	3	2
до сих пор	2	4
что и в	2	2
в тех случаях	4	3
