3gram	Ircho_Komedia_partition_part2_wordlist_3gram	Ircho_Komedia_partition_part1_wordlist_3gram
после того как	3	2
во всяком случае	2	2
о том что	3	4
не говоря уже	2	2
в афинах в	2	3
то время как	4	2
iv в в	2	2
речь идет о	3	2
тому же в	3	3
бы то ни	2	2
по отношению к	3	3
говоря уже о	2	2
в том что	9	5
в то время	5	3
древней аттической комедии	6	2
к тому же	5	10
в первую очередь	2	3
в то же	4	3
и т п	5	2
в народном собрании	5	2
с одной стороны	3	2
едва ли не	3	5
то же время	4	3
до сих пор	2	2
то ни было	2	2
хоть и не	2	3
