3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part6_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part2_wordlist_3gram
о том что	3	5
нужно сказать что	3	2
кн ii гл	2	7
в другом месте	2	4
или меньшей степени	3	2
в эпоху рабле	4	5
в большей или	3	3
большей или меньшей	3	3
народной смеховой культуры	7	2
как мы уже	3	6
в этом отношении	3	3
мы уже говорили	5	11
в то же	6	5
с точки зрения	5	2
но и в	4	2
сих пор еще	2	3
с другой стороны	3	2
с одной стороны	3	4
в средние века	8	4
в xvii веке	10	2
вполне понятно что	2	2
жизни и смерти	5	2
то же время	6	5
до сих пор	4	3
