2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram
никогда не	8	9
так же	12	18
к нему	2	2
утверждает что	2	5
социальной психологии	11	6
произведения с	2	2
к тому	4	7
для нас	5	2
с этим	3	4
этого материала	2	2
и как	2	7
точки зрения	15	17
же самое	2	6
в психологии	6	7
говорит что	5	7
главным образом	2	3
мы получаем	2	2
точно и	2	2
что они	2	7
в целом	5	4
как бы	5	6
в русском	2	2
что в	23	20
в жизни	2	4
отличается от	2	2
что всякое	5	2
совершенно верно	2	2
но как	2	3
никак не	4	4
той же	3	8
и у	4	2
в него	2	2
то чтобы	2	2
было бы	6	11
только на	3	5
в нас	2	3
таким образом	20	21
а в	6	4
художественного произведения	17	5
этой области	2	2
этой теории	6	2
очевидно что	6	2
жизни и	3	4
к ним	2	2
приходит к	2	3
том случае	2	4
это только	2	3
но только	3	4
как она	2	4
в произведении	3	4
ли это	2	2
по существу	4	3
в себе	4	2
психологии и	3	2
художественное произведение	10	6
только в	14	7
в искусстве	4	21
на искусство	2	3
но даже	2	2
согласии с	2	3
и это	3	4
говорит о	2	2
что самое	3	2
и его	7	7
и только	3	2
до конца	6	3
не может	17	17
он не	3	6
но что	2	2
по себе	9	12
что по	3	2
и тем	2	4
принадлежат к	2	2
в них	2	2
а только	2	3
отказаться от	2	3
и следовательно	2	2
слова в	3	2
не существует	2	2
когда говорит	3	3
в том	30	37
но в	3	3
всякого поэтического	2	2
все же	5	4
таким путем	2	4
в частности	3	3
ровно столько	2	3
мы имеем	4	4
как будто	5	7
что это	6	8
из этого	2	4
так и	3	3
действия и	2	2
с точки	2	10
в ее	5	2
психология искусства	9	2
и в	31	32
вместе с	8	2
она не	5	2
другой стороны	5	2
все это	8	5
при этом	19	13
представить себе	3	3
в сознании	2	4
и с	2	4
психологии искусства	19	15
эта теория	5	2
все что	3	2
тому как	7	3
с и	5	12
столь же	4	4
что он	7	13
показывает что	5	3
в стихе	2	7
с тем	3	11
в этом	12	13
видим что	2	3
что искусство	11	4
формы и	5	6
в полном	2	2
в то	5	5
этой точки	5	2
как раз	2	5
в самом	11	12
к психологии	5	6
отличие от	4	2
что для	2	7
до сих	3	5
конце концов	3	3
т п	16	8
произведение как	2	2
мысль что	3	2
и не	16	10
показать что	8	5
мы можем	4	3
состоит в	3	3
в одном	2	2
на самом	2	5
при помощи	20	10
формы в	4	3
совершенно не	5	4
только из	4	5
и без	2	2
но и	2	10
и когда	3	4
того чтобы	7	14
психологической теории	2	3
этих двух	2	2
представление о	3	3
казалось бы	2	2
для того	6	13
и поэтому	2	4
увидим что	2	2
потому что	10	21
