3gram	Losev_DialektikaMifa_partition_part4_wordlist_3gram	Losev_DialektikaMifa_partition_part3_wordlist_3gram
есть не что	3	5
что такое чудо	2	3
на то что	3	3
не есть просто	4	3
что она есть	3	4
сам по себе	5	2
не говоря уже	2	3
от чего не	3	2
т е в	4	2
тем более не	2	3
сама по себе	4	5
и нет ничего	2	2
эти две сферы	2	2
случае не есть	2	2
есть то что	5	5
того что он	3	4
ничего не говорит	3	4
по крайней мере	5	7
в сравнении с	3	2
субъекта и объекта	3	4
говоря уже о	2	3
то что мы	3	2
веры и знания	2	4
не что иное	6	8
в том что	3	9
не есть ни	3	9
миф не есть	5	8
ни в каком	3	4
т е что	6	2
что это есть	2	3
ни от чего	3	2
подобно тому как	4	4
и в этом	2	3
не имеет права	2	2
д и т	5	2
с этой точки	2	2
выйти за пределы	2	3
что чудо есть	4	2
ни в коем	3	2
это значит что	21	7
с точки зрения	14	9
иметь в виду	2	2
тем не менее	10	2
коем случае не	3	2
чудо не есть	2	7
этой точки зрения	2	2
ровно ничего не	3	6
только тогда когда	3	4
не говорит о	2	3
имеется в виду	3	3
само по себе	5	4
что он есть	3	4
т д и	6	3
и т д	23	15
точно так же	2	2
не может быть	6	6
что иное как	6	8
как и все	2	2
это и есть	2	4
в коем случае	3	2
есть в сущности	2	2
что миф есть	3	2
т е не	4	2
я утверждаю что	4	4
