2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram
не обязательно	3	2
ведь если	2	2
связи с	5	8
разного рода	6	2
никогда не	7	6
так же	9	5
этот предмет	3	2
значит и	2	3
в данном	9	9
того или	2	6
есть символ	14	11
к тому	3	3
перед нами	5	8
для нас	5	16
в настоящее	3	2
совсем не	4	2
о которых	3	3
в результате	2	2
с этим	3	2
символа с	2	5
и как	6	3
поэтому и	2	2
едва ли	2	5
точки зрения	3	5
же самое	9	9
знак есть	2	6
от нас	3	2
есть и	3	2
что они	3	5
что символ	13	6
как бы	14	9
что в	12	8
уже не	3	7
сколько угодно	3	4
определенным образом	3	2
нельзя сказать	2	2
кроме того	2	3
начала xx	2	2
или как	3	3
но как	6	4
никак не	4	9
тех или	3	5
он в	2	2
идейной образности	4	6
и о	8	5
являются только	2	3
имеет ничего	2	3
есть ни	5	3
с другими	2	3
заставляет нас	2	2
было бы	8	8
только на	4	5
таким образом	6	9
а в	4	5
это повторяем	2	2
и обозначаемого	3	2
только потому	3	2
итак символ	3	5
ряд отдельных	2	2
но только	2	6
у нас	14	10
всех этих	7	2
с собой	2	3
как нечто	8	9
сразу же	2	2
по существу	2	2
в связи	4	7
в себе	15	8
является не	2	2
что здесь	3	5
только в	7	19
не будем	2	2
ровно ничего	4	2
не имеет	2	9
само собой	2	2
не то	2	2
или иной	5	8
в искусстве	3	4
а это	2	3
если не	4	3
и это	9	9
есть именно	5	5
он будет	2	2
и его	3	5
и только	4	6
не может	8	7
он не	3	8
конца xix	2	2
это тоже	2	2
но что	2	2
не есть	29	35
и если	6	6
мы выше	4	4
по себе	15	25
и тем	13	9
содержит в	7	3
этот раз	2	3
нашего исследования	2	2
тем что	7	4
хотя и	6	5
а только	5	5
говорим о	2	3
собственно говоря	2	5
и следовательно	3	2
есть ее	24	4
в котором	5	2
нас выше	2	2
в том	9	21
символа от	3	2
символа мы	7	2
но в	14	12
понятие символа	17	3
под него	2	4
принцип конструирования	2	3
является символом	4	3
в понятии	2	2
все равно	5	3
мы имеем	2	2
и ее	8	3
как будто	3	3
что это	3	3
и при	2	2
предмета но	2	2
знак то	4	2
его в	6	3
так и	12	10
об этом	10	3
с точки	3	2
в ее	3	4
говорить о	6	3
является в	2	2
и в	32	44
вместе с	2	2
в качестве	2	3
она не	2	3
здесь не	7	8
как оно	3	3
нас в	2	4
другой стороны	3	5
все это	7	5
то в	5	3
при этом	6	4
с аллегорией	2	3
и ни	4	3
и с	2	9
уже в	3	3
не являются	5	2
символ потому	2	2
да и	3	5
что мы	13	8
гораздо более	2	5
в символе	17	13
определенного рода	2	5
же и	3	4
что он	7	9
на первый	2	4
также и	11	16
с тем	5	5
не имеют	5	4
мы говорили	4	2
это вовсе	2	4
в этом	19	17
и вполне	3	5
пока еще	3	2
о чем	6	2
это есть	9	3
здесь в	3	3
же касается	3	4
символ и	8	18
мы и	4	2
в их	4	2
взятые сами	2	4
еще не	9	5
в то	6	9
символа и	9	6
у пушкина	2	6
что иное	2	4
как раз	13	8
в самом	6	3
другими словами	3	6
ни только	4	2
в буквальном	3	2
и до	2	2
о его	2	2
что для	2	3
до сих	3	2
то и	6	5
конце концов	4	3
или иных	2	4
во всех	7	2
и не	31	35
за пределы	6	5
вещи и	12	7
смысле слова	7	8
в виде	15	6
даже и	8	16
мы можем	4	6
на самом	6	7
при помощи	13	8
совершенно не	6	4
обязательно есть	2	2
не просто	23	23
ни на	4	3
но и	9	10
петра i	2	3
есть принцип	2	2
что тут	4	3
потому что	16	25
в которой	2	2
что всякий	4	9
тем более	5	3
в его	6	9
с ним	3	7
можно сказать	5	6
тем самым	4	5
бесконечный ряд	12	8
никак нельзя	3	2
в каком	3	4
же как	2	3
мы не	2	7
указывает на	14	7
а может	2	2
же в	4	3
и очень	2	3
не было	4	5
говорят о	2	3
свой собственный	2	3
поэтический образ	3	3
или в	4	4
каком случае	3	2
для чего	2	2
бесконечное количество	4	8
нет ничего	10	6
в таких	2	3
что такое	6	3
мы в	3	4
в нем	13	9
можно было	3	4
в своей	8	5
символ есть	10	5
это не	6	9
прежде всего	10	3
но это	8	8
этого термина	4	2
вещи есть	31	2
таком случае	6	4
но если	2	6
но не	9	3
то есть	33	34
если бы	4	3
данном случае	8	7
понимать как	2	3
и т	11	13
для него	2	3
именно в	4	2
что оно	3	2
тоже не	7	5
искусства и	3	2
по крайней	2	5
настоящее время	3	2
мы будем	2	2
символ но	5	3
так что	6	12
в таком	9	5
а также	4	4
не мешает	2	3
у чехова	2	3
и притом	4	4
знак но	3	2
только одной	2	2
действительности но	4	2
можно ли	5	4
с которыми	4	2
не что-нибудь	2	2
дело в	3	4
и для	4	2
этом случае	2	5
если символ	4	3
нисколько не	3	2
очень много	3	3
термин символ	6	5
быть и	3	3
и символ	3	5
есть также	3	2
самой вещи	2	4
подобного рода	5	3
а именно	12	8
некоторого рода	5	10
и искусства	4	2
он и	8	2
по своему	9	2
если мы	11	16
между прочим	2	2
чем же	2	4
значит что	3	7
должны сказать	2	5
всякий символ	12	4
иное как	2	4
мы должны	5	7
во внимание	2	2
смысл но	2	2
здесь перед	3	2
не является	5	11
не что	2	4
для этого	3	6
что же	9	8
знак в	2	4
в этих	3	2
и особенно	2	2
быть даже	2	3
то что	42	23
между собою	7	2
нас не	2	5
что все	3	2
нечто иное	2	2
том как	2	2
и сама	2	2
и здесь	6	5
он сам	2	4
это было	2	2
не только	17	14
том что	12	12
образность в	2	2
на этот	3	4
могут быть	2	2
той или	5	12
а не	15	18
и даже	11	14
мы находим	2	7
бы мы	3	2
литературы и	4	2
он есть	4	2
есть только	8	4
во всяком	7	9
сама по	4	8
таких случаях	2	2
ни о	5	3
есть обязательно	6	4
в самой	3	2
для себя	3	2
себе не	3	2
мы возьмем	2	3
понятием символа	2	3
ничего не	10	3
всяком случае	3	6
и вовсе	4	4
во всей	3	3
художественный образ	9	9
однако это	3	2
сказать что	13	16
мы уже	5	4
и может	2	2
необходимо сказать	2	3
для них	2	2
сам по	7	6
сейчас мы	2	2
смысл вещи	3	3
есть в	5	3
и всегда	2	2
символ как	3	4
д и	4	4
есть нечто	11	8
раз и	9	4
идейная образность	8	12
понятия знака	2	2
обозначаемого и	2	2
своему содержанию	3	2
тоже есть	3	4
родового понятия	2	3
и потому	2	7
о символе	14	2
но когда	2	2
по поводу	4	2
и есть	6	5
однако в	2	2
общего с	8	3
того что	7	8
в отношении	3	2
не менее	19	10
в чем	3	4
только то	4	2
в своем	5	5
сами по	3	6
тем не	18	10
может иметь	2	3
символа в	3	3
и является	7	4
то же	10	13
сих пор	3	2
в которых	3	3
образом и	2	2
символ в	7	5
то или	2	3
того же	3	2
или иного	2	3
не значит	2	3
ничего общего	11	7
и вообще	4	8
так как	11	9
но уже	5	3
случае не	3	3
мы говорим	3	4
на то	8	3
вовсе не	35	37
как мы	7	8
без всякого	2	3
все эти	8	7
точно так	4	3
как это	6	2
самой настоящей	2	2
только и	3	8
не стоит	2	2
не в	4	13
такого рода	7	6
но все	3	3
об его	3	4
всегда есть	6	2
то он	2	2
не очень	2	2
может быть	14	28
ни в	7	8
термина символ	2	2
и все	7	3
о том	11	6
и во	3	2
в этой	10	3
даже если	4	2
но именно	3	2
не делать	2	2
из них	3	2
когда мы	8	15
самое время	4	4
здесь только	2	7
как в	4	5
как и	3	10
т д	10	13
ясно что	3	6
родовое понятие	9	2
самом деле	6	3
крайней мере	2	5
и то	6	14
отнюдь не	10	10
в виду	6	10
на нечто	8	3
идея и	2	3
тому что	4	4
гораздо больше	2	2
есть не	6	5
его как	2	3
эту вещь	2	2
всякий знак	3	12
только что	2	2
в конце	6	5
хотя бы	3	3
еще и	5	7
в бесконечный	11	7
что их	2	2
и что	9	7
с другой	3	7
