2gram	Vygotskiy_Psychologia_partition_part1_wordlist_2gram	Vygotskiy_Psychologia_partition_part3_wordlist_2gram
или не	2	2
большей частью	2	2
между тем	7	4
к чему	6	2
далеко не	3	2
такой же	2	2
из этих	3	6
что образ	2	2
так точно	2	3
никогда не	4	8
что это	10	6
так же	2	12
как будто	4	5
в нем	4	2
видели что	2	2
есть в	2	7
его в	3	2
из этого	8	2
действия и	2	2
что она	16	6
несмотря на	5	5
речь идет	4	3
с точки	9	2
в своей	5	3
как на	3	3
одно из	2	2
в ее	7	5
но это	3	3
оно есть	2	2
со стороны	2	4
в одной	2	3
очень часто	2	4
и в	38	31
одна из	4	4
в силу	2	3
не можем	4	3
вместе с	5	8
для всех	2	4
в противоречие	2	2
то есть	15	26
если бы	14	6
к тому	6	4
в качестве	2	2
она не	6	5
тот же	3	2
и т	14	26
утверждать что	2	5
на деле	4	3
остановиться на	2	2
для нас	8	5
в такой	3	2
что оно	2	3
другой стороны	5	5
все это	3	8
при этом	4	19
у него	4	4
противоречие с	2	3
по самому	2	5
как к	2	2
совсем не	3	3
каждого из	3	3
и другие	2	4
с этим	8	3
и как	8	2
того что	4	10
чувства и	2	2
точки зрения	16	15
с здесь	2	3
же самое	10	2
только то	2	2
что он	11	7
показывает что	2	5
столь же	2	4
с и	6	5
говорит что	8	5
что с	4	2
главным образом	3	2
все же	8	5
так что	8	5
в своем	5	3
что эта	4	3
с теми	3	2
с тем	8	3
что они	4	2
в таком	3	3
то же	10	5
в целом	4	5
совершенно другой	3	2
к этому	3	4
как бы	14	5
представляет собой	2	2
сих пор	5	3
что в	20	23
уже не	2	2
в которых	6	3
в этом	13	12
что всякое	2	5
видим что	8	2
того же	3	2
должна быть	5	3
по мнению	2	2
с одной	6	5
в полном	2	2
совпадает с	2	4
это есть	2	5
совершенно ясно	13	19
но как	2	2
никак не	7	4
и дальше	2	2
когда она	3	2
стоит только	3	2
той же	2	3
же самая	2	2
и о	3	4
но мы	2	3
в то	3	5
и для	4	5
так как	6	18
как раз	8	2
и другими	2	3
иначе как	2	2
было бы	12	6
же точно	2	3
в самом	25	11
смысле этого	2	2
в нас	4	2
таким образом	12	20
и той	2	3
а в	7	6
совершенно явно	2	2
и вместе	2	2
до сих	6	3
на то	16	10
очевидно что	2	6
вовсе не	8	6
как мы	7	2
то и	3	2
например в	2	3
к ним	3	2
не могут	2	3
могло бы	2	4
как это	6	4
обратиться к	4	2
т п	5	16
если мы	6	12
не в	12	11
это только	3	2
у нас	2	4
но только	8	3
что эти	4	3
мысль что	4	3
мы видим	12	5
мы найдем	2	2
и не	10	16
может быть	19	22
поэзии и	2	2
всякий раз	3	8
ни в	3	9
что только	2	2
показать что	7	8
какой мере	2	3
и все	10	5
ли это	2	2
в одном	8	2
все то	7	3
мы можем	7	4
состоит в	3	3
на самом	2	2
напротив того	6	2
легко показать	6	2
при помощи	4	20
по существу	2	4
о том	6	7
и во	2	2
в этой	13	3
совершенно не	5	5
и к	3	3
в себе	4	4
на примере	2	3
что у	7	3
она в	3	2
что здесь	2	2
только в	4	14
но и	5	2
и когда	5	3
бы в	3	2
из всех	3	2
имеет место	2	2
того чтобы	9	7
что же	2	2
то время	2	5
из них	6	2
когда мы	2	3
не то	4	2
в этих	2	4
что и	4	13
казалось бы	5	2
для того	8	6
как в	4	9
идет о	4	2
то что	35	32
как и	8	16
увидим что	9	2
мы видели	6	2
мы увидим	12	4
потому что	14	10
т д	4	8
что все	3	3
в которой	5	4
один из	6	4
и это	8	3
очень легко	4	2
и здесь	6	2
был бы	3	5
говорит о	2	2
с этой	2	4
ясно что	6	19
к которым	5	3
и его	6	7
и только	3	3
когда он	4	2
это имеет	2	2
до конца	2	6
самом деле	21	9
он не	6	3
не может	7	17
в его	5	6
но что	2	2
и то	8	2
том и	2	2
и если	6	4
не знаем	2	2
с ним	2	2
заключается в	7	7
не только	12	13
том что	14	16
со всеми	2	4
она должна	3	2
та же	3	3
что по	3	3
и тем	3	2
отнюдь не	2	6
в них	3	2
в своих	4	4
мы все	4	2
в виду	4	4
их в	2	2
а не	7	13
мы не	5	12
одной и	2	4
указывает на	6	4
из которых	4	3
этого слова	2	4
и даже	4	6
на это	3	2
целый ряд	2	6
есть только	2	2
такой степени	3	2
во всяком	2	8
и очень	2	2
тому что	6	4
и следовательно	2	2
заключается не	2	2
только что	2	2
в котором	6	4
и совершенно	4	5
в конце	2	3
ничего не	2	2
сущности говоря	7	3
все время	30	4
в основе	3	2
помощи которого	2	2
к этой	2	2
всяком случае	2	6
эстетической реакции	2	5
одной стороны	5	6
там где	6	4
в том	25	30
иначе говоря	5	5
что даже	2	2
совершенно прав	2	2
но в	3	3
и что	18	8
с другой	7	5
в известных	2	2
и вот	2	3
в сущности	10	10
время как	4	5
и по	2	3
сказать что	4	7
в совершенно	2	4
и может	2	2
в какой	5	5
