2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part1_wordlist_2gram	Berdyaev_MirosozercanieDostoevskogo_partition_part2_wordlist_2gram
бунт против	3	4
не так	3	3
к чему	4	2
никогда не	18	14
путь человека	3	3
к нему	2	7
свободу и	5	4
русской души	6	3
для достоевского	8	5
человеческого своеволия	5	2
человеческой личности	7	4
к тому	5	3
до глубины	8	11
человеческого духа	5	26
– не	3	5
возврата к	3	2
точки зрения	2	4
отношения к	2	4
духа достоевский	2	2
из подполья	2	10
великого инквизитора	4	5
достоевский исследует	5	5
человеческой свободы	3	9
есть и	3	3
момент в	3	2
в своеволии	5	2
как бы	8	2
что в	4	10
уже не	4	4
и там	6	4
в жизни	4	3
человека его	2	3
достоевского –	4	9
есть путь	2	4
он в	3	2
свобода и	2	6
достоевского о	3	2
а в	2	4
и страдание	3	2
нет в	4	4
для человека	3	3
высшей степени	3	2
это –	22	16
в более	2	2
человека не	4	4
свою свободу	5	2
жизни и	6	2
достоевского в	2	9
человек должен	2	6
у нас	11	5
отношению к	2	2
бога и	5	10
и зла	6	5
с собой	2	3
в себе	10	7
только в	3	6
великом инквизиторе	2	5
отношении к	3	2
от этого	2	2
не имеет	4	3
сам не	2	2
мы увидим	2	3
должно привести	2	2
и это	5	12
достоевский в	3	5
и его	5	9
до конца	4	14
подобие божие	2	2
не может	15	28
самого себя	4	2
он не	10	24
человеческой природы	7	20
и она	3	2
лишь момент	2	2
не есть	13	9
человеческая свобода	2	3
в них	3	4
к преступлению	5	4
тем что	3	4
есть уже	4	4
дневнике писателя	2	2
достоевским в	3	2
этом пути	2	2
человека он	2	4
добро и	2	3
и ивана	3	2
была еще	2	2
если он	2	5
не существует	3	2
людей и	3	2
в том	3	6
но в	10	7
но он	11	9
человек и	2	6
он был	9	14
человек –	6	3
как будто	2	2
его в	3	3
есть религия	4	2
и в	46	28
вместе с	2	6
она не	8	4
жизни в	3	2
путь страдания	4	4
когда человек	2	3
к гибели	4	2
чтобы не	3	2
и с	3	3
уже в	2	4
есть зло	2	2
все что	4	2
что он	7	10
не знает	9	4
также и	4	2
и те	2	2
место в	2	2
без свободы	2	6
своего духа	2	2
не хотел	2	3
к ней	2	4
в этом	20	20
должно быть	2	3
братьях карамазовых	2	3
свобода не	2	4
гениальной диалектике	2	2
человеческий образ	3	2
зла и	7	8
это есть	2	3
бога не	4	2
в мире	7	10
т е	4	2
он –	8	12
пройти через	2	2
о великом	2	4
в самом	5	11
должен быть	4	2
это и	3	4
до сих	3	2
достоевский открывает	2	3
в творчестве	3	10
себе и	2	2
во власти	6	2
и не	18	11
в боге	4	3
смысле слова	3	4
герои достоевского	2	4
связано с	3	2
все творчество	2	5
этом он	2	2
русского человека	7	2
п верховенский	2	2
к злу	5	3
трагическая судьба	2	2
бы в	2	2
но и	15	25
человека через	3	4
себя и	3	3
достоевского к	5	5
того чтобы	4	2
привести к	5	4
– идея	2	3
для того	5	2
в добре	4	5
увидим что	2	4
человека –	3	2
потому что	12	16
в которой	2	6
и человек	3	2
в его	5	9
чем в	2	2
с ним	3	2
достоевский был	9	9
он уже	2	6
человеческую природу	2	3
к человеку	12	9
он лишь	2	2
не был	2	7
в ней	11	15
– говорит	4	3
не было	11	18
по отношению	2	2
в гениальной	2	2
мы еще	2	2
нет ничего	3	7
человека на	2	5
достоевского нет	2	5
в нем	22	13
природы в	2	3
всю жизнь	3	4
в своей	5	15
это не	5	5
переходит в	8	15
прежде всего	12	10
в высшей	3	2
зло и	6	2
если бы	3	2
в дневнике	2	2
для него	18	11
у всех	2	2
со свободой	4	4
к отрицанию	5	9
у него	22	17
достоевский не	5	6
истребляет себя	2	2
человека и	7	14
на поверхности	4	5
страдания и	3	2
себя в	4	3
свобода переходит	4	5
на этом	2	3
на людей	2	2
во имя	16	10
что зло	2	2
те которые	3	9
своеволия и	4	5
человека есть	3	3
джентльмен с	2	3
в бесах	6	2
не к	2	4
человеку и	3	2
он раскрывает	3	3
лишь в	2	6
не мог	3	3
любовь к	8	2
и для	7	2
нет у	3	3
личности в	2	2
духа он	2	7
ведет к	13	6
менее всего	3	7
в центре	2	2
есть также	2	2
человеческой жизни	2	2
в своеволие	3	6
свободы и	4	10
вопрос о	6	2
мы видим	2	2
человека в	14	13
– все	2	3
в россии	3	2
человека к	8	2
достоевский показывает	2	2
ивана карамазова	7	7
в бога	4	2
испытание человеческой	2	3
к грядущему	2	2
как он	3	2
него –	2	2
в этих	2	4
русского духа	2	2
то что	5	5
нет бога	4	2
и бога	2	2
в глубине	3	8
он сам	6	6
которая есть	2	3
свободы свобода	2	3
на природу	2	2
с его	4	3
не только	18	29
том что	4	3
достоевского есть	6	19
во христе	6	5
иван карамазов	13	8
не знал	3	4
а не	13	25
и на	3	6
есть что-то	4	2
от его	2	2
ничего не	2	3
свою противоположность	2	2
интерес к	2	3
чем у	4	4
и от	3	2
свобода свобода	2	2
и достоевский	8	12
сказать что	3	2
эвклидова ума	6	3
влечет к	3	3
человека от	2	2
безграничной свободы	3	3
и он	11	12
есть лишь	17	9
еще в	2	2
в человеке	2	8
добра и	5	5
в свою	4	2
любви человека	2	2
отношение к	8	4
от свободы	3	2
в страдании	2	2
из глубины	2	3
достоевский изобличает	2	2
и потому	7	10
связана с	7	2
бог есть	2	2
и есть	8	14
достоевского не	3	4
на земле	8	2
к истреблению	2	2
того что	6	7
в своем	8	10
любви к	7	7
обращен к	4	4
этот процесс	2	3
образ и	5	2
и нет	3	2
человек в	3	9
сих пор	3	2
творчестве достоевского	3	4
человека человек	2	8
по достоевскому	2	2
если нет	8	5
так как	8	3
русский человек	3	2
ко христу	2	2
у достоевского	34	42
к богу	2	3
духа в	2	3
только и	4	3
не в	9	16
и подобие	5	2
в судьбе	2	5
может быть	21	30
идеи достоевского	2	5
духа и	3	4
его с	2	2
за зло	5	3
и свобода	2	7
и все	5	10
о том	3	2
и во	3	2
в этой	7	6
и к	7	2
ты –	5	2
быть может	2	7
самого достоевского	3	2
творчество достоевского	3	13
что и	4	4
как в	7	2
как и	13	5
бы не	2	2
тогда только	3	2
достоевского и	2	10
в любви	8	4
раскольников ставрогин	2	2
один из	5	4
в братьях	2	3
него и	2	2
мира сего	3	2
что есть	2	5
через свободу	3	5
бунтует против	2	2
с самим	3	2
и мир	2	2
человек не	7	10
бы и	5	3
достоевский –	5	6
есть не	5	4
по своей	3	2
свободы духа	5	6
путь свободы	5	5
в конце	5	7
судьба человека	6	9
хотя бы	7	3
свободу человеческого	2	3
в основе	2	2
который был	2	2
и самоутверждения	2	2
и что	2	2
и вот	5	3
его не	2	3
что человек	2	3
сам достоевский	3	3
