2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram
к его	2	2
мы имеем	4	3
связи с	3	9
из этих	3	4
в зависимости	5	6
для ребенка	6	9
с мышлением	2	5
так точно	2	2
у них	2	2
никогда не	8	8
так же	15	4
к развитию	2	3
видели что	3	5
которые он	2	2
можно было	7	5
действия и	3	3
так и	6	8
больше чем	3	2
несмотря на	2	4
в своей	2	4
это не	5	5
с точки	10	18
прежде всего	2	4
речи в	2	6
в высшей	2	7
показал что	4	5
которое мы	2	3
видим в	2	2
в данном	2	3
но если	4	2
и в	28	15
зависимости от	5	6
и составляет	3	2
в силу	17	2
в процессе	9	11
вместе с	7	6
если бы	7	8
оба эти	3	2
но не	10	3
для всех	2	4
к тому	10	7
в качестве	4	4
независимо от	3	4
развитии ребенка	2	4
для него	6	3
не станем	2	2
ребенка от	3	2
для нас	2	4
моментов в	2	2
в такой	2	2
именно в	4	2
нас в	2	2
у него	2	2
при этом	3	3
по сравнению	15	5
у ребенка	13	15
что оно	7	4
и развития	6	2
все это	2	4
и человека	2	3
психологического исследования	2	2
этот вопрос	3	5
с этим	4	3
мышления но	2	2
но на	2	3
переход от	4	4
к которому	2	6
и как	6	2
что мы	11	9
того что	24	17
в отношении	10	6
точки зрения	13	26
каким образом	2	2
того как	5	4
же самое	6	2
языка и	5	3
нам думается	5	3
в своем	7	9
что он	18	12
что с	3	5
что при	4	3
что эта	2	6
с несомненностью	4	2
все же	2	4
понятие о	2	2
развития в	6	6
мышления как	2	5
думается что	5	2
только тогда	4	2
что они	2	3
то же	7	5
в целом	3	10
детской речи	5	19
как бы	11	7
для всей	3	2
ребенка не	4	5
представляет собой	3	2
в исследовании	4	4
что в	17	14
развития ребенка	4	3
в которых	2	3
в этом	27	19
принадлежит к	2	2
этом смысле	2	2
том же	5	2
того же	7	3
своем развитии	4	2
путь развития	7	2
не могло	2	2
это есть	3	2
лежит в	3	3
той же	4	2
в их	3	2
в мышлении	6	2
детской мысли	11	7
но мы	3	3
из того	5	4
нас к	4	2
до лет	2	2
они не	4	3
и вообще	2	2
так как	10	4
понятия о	2	2
значение для	3	4
с другими	2	3
развития и	10	3
как раз	6	4
что переход	2	2
было бы	9	10
детского мышления	2	23
не обнаруживают	4	2
в самом	8	11
с ней	3	2
и др	2	5
мышления и	7	16
и той	3	2
таким образом	18	14
речи ребенка	2	3
а в	2	4
что если	2	2
ее в	2	2
последнее время	2	5
для данного	3	2
как известно	7	6
за собой	3	2
на то	4	6
на том	2	2
очевидно что	3	3
когда ребенок	3	2
вопрос о	5	5
как мы	10	6
на вопрос	2	4
на одном	2	2
все эти	2	3
и т.д	3	12
речь в	2	3
в других	2	2
не могут	5	2
рассматривается как	2	3
как это	3	6
увидим ниже	2	2
в ином	3	2
во всех	4	2
если мы	2	6
отношение между	3	6
друг с	5	2
не в	4	8
связь между	4	5
тогда когда	6	5
на основе	4	7
отношению к	10	5
точку зрения	2	6
его мысли	3	4
мышления в	5	9
мысль что	2	6
мы видим	7	4
ребенок усваивает	5	2
и не	11	7
может быть	13	9
всякий раз	3	2
и другое	2	2
с вещами	2	2
в себя	3	2
показать что	5	5
мы знаем	4	7
как по	4	2
и все	5	3
мы можем	9	10
в одном	2	2
с помощью	13	5
состоит в	2	3
в этой	5	6
на этой	5	2
и к	6	6
по существу	2	5
в связи	2	6
как показывают	3	2
что у	2	3
в себе	4	2
мы должны	3	6
этом отношении	3	3
только в	18	4
центральный пункт	3	2
но и	10	10
в другом	2	2
что нам	2	4
для этого	2	3
от этого	3	2
того чтобы	10	12
языка у	2	2
из них	2	3
остается в	2	2
ребенка и	2	4
не имеет	6	4
к установлению	3	3
речи и	5	15
и более	2	2
что и	4	2
в этих	2	2
казалось бы	2	8
для того	8	10
как в	3	4
то что	28	20
как и	6	6
мы видели	8	6
в развитии	24	26
потому что	22	7
в другой	3	2
что все	5	4
сравнению с	14	5
ступень в	5	3
в которой	7	4
в пользу	2	4
с другом	5	2
если ребенок	2	2
он должен	4	2
он сам	2	3
с этой	2	2
показали что	4	2
и его	3	4
когда он	2	3
что ребенок	13	8
ребенка в	8	10
ребенок в	7	4
ход развития	3	2
и только	3	3
не может	19	9
он не	7	7
самом деле	2	6
могли бы	9	4
в его	3	2
но что	4	2
чем в	2	2
с ним	2	3
заключается в	7	8
с его	3	4
не только	16	15
том что	19	27
по себе	3	7
можно сказать	6	2
мы уже	2	6
как только	2	2
животных и	2	3
тем самым	8	3
раз в	3	2
на этот	4	6
и тем	5	2
в них	3	4
ребенка с	2	4
развития на	3	2
были бы	2	2
мы могли	12	4
могут быть	5	2
от того	10	2
ту же	3	2
тем что	8	2
что мышление	3	3
с развитием	6	4
мы не	6	10
раньше чем	2	2
этого слова	2	3
же как	6	2
и обратно	4	2
а не	3	3
и других	7	2
целый ряд	4	2
ребенок не	3	2
детского развития	3	3
отношения между	4	3
что именно	2	3
мышлении ребенка	4	2
но с	2	2
в последнее	2	4
по своей	3	6
только что	2	3
по отношению	10	6
в котором	2	2
вот почему	2	3
пиаже как	3	5
в опытах	4	2
те же	3	3
как увидим	3	2
что на	4	2
сам пиаже	3	6
мысли с	2	4
все время	3	3
в основе	3	3
там где	7	6
в том	28	33
речи как	2	3
иначе говоря	3	2
ребенка это	2	3
и что	6	8
но в	5	6
с другой	2	6
друг друга	4	5
в сущности	7	9
и по	3	3
сказать что	13	6
в совершенно	2	4
приводит к	6	5
в частности	4	6
