2gram	Vygotskiy_Myshlenieirech_partition_part4_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part1_wordlist_2gram
связи с	3	3
формы мышления	2	3
никогда не	2	5
так же	16	11
и мышления	11	3
речь идет	2	5
в данном	2	2
ничего кроме	2	2
к тому	4	6
перед нами	5	5
одно и	2	6
к мысли	2	2
по сравнению	6	4
у ребенка	6	13
в результате	4	8
с этим	6	5
и как	5	9
в сновидении	2	3
пути развития	2	5
едва ли	2	2
точки зрения	26	24
того как	2	2
же самое	3	7
говорит что	4	3
экспериментальное исследование	3	2
что они	3	14
в целом	20	11
как бы	11	7
мы называем	3	2
что в	14	19
все другие	2	2
той же	2	6
переходную ступень	3	2
нас к	8	3
в первую	3	4
было бы	4	8
смысле этого	3	7
между этими	6	2
таким образом	26	25
а в	2	2
мышления с	6	4
что если	2	2
высшей степени	4	2
и т.д	5	2
приходит к	3	3
в школьном	3	5
что эти	2	2
образом что	3	4
с помощью	13	31
по существу	4	3
в себе	6	10
только в	6	10
к этим	2	2
не имеет	2	2
сравнению с	5	3
школьного возраста	3	2
если не	3	2
и это	3	2
что этот	2	2
гипотезы и	2	2
и его	6	5
мы пытались	5	2
ребенка в	8	4
собственном смысле	5	7
не может	12	6
могли бы	6	9
оно заключается	2	2
значения слова	3	8
интересующей нас	2	4
со всеми	2	3
а затем	5	2
и тем	6	8
нашего исследования	8	4
тем что	6	7
все основные	2	2
связей и	2	3
мысли и	6	2
в том	24	42
ребенка это	4	2
но в	5	3
все же	3	5
приводит к	4	3
в частности	2	5
между двумя	2	2
по мере	4	4
что это	3	2
к мышлению	3	5
и при	2	4
так и	5	5
с точки	18	11
и в	23	20
вместе с	9	8
в качестве	9	21
исследования в	4	2
этом вопросе	4	2
другой стороны	9	9
при этом	4	12
представить себе	5	2
о развитии	4	5
словом и	2	4
и с	9	4
со всей	4	2
уже в	3	6
что мы	5	7
что он	7	6
показывает что	3	2
столь же	6	3
на первый	2	4
и те	2	4
с тем	7	6
детской речи	9	2
мы говорили	3	3
ребенка не	2	7
в равной	2	3
в этом	17	24
понятий ребенка	3	4
должно быть	2	3
к пониманию	2	3
мы и	3	2
в их	3	12
как уже	7	4
в самом	7	6
в ходе	8	4
мышления и	40	14
к выводу	4	2
которые не	3	2
форм мышления	3	2
ключом к	2	4
это положение	4	5
связь между	6	2
мышления в	8	16
