2gram	Tiupa_DiskursIZhanr_partition_part2_wordlist_2gram	Tiupa_DiskursIZhanr_partition_part1_wordlist_2gram
между тем	4	2
к его	2	4
и ее	2	3
мы имеем	2	2
картина мира	3	4
в рамках	5	7
далеко не	10	2
литературного жанра	2	4
биографического дискурса	2	3
речевого действия	2	4
никогда не	2	2
в нем	9	7
жанровую стратегию	2	2
и того	3	3
есть в	2	2
в своей	5	6
так и	8	9
это не	3	3
прежде всего	11	7
со стороны	7	10
в данном	5	7
по сути	4	2
и в	16	16
но не	11	7
более чем	2	2
то есть	20	12
еще в	3	3
в качестве	34	16
данном случае	2	6
перед нами	3	3
для него	4	5
жизни в	2	3
в принципе	2	2
отношение к	4	2
именно в	3	2
другой стороны	3	2
при этом	13	17
и одновременно	2	2
основе своей	2	2
на мой	2	2
времени и	3	2
подобно тому	2	2
в ряду	2	2
мира в	3	3
общения и	2	2
жанровой системы	4	3
и как	6	3
лирического дискурса	2	14
сводится к	5	2
точки зрения	3	4
не менее	2	7
себя в	2	6
что он	4	2
коммуникативное событие	5	3
столь же	3	3
тому как	3	2
в своем	6	5
также и	3	3
сказания или	3	2
собственно и	2	2
в целом	4	2
то же	7	6
к этому	2	4
а также	8	8
как бы	5	4
с позиций	2	3
в противоположность	2	5
представляет собой	17	11
что в	4	5
лирических жанров	2	7
уже не	4	3
этого жанра	2	2
в этом	15	16
частной жизни	2	2
не следует	2	3
пока еще	6	2
в строгом	3	3
притчи о	2	4
роль в	7	4
вследствие этого	3	2
одного из	2	4
того же	3	2
о чем	2	2
из двух	2	3
с одной	9	4
жанров в	3	2
совпадает с	2	2
здесь в	2	3
героя в	2	5
же касается	2	2
но одновременно	2	3
времени в	2	4
не сводится	3	4
природе своей	5	2
еще не	14	6
в то	3	5
речевых жанров	12	3
мой взгляд	2	2
как уже	3	2
по природе	5	2
в ходе	3	2
ситуации рассказывания	3	2
н.д тамарченко	2	2
отличие от	5	12
по мысли	3	6
очевидным образом	3	3
ведет к	3	3
а в	5	2
своего рода	8	10
о.м фрейденберг	4	2
тогда как	19	11
и т.п	12	12
например в	2	3
в соответствии	2	2
не в	7	3
жанровая природа	2	2
такого рода	4	9
отношению к	9	4
о блудном	4	3
строгом значении	2	2
и не	11	15
значении этого	3	2
человека в	2	4
а сам	2	2
может быть	17	16
в себя	5	2
внутренней речи	2	3
блудном сыне	4	3
по словам	2	2
одного и	2	3
речевого жанра	2	4
в одном	2	4
состоит в	9	16
и все	2	3
а позднее	2	2
о том	8	4
в этой	2	4
в себе	7	19
не с	3	2
данного жанра	5	5
только в	7	3
но и	14	11
в другом	2	3
не является	4	4
адресата в	2	3
соответствии с	2	3
что же	2	2
из них	3	3
коммуникативного события	14	5
не более	2	2
становления и	2	3
что и	3	2
как в	10	8
или иной	5	3
коммуникативную ситуацию	2	3
являет собой	3	2
то что	5	5
как и	16	16
потому что	4	4
с.с аверинцева	3	2
стороны и	2	2
и его	2	3
не может	9	9
значении термина	3	2
было в	2	3
в его	7	3
с его	4	6
не только	28	10
том что	19	10
можно сказать	5	3
отнюдь не	8	6
в них	4	3
может и	2	2
в своих	3	6
могут быть	4	3
а не	22	14
той или	3	3
в притче	4	2
ни к	6	5
же время	4	5
и на	5	5
в рассказе	2	4
художественного письма	7	7
в тексте	2	3
не было	7	3
в отличие	5	12
по своей	11	6
с ее	2	2
коммуникативным событием	2	2
по отношению	9	4
в котором	5	3
в наше	2	2
для себя	4	2
и адресата	2	2
при всей	3	7
на самого	2	2
но при	3	2
следует признать	2	3
в основе	7	4
одной стороны	9	4
в том	23	8
это в	2	2
а с	5	5
иначе говоря	2	3
но в	8	11
в сказании	3	3
наше время	2	2
с другой	10	5
[...] в	5	3
в пределах	2	4
все же	3	6
приводит к	2	3
в частности	9	12
