2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram
не так	3	2
связи с	3	3
никогда не	4	3
так же	5	4
влияние на	2	2
из коих	3	2
со стороны	8	3
исходная точка	2	2
к тому	4	3
с нею	4	3
для нас	9	14
человеческого духа	6	6
к сознанию	2	2
мысли о	4	2
с этим	7	7
и как	6	2
самого начала	3	2
что слово	3	10
того как	6	6
том смысле	4	2
точки зрения	8	4
стало быть	2	8
что мысль	4	3
как бы	6	5
что в	22	17
во многих	2	2
уже не	2	3
же с	7	2
что как	3	4
той же	3	3
и о	2	4
о языке	3	2
было бы	12	8
с языком	2	2
только на	3	4
в нас	7	3
таким образом	13	24
а в	5	5
лица и	2	3
для человека	2	4
для мысли	2	2
что если	3	6
вместе и	9	2
из себя	5	2
очевидно что	3	7
в более	4	2
только потому	3	4
в других	2	2
к ним	2	2
у нас	2	2
отношению к	13	8
как она	3	2
и другое	3	2
и слова	2	2
этим последним	3	4
образом что	2	2
и понятия	2	2
в себе	13	14
только в	25	15
не имеет	5	5
бы они	2	2
только для	3	2
хотя в	3	2
и это	3	2
и его	5	2
и только	2	3
не может	22	11
он не	3	2
человеческой природы	3	2
могли бы	2	4
не есть	10	9
и если	2	3
по себе	10	11
что по	3	2
и тем	3	4
а как	2	2
в них	3	3
мере того	3	4
быть не	4	2
мысли в	9	2
быть названы	2	2
тем что	9	10
есть уже	3	4
умственной деятельности	4	2
хотя и	3	5
язык не	5	5
же время	4	3
и следовательно	2	3
эта мысль	2	2
мысли и	9	7
слова в	2	3
не существует	2	2
в том	26	23
но в	9	8
к одному	2	3
проявляется в	2	2
со словом	3	3
по мере	6	7
что это	3	7
и при	3	2
из этого	2	2
так и	13	6
с точки	3	3
и в	39	23
не будет	2	3
не можем	2	5
вместе с	8	6
значение и	2	2
она не	3	2
то в	5	3
представить себе	3	2
в сознании	3	4
при этом	6	15
этот вопрос	2	3
и с	3	4
что мы	4	10
языка и	17	3
все что	2	2
тому как	4	2
с и	3	2
столь же	3	2
только тогда	5	5
с тем	5	7
мысль о	2	6
бы только	2	2
к ней	2	2
в этом	15	23
не следует	5	2
на себе	2	3
должно быть	7	5
языка то	4	2
что до	2	2
бы ни	4	2
в мире	3	2
еще не	6	3
в то	4	4
что иное	2	2
в сравнении	3	4
в самом	3	3
на основании	2	4
об отношении	3	2
слова то	2	4
которые не	2	2
каждый раз	4	4
то и	7	4
не из	3	5
т п	4	4
связь между	2	3
мысль что	5	3
т с	25	6
и не	18	18
членораздельный звук	2	3
даже и	2	3
мы можем	2	10
в одном	8	4
при помощи	2	3
и без	3	2
бы в	4	2
но и	20	11
там же	9	3
того чтобы	2	4
есть наука	4	2
для того	3	6
языка с	6	3
таким же	2	5
потому что	52	33
в которой	2	6
в каждом	4	3
только не	2	3
слова и	4	5
тем более	2	5
в слове	8	22
еще более	2	2
в его	5	5
чем в	2	2
том и	2	2
с ним	3	5
тем самым	4	4
в каком	6	4
в своих	4	2
мы не	10	8
в ней	7	2
никто не	3	2
не было	4	12
все более	3	3
это последнее	2	4
по отношению	13	10
можно думать	2	2
что язык	16	7
что на	6	2
без языка	4	2
нет ничего	2	3
что даже	2	2
в таких	2	2
заметить что	2	6
в действительности	4	3
что например	3	3
мы в	2	3
в нем	20	7
оно не	3	2
если же	5	4
тем как	3	2
это не	7	7
без него	2	2
но это	5	3
в состоянии	3	2
таком случае	2	2
то есть	42	34
если бы	14	13
все в	2	2
независимо от	6	6
и т	6	7
для него	4	5
по крайней	2	5
каким образом	3	2
так сказать	2	5
так что	16	5
в таком	5	4
и их	3	3
в мысли	8	3
и притом	4	2
к первому	3	2
за ним	2	2
слова не	2	3
и для	5	2
значительной степени	2	2
зависят от	2	2
душевной жизни	9	3
тогда как	2	4
вопрос о	4	2
есть для	2	5
между прочим	2	3
если мы	3	2
должны быть	7	3
тогда когда	9	8
мы видим	4	2
в первом	5	3
мысли то	7	4
в разных	2	3
иное как	2	2
мы должны	3	2
что не	10	6
не что	2	2
в истории	7	4
известно что	2	6
что же	2	5
и более	2	4
в этих	7	3
то мы	2	3
развития мысли	3	2
то что	10	29
между собою	6	4
в другой	3	2
что все	3	4
к другим	2	2
не только	21	10
язык есть	17	7
том что	16	12
на этот	2	2
могут быть	9	7
от того	4	4
а не	21	12
и даже	4	2
то это	5	8
само по	4	5
есть только	11	5
во всяком	3	5
думать что	3	4
сами не	2	2
в самой	3	2
есть вместе	3	2
в сущности	2	2
друг друга	5	2
языка в	6	2
возможно только	5	3
сказать что	3	8
и может	2	4
из него	2	2
между тем	5	9
более и	2	2
из этих	4	2
есть в	2	5
есть нечто	4	5
из одного	3	3
на деле	4	2
в свою	4	2
и потому	5	10
подобно тому	3	2
по поводу	3	4
и есть	2	3
того что	8	14
не менее	6	5
в своем	3	8
тем не	6	4
то же	6	14
если и	2	2
от мысли	2	2
судить о	3	2
если б	2	4
том же	2	2
в языке	33	16
убеждение что	2	2
видно что	2	4
и вообще	3	2
так как	21	14
развития и	3	2
но уже	2	3
вытекают из	3	2
и вместе	2	3
без сомнения	3	4
на то	2	7
