2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part2_wordlist_2gram
между тем	3	5
в монологическом	2	5
ни было	2	2
и ее	3	2
далеко не	4	3
и этим	3	3
этого самосознания	2	2
никогда не	9	3
в художественном	3	3
наконец в	3	2
так же	2	6
достоевского нет	2	3
в нем	12	19
не на	4	4
можно было	3	2
если же	4	3
его в	3	6
к нему	5	6
так и	3	7
со всею	3	2
в своей	4	8
это не	3	9
для достоевского	3	5
с точки	8	13
художественного замысла	2	2
прежде всего	10	7
из одного	4	4
но это	4	4
в форме	2	7
раз и	2	4
в одной	3	6
нами в	2	2
их мирами	2	4
и в	43	29
одна из	2	3
но не	5	9
в процессе	2	4
если бы	3	9
но эти	4	2
тот же	3	2
в человеке	3	3
она не	3	7
и т	13	4
перед нами	7	5
для него	8	18
входит в	2	7
отношение к	2	2
другой стороны	3	3
все это	5	6
при этом	6	2
у него	6	5
достоевский не	2	3
себя как	3	2
не входит	2	3
и старается	2	2
в результате	4	4
этот вопрос	4	2
момент его	2	2
с этим	2	2
художественного творчества	2	3
и с	5	4
уже в	2	3
достоевского не	3	12
достоевского становится	2	3
и как	2	7
а лишь	2	2
себе еще	2	2
в отношении	3	2
точки зрения	13	19
отношения к	2	3
они могут	2	2
же и	4	2
что он	13	8
так чтобы	4	4
так что	5	2
не знает	3	3
так сказать	6	4
в своем	4	8
была бы	2	3
в большинстве	9	2
слова но	2	2
из подполья	2	10
герой достоевского	2	8
романах достоевского	2	5
есть и	3	2
то же	8	14
в целом	2	6
как бы	22	19
и нет	4	2
между ними	4	2
сих пор	7	2
что в	4	8
произведениях достоевского	4	5
сочетания голосов	2	2
уже не	3	13
достоевского он	2	2
творчестве достоевского	3	5
в этом	13	22
в которых	2	2
должно быть	4	4
на себе	2	2
одной плоскости	2	5
в жизни	3	2
этом смысле	2	10
отличается от	2	3
его и	2	2
героя и	5	10
и самое	2	3
должна быть	3	5
его художественного	3	3
кроме того	3	3
или как	4	5
героя в	3	4
для автора	2	2
никак не	5	2
себе самом	3	9
него в	3	2
той же	3	5
в их	3	3
от них	2	2
и о	2	5
еще не	9	5
в то	7	10
т е	26	21
и для	3	4
так как	4	6
чужого сознания	2	2
как раз	4	6
точек зрения	4	3
было бы	5	5
с их	2	5
романе достоевского	2	7
в самом	7	10
же не	4	2
авторского слова	2	8
и др	2	5
европейского романа	2	2
автора как	2	3
и до	4	3
таким образом	5	12
а в	5	7
в первой	2	2
у достоевского	14	16
его творчества	2	3
до сих	7	2
ни одного	4	2
не укладывается	3	2
сознании и	2	2
авторским словом	3	2
него не	2	2
достоевского но	3	6
то и	2	2
в творчестве	2	5
вопрос о	2	2
как мы	10	4
например в	2	3
он и	3	5
вовсе не	5	7
произведений достоевского	2	6
его к	2	2
все эти	5	9
не могут	4	6
достоевского в	4	12
конце концов	2	5
слово о	4	7
в романе	3	9
т п	9	3
о нем	6	9
не в	11	7
друг с	4	2
но эта	2	4
в плоскости	2	4
отношению к	5	8
но все	2	5
сознания и	3	5
себе и	4	3
себе самому	4	3
лишь как	2	7
и не	29	31
за пределы	3	7
в произведении	4	4
человека в	4	4
даже в	3	4
может быть	23	24
в себя	3	3
на него	3	3
автора и	2	5
и наконец	6	4
ни в	2	3
одного сознания	2	9
мире достоевского	2	7
с собою	2	2
достоевского как	2	9
конечно не	2	2
большинстве случаев	8	2
о себе	7	12
к себе	7	2
в одном	12	10
не во	2	3
из его	2	2
в произведениях	3	3
более того	4	5
героя но	2	2
не как	6	14
по существу	3	3
и к	3	2
я не	4	3
нам кажется	5	2
то перед	6	2
в себе	5	7
как же	2	4
от автора	3	3
ивана карамазова	2	4
и со	3	2
только в	4	10
бы в	5	3
себя и	3	2
но и	14	14
отношении к	2	3
для понимания	2	2
чужое слово	45	2
что же	7	4
сказать что	2	3
по своим	3	2
и сам	7	2
что было	2	4
что и	3	4
как в	2	6
слово в	8	2
вне его	2	2
то что	7	15
как и	14	12
достоевского и	2	7
на почве	2	3
у тургенева	4	2
в каждом	11	8
зрения и	3	2
сознание и	2	5
и это	4	5
рядом с	5	14
достоевский в	4	6
и пр	2	3
он сам	3	3
и здесь	3	3
и его	8	14
самом деле	5	6
до конца	4	8
к другому	5	2
не может	18	12
он не	9	5
здесь с	2	3
в его	10	24
сливается с	2	6
не есть	2	2
в той	5	2
с ним	3	5
с его	4	9
не только	11	15
по себе	11	8
том что	2	7
мы уже	3	2
слова героя	2	2
на этот	4	2
на себя	2	2
на материале	2	3
а как	4	7
в них	4	3
в своих	2	3
уже и	2	2
могут быть	3	6
тем что	3	4
а не	7	22
их в	4	4
в единстве	3	6
и даже	3	2
кажется что	3	2
бы он	2	2
бы и	2	4
чужое сознание	3	2
же время	5	9
он есть	2	4
и на	10	7
во всяком	2	5
самим собою	5	2
и следовательно	3	4
слово героя	3	7
ведь это	2	2
по отношению	5	8
в котором	6	2
в самой	4	6
в конце	2	6
для себя	2	2
мысли и	2	5
в романах	3	7
хотя бы	2	2
лишь на	2	3
как слово	2	3
все его	2	3
ничего не	3	5
одного куска	2	2
героя с	3	3
там где	4	10
превращается в	2	4
в том	6	8
но в	10	7
другого человека	4	4
здесь мы	2	2
что может	2	2
и что	5	2
с другой	4	3
но он	4	2
в сущности	9	5
в пределах	16	13
все же	3	9
человек и	2	2
приводит к	6	3
