3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram	Vygotskiy_Psychologia_partition_part1_wordlist_3gram
и в самом	2	10
на то что	8	12
во всяком случае	6	2
для того чтобы	5	8
о том что	7	3
в сущности говоря	3	7
смысле этого слова	2	2
на самом деле	2	2
заключается в том	6	6
не в том	5	2
легко показать что	2	3
то время как	5	2
все то что	3	6
мы видим что	2	7
мы не можем	2	2
только в том	3	2
в том что	9	11
в то время	5	2
заключается не в	2	2
вместе с тем	2	2
в какой мере	3	2
в самом деле	7	18
с точки зрения	2	9
указывает на то	3	3
то же самое	2	8
при помощи которого	2	2
с другой стороны	5	5
что у него	3	2
и т п	15	5
с одной стороны	5	5
и т д	8	4
мы увидим что	2	7
совершенно ясно что	14	5
до сих пор	3	5
мы видели что	2	2
