3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part1_wordlist_3gram	Tiupa_AnalitikaHudozhestvennogo_partition_part3_wordlist_3gram
в этом ряду	2	2
той или иной	3	6
о том что	5	3
мы имеем дело	4	4
в отличие от	2	6
в свое время	2	2
по отношению к	7	5
в том что	7	9
в этом отношении	3	2
к тому же	3	4
подобно тому как	2	3
том что он	2	2
в то же	3	8
с точки зрения	2	4
в данном случае	3	2
и того же	3	2
с другой стороны	5	2
с одной стороны	2	3
на наш взгляд	2	6
в конечном счете	2	4
то же время	3	6
одного и того	3	2
не более чем	2	4
