2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_2gram
между тем	5	2
и этим	2	3
из этих	2	3
голосов в	3	7
но конечно	2	2
никогда не	5	6
в художественном	2	2
в нем	20	17
так же	6	3
и старается	2	2
можно было	3	2
если же	2	5
есть в	3	6
в своей	11	3
к нему	3	5
так и	10	4
тем как	4	2
это не	10	5
для достоевского	6	2
с точки	15	9
прежде всего	7	9
из одного	4	2
раз и	3	4
но это	5	6
в одной	4	2
в данном	2	2
и в	23	46
но не	8	4
одна из	2	2
в процессе	4	4
вместе с	2	2
то есть	24	40
если бы	10	3
но эти	2	4
она не	5	3
все в	6	2
перед нами	4	12
для него	15	2
для нас	3	2
другой стороны	2	3
все это	7	6
при этом	3	5
у него	6	5
и одновременно	3	2
себя как	5	3
как нам	2	2
в результате	4	2
если уж	2	2
этот вопрос	2	2
художественного видения	12	2
и другие	2	3
и с	4	7
уже в	5	4
да и	2	4
и как	8	2
поэтому и	2	2
себе еще	2	2
в отношении	2	3
точки зрения	21	11
делая его	2	2
отношения к	2	2
себя в	3	3
не дает	3	2
все что	3	2
что он	10	6
в своем	8	3
так сказать	3	5
сами по	3	2
но для	2	3
в большинстве	2	9
слова но	2	4
романах достоевского	6	7
то же	10	6
и показать	2	2
как бы	28	19
и их	2	3
между ними	2	10
сих пор	2	8
что в	8	4
произведениях достоевского	5	3
творчестве достоевского	5	2
уже не	8	4
в которых	2	2
в этом	25	16
одной плоскости	3	2
в жизни	6	5
этом смысле	9	2
отличается от	2	3
героя и	5	4
лишь в	3	2
должна быть	2	2
кроме того	3	4
героя в	4	3
никак не	2	3
себе самом	6	5
него в	2	3
той же	6	3
в их	3	4
в духе	3	2
видения и	8	2
в мире	7	3
и о	3	3
еще не	5	7
в то	10	5
и для	3	3
они не	3	2
так как	7	5
как раз	4	7
точек зрения	3	4
было бы	6	3
в самом	8	9
авторского слова	7	2
отличие от	2	3
таким образом	11	4
а в	7	2
в первой	2	2
у достоевского	24	16
его творчества	7	3
до сих	2	8
или к	2	2
вовсе не	8	9
и т.п	3	14
достоевского но	8	3
то и	2	2
вопрос о	4	2
как мы	5	12
произведений достоевского	7	6
например в	3	4
он и	5	4
все эти	8	4
жизни и	6	5
его к	4	2
не могут	6	3
достоевского в	19	8
слово о	2	4
в романе	11	6
во всех	5	5
о нем	11	6
не в	6	10
друг с	3	5
в плоскости	4	2
отношению к	11	5
но все	4	2
сознания и	3	2
себе и	3	3
себе самому	3	4
лишь как	5	2
за пределы	6	5
и не	34	27
может быть	21	23
с собою	2	2
ни в	3	6
в себя	3	4
на него	2	3
автора и	5	2
и наконец	5	4
мире достоевского	5	2
одном из	2	2
слово героя	6	3
о себе	9	5
большинстве случаев	2	8
и все	3	9
к себе	2	6
в одном	9	11
о том	2	5
в произведениях	2	2
и во	2	3
в этой	4	3
более того	3	3
не как	12	3
по существу	4	3
и к	4	9
нам кажется	4	5
то перед	2	4
в себе	5	7
от автора	3	2
только в	8	6
бы в	3	3
себя и	2	3
но и	11	12
его жизнь	2	2
отношении к	2	2
для понимания	3	2
материал и	2	2
но именно	4	3
сказать что	5	2
остается в	2	2
как он	2	3
романов достоевского	12	2
самого достоевского	6	2
и сам	2	5
творчество достоевского	3	2
в этих	2	4
что и	5	3
как в	6	4
творчества достоевского	7	2
слово в	2	6
вне его	2	2
в последний	2	2
то что	18	4
как и	8	12
потому что	12	4
следовательно и	2	2
достоевского и	12	2
в каждом	8	6
зрения и	2	2
с другом	3	5
и это	5	3
рядом с	13	5
и здесь	3	4
он сам	3	2
и его	13	6
самом деле	5	4
в пределах	9	10
до конца	5	4
к другому	2	5
он не	4	4
не может	11	19
здесь с	3	2
в его	24	9
одним из	8	3
не могли	2	2
в той	6	3
с ним	6	2
с его	6	5
не только	13	14
по себе	7	7
том что	9	4
можно сказать	2	4
мы уже	2	3
на этот	2	2
и тем	2	2
на себя	3	4
а как	6	2
и само	2	2
тем что	3	3
а не	20	11
их в	2	3
мы не	2	4
в единстве	7	3
этого слова	2	2
и даже	3	3
и других	5	4
кажется что	3	3
бы и	4	2
же время	7	5
он есть	3	2
и на	10	11
во всяком	4	2
героев достоевского	3	3
в условиях	2	3
не было	3	2
самим собою	2	3
с ее	2	3
в отличие	2	3
его как	5	2
ведь это	2	3
по отношению	11	5
в котором	2	5
в самой	7	5
в конце	5	3
в романах	7	5
мысли и	2	2
хотя бы	2	2
ничего не	6	2
героя с	2	2
там где	6	2
в том	11	9
но в	4	6
другого человека	4	3
конечно и	4	3
с другой	2	3
диалогические отношения	3	15
но он	2	3
друг друга	3	6
в сущности	5	7
и по	2	2
все равно	2	2
все же	5	4
приводит к	3	4
