3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part7_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part3_wordlist_3gram
в значительной степени	2	2
с начала и	4	2
в романе рабле	15	5
хвалы и брани	4	2
хвала и брань	2	3
верх и низ	2	2
в эпоху рабле	6	3
все то что	2	3
в четвертой книге	4	3
как и в	2	2
по отношению к	2	2
как мы видели	2	4
и до конца	5	2
в этом отношении	2	2
но в то	4	3
мы уже говорили	3	3
начала и до	4	2
в то же	6	9
можно было бы	2	2
том числе и	2	2
то же время	6	9
в том числе	3	4
