2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part2_wordlist_2gram	Bakhtin_formyVremeniIChronotopaVRomane_partition_part1_wordlist_2gram
связи с	6	8
далеко не	2	2
в этот	2	3
наконец и	2	2
чувствует себя	2	3
наряду с	5	2
никогда не	2	6
очень важная	2	2
у них	2	2
так же	6	2
в нем	24	5
авантюрном времени	5	3
друг другу	2	2
влияние на	4	2
его в	3	6
так и	12	7
чем не	3	2
это не	6	2
с точки	2	8
отсюда и	2	2
прежде всего	15	14
в форме	3	3
в данном	2	2
приватной жизни	8	3
и в	50	46
но не	5	5
вместе с	3	9
то есть	33	10
для раскрытия	2	2
к тому	3	3
значение и	3	4
в качестве	3	3
и т	8	14
для него	2	3
жизни в	8	4
отношение к	2	3
здесь не	4	2
именно в	3	2
по всем	2	2
все это	4	6
при этом	3	6
у него	6	9
здесь еще	2	3
мире и	2	2
в последующей	4	2
и потому	3	2
здесь дается	3	2
они были	2	2
совсем не	2	2
мы будем	2	3
истории романа	5	3
человека и	11	4
специфической логикой	2	3
и другие	5	3
с этим	6	5
друг на	2	2
отдельных авантюр	3	2
этого романа	4	2
и с	4	6
мира в	3	3
уже в	2	4
хронотопа в	5	3
и как	10	3
того что	2	3
в отношении	3	2
точки зрения	5	10
отношения к	3	4
этого мира	4	2
в своем	4	5
так сказать	7	7
не знает	3	2
в пространстве	5	5
роман в	4	2
также и	2	4
нет и	2	3
с тем	3	2
равно как	2	2
место в	2	4
характерно что	4	2
то же	11	8
к этому	3	3
а также	2	3
этом мире	2	6
как бы	2	10
на развитие	2	3
образ человека	6	2
человек в	3	2
и их	8	4
во все	2	2
между ними	3	2
сих пор	3	2
что в	5	5
уже не	2	3
в которых	2	3
в этом	25	22
принадлежит к	2	2
роль в	9	3
том же	2	4
лишь в	6	2
того же	8	3
с одной	3	2
романа в	5	2
кроме того	4	3
в это	2	3
здесь в	2	6
новое и	2	3
романе в	2	6
времени в	7	7
в их	6	3
видения и	2	2
его жизни	8	4
еще не	5	6
эту жизнь	2	2
в то	9	5
и для	4	9
так как	6	6
и у	5	5
было бы	2	2
быть и	2	2
и др	9	5
и прежде	2	3
и до	5	2
таким образом	11	3
а в	3	3
в роман	4	2
в эпосе	2	2
в литературе	16	2
греческом романе	22	3
ее в	2	3
человеческой жизни	6	4
этот ряд	5	3
до сих	3	2
борьбе с	2	2
вовсе не	13	13
и т.п	4	2
как мы	14	6
не были	2	2
все эти	9	5
в некоторых	2	2
жизни и	8	8
к ним	2	2
и времени	3	6
романе и	4	3
в романе	32	13
во всех	6	11
т п	8	11
не в	5	9
но эта	3	2
на основе	2	3
себе самому	4	3
мы видим	3	2
жизни но	5	2
всех этих	5	7
и не	14	9
пространства и	4	2
для других	4	3
в авантюрном	5	2
во времени	3	3
автора и	2	2
смысле слова	2	2
человека в	17	6
может быть	11	7
конечно не	4	4
приватного человека	3	2
и все	6	6
к себе	4	4
с помощью	2	3
в одном	3	7
и во	7	6
по существу	12	5
и к	2	2
в связи	5	8
в себе	3	4
этом отношении	3	2
только в	4	11
себя и	3	3
но и	8	9
не является	2	3
последующей истории	5	2
в дальнейшем	6	5
мир в	2	4
уже говорили	3	4
от этого	2	2
в истории	2	4
имеет место	3	3
того чтобы	5	8
жизнь и	4	3
как он	2	2
греческих романов	6	2
что было	3	3
в этих	3	3
человеческую жизнь	2	2
этого ряда	3	6
для того	5	8
или иной	2	2
что и	3	3
как в	6	4
уже сказали	2	3
то что	6	7
как и	8	8
потому что	4	8
что все	2	2
своей жизни	4	2
дан в	2	3
один из	3	2
в последующем	4	2
в особенности	9	6
и это	4	2
рядом с	2	2
том числе	4	3
слова и	2	3
и его	16	12
до конца	4	2
числе и	2	2
пределах отдельных	2	2
он не	5	5
не может	6	2
героев и	3	4
еще более	3	4
в его	13	8
в образе	5	4
в той	4	2
с ним	2	4
не только	9	11
по себе	2	2
том что	4	4
мы уже	11	9
со всеми	3	2
в точках	2	2
отнюдь не	5	4
в них	4	7
на друга	2	2
с большой	2	2
могут быть	5	2
ту же	2	2
в виду	3	3
тем что	2	3
а не	3	4
их в	3	4
хотя и	3	3
и даже	2	3
и других	3	2
же время	9	4
в греческом	24	5
и на	8	7
в основном	5	8
во всяком	3	2
же в	3	4
не было	7	3
самим собою	3	2
здесь это	3	2
в котором	4	4
в самой	2	2
в конце	9	2
автобиографии и	2	2
почти вовсе	2	2
те же	2	6
все его	3	4
исторического времени	4	3
доклассового фольклора	2	3
в основе	5	6
греческого романа	26	2
мы еще	3	3
там где	2	2
в том	9	10
но в	10	10
с другой	2	2
но он	2	2
в сущности	3	2
не для	2	2
и по	2	3
в пределах	5	5
все же	6	6
в частности	6	5
