2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_2gram
или не	3	2
ведь если	2	4
связи с	5	5
разного рода	6	4
так же	9	5
к нему	3	2
без всякой	2	5
в данном	9	10
того или	2	7
и понятие	2	2
к тому	3	3
перед нами	5	2
есть отражение	2	3
для нас	5	9
в настоящее	3	16
совсем не	4	7
о которых	3	3
в результате	2	4
с этим	3	5
и как	6	4
едва ли	2	9
точки зрения	3	2
же самое	9	6
знак есть	2	11
от нас	3	3
нет и	2	3
что они	3	3
как бы	14	4
что в	12	11
во многих	2	2
уже не	3	8
этом смысле	6	5
определенным образом	3	2
себе что	2	2
кроме того	2	5
или как	3	2
но как	6	6
предмет обозначения	4	4
все другие	2	2
тех или	3	3
никак не	4	11
и о	8	4
имеет ничего	2	2
акт обозначения	4	4
есть ни	5	3
с другими	2	5
заставляет нас	2	2
в него	2	2
было бы	8	8
только на	4	9
таким образом	6	4
а в	4	4
пор мы	2	2
что если	2	4
этой области	2	3
по этому	3	3
и обозначаемого	3	2
это только	2	3
но только	2	4
у нас	14	18
уж тем	2	5
всех этих	7	4
как нечто	8	2
в связи	4	5
в себе	15	5
которые в	2	2
является не	2	2
только в	7	14
не будем	2	4
уже давно	2	5
не имеет	2	7
не то	2	2
или иной	5	5
а это	2	3
и которые	5	2
в науке	2	3
если не	4	4
и это	9	5
есть именно	5	5
более или	3	4
и только	4	4
то на	2	2
не может	8	13
он не	3	2
это тоже	2	3
не есть	29	33
говоря уже	2	4
и если	6	3
по себе	15	8
или может	2	2
и тем	13	4
содержит в	7	2
в них	7	2
обозначения и	4	6
нашего исследования	2	3
тем что	7	4
хотя и	6	3
а только	5	6
говорим о	2	3
собственно говоря	2	2
и следовательно	3	4
ведь это	2	2
так или	2	6
не существует	6	6
в том	9	12
но в	14	6
все равно	5	3
и ее	8	2
общего между	5	2
вообще не	2	4
как будто	3	6
и при	2	2
знак то	4	4
его в	6	3
так и	12	7
об этом	10	2
говорить о	6	10
не о	2	6
является в	2	2
и в	32	35
не будет	2	11
не можем	2	4
вместе с	2	2
в качестве	2	2
она не	2	3
здесь не	7	2
ли сказать	2	2
нас в	2	3
другой стороны	3	5
все это	7	4
при этом	6	3
знак который	3	2
и ни	4	3
и с	2	10
не являются	5	3
уже в	3	3
да и	3	10
что мы	13	14
гораздо более	2	4
не нужно	3	3
и уж	2	5
определенного рода	2	6
же и	3	2
тому как	2	3
что он	7	4
предмета и	2	3
на первый	2	4
также и	11	12
с тем	5	3
знак вещи	4	5
это вовсе	2	2
о знаке	2	11
оказывается что	2	3
в этом	19	17
и вполне	3	4
должно быть	2	2
пока еще	3	9
от всего	3	3
о чем	6	6
составляющих его	4	2
мы и	4	6
в их	4	3
взятые сами	2	2
еще не	9	10
в то	6	6
что иное	2	3
как раз	13	8
в самом	6	5
другими словами	3	6
мышления и	4	2
что для	2	3
которые не	3	2
до сих	3	4
уже с	2	2
то и	6	4
как знак	2	2
конце концов	4	7
во всех	7	2
и не	31	37
вещи и	12	2
смысле слова	7	7
в виде	15	6
даже и	8	18
мы можем	4	6
на самом	6	4
при помощи	13	8
совершенно не	6	2
но ведь	3	3
обязательно есть	2	2
как же	3	4
не просто	23	11
но и	9	16
вещи или	4	3
учение о	3	2
того чтобы	9	2
казалось бы	4	7
для того	8	3
потому что	16	13
что всякий	4	5
только не	3	3
или иначе	2	6
тем более	5	10
в его	6	7
можно сказать	5	6
тем самым	4	7
никак нельзя	3	3
в каком	3	4
мы не	2	7
указывает на	14	5
а может	2	2
не было	4	3
или в	4	2
каком случае	3	3
нет ничего	10	2
или вообще	2	4
в таких	2	3
далеко не	5	4
большей частью	2	3
в действительности	3	2
же мы	2	2
что такое	6	18
который вовсе	2	3
мы в	3	3
и того	2	3
можно было	3	5
оно не	3	3
что она	5	4
несмотря на	3	3
прежде всего	10	11
но это	8	6
этого термина	4	8
таком случае	6	10
но если	2	4
но не	9	4
то есть	33	39
если бы	4	4
данном случае	8	5
и т	11	6
что оно	3	2
тоже не	7	7
по крайней	2	6
настоящее время	3	16
так что	6	11
в таком	9	11
а также	4	2
и притом	4	3
можно ли	5	6
это совершенно	4	2
и для	4	6
этом случае	2	7
от другого	2	2
быть и	3	2
этот термин	4	2
как именно	2	3
подобного рода	5	4
на том	4	3
а именно	12	6
некоторого рода	5	7
по своему	9	5
если мы	11	9
значит что	3	4
на этой	2	2
иное как	2	3
мы должны	5	3
что не	3	5
не является	5	7
не что	2	3
для этого	3	3
в истории	4	3
что же	9	9
знак в	2	2
в этих	3	4
и особенно	2	2
то что	42	38
между собою	7	4
нас не	2	3
что все	3	6
в области	2	6
и здесь	6	4
он сам	2	3
это было	2	2
есть по	4	2
есть знак	8	10
по преимуществу	2	2
не только	17	24
том что	12	19
уже и	3	3
той или	5	5
а не	15	10
и даже	11	11
бы мы	3	2
и на	8	5
есть только	8	8
во всяком	7	13
для знака	5	4
сама по	4	4
ни о	5	4
для себя	3	9
мы возьмем	2	2
в математике	2	4
ничего не	10	10
именно как	4	4
знака мы	2	2
всяком случае	3	10
и вовсе	4	6
что может	2	2
однако это	3	2
сказать что	13	24
мы уже	5	3
необходимо сказать	2	6
для них	2	3
из этих	2	3
понятия символа	7	3
есть в	5	4
есть нечто	11	7
его от	3	2
свидетельствует о	3	2
раз и	9	5
понятия знака	2	5
знак а	2	3
обозначаемого и	2	2
входит в	4	2
в одно	4	2
тоже есть	3	5
подобно тому	2	2
по поводу	4	2
и есть	6	4
общего с	8	2
того что	7	12
в отношении	3	4
не менее	19	13
только то	4	3
в своем	5	4
сами по	3	2
тем не	18	12
может иметь	2	2
символа в	3	2
то во	2	2
и является	7	3
то же	10	5
сих пор	3	4
и ничего	2	2
то или	2	3
взятая сама	4	2
или иного	2	5
не значит	2	2
ничего общего	11	3
