2gram	Potebnia_Myslijsyk_partition_part1_wordlist_2gram	Potebnia_Myslijsyk_partition_part4_wordlist_2gram
не так	2	3
связи с	3	3
никогда не	3	4
так же	4	5
влияние на	2	2
из коих	2	3
со стороны	3	8
исходная точка	2	2
к тому	3	4
с нею	3	4
для нас	14	9
человеческого духа	6	6
к сознанию	2	2
мысли о	2	4
с этим	7	7
и как	2	6
самого начала	2	3
что слово	10	3
того как	6	6
том смысле	2	4
точки зрения	4	8
стало быть	8	2
что мысль	3	4
как бы	5	6
что в	17	22
во многих	2	2
уже не	3	2
же с	2	7
что как	4	3
той же	3	3
и о	4	2
о языке	2	3
было бы	8	12
с языком	2	2
только на	4	3
в нас	3	7
таким образом	24	13
а в	5	5
лица и	3	2
для человека	4	2
для мысли	2	2
что если	6	3
вместе и	2	9
из себя	2	5
очевидно что	7	3
в более	2	4
только потому	4	3
в других	2	2
к ним	2	2
у нас	2	2
отношению к	8	13
как она	2	3
и другое	2	3
и слова	2	2
этим последним	4	3
образом что	2	2
и понятия	2	2
в себе	14	13
только в	15	25
не имеет	5	5
бы они	2	2
только для	2	3
хотя в	2	3
и это	2	3
и его	2	5
и только	3	2
не может	11	22
он не	2	3
человеческой природы	2	3
могли бы	4	2
не есть	9	10
и если	3	2
по себе	11	10
что по	2	3
и тем	4	3
а как	2	2
в них	3	3
мере того	4	3
быть не	2	4
мысли в	2	9
быть названы	2	2
тем что	10	9
есть уже	4	3
умственной деятельности	2	4
хотя и	5	3
язык не	5	5
же время	3	4
и следовательно	3	2
эта мысль	2	2
мысли и	7	9
слова в	3	2
не существует	2	2
в том	23	26
но в	8	9
к одному	3	2
проявляется в	2	2
со словом	3	3
по мере	7	6
что это	7	3
и при	2	3
из этого	2	2
так и	6	13
с точки	3	3
и в	23	39
не будет	3	2
не можем	5	2
вместе с	6	8
значение и	2	2
она не	2	3
то в	3	5
представить себе	2	3
в сознании	4	3
при этом	15	6
этот вопрос	3	2
и с	4	3
что мы	10	4
языка и	3	17
все что	2	2
тому как	2	4
с и	2	3
столь же	2	3
только тогда	5	5
с тем	7	5
мысль о	6	2
бы только	2	2
к ней	2	2
в этом	23	15
не следует	2	5
на себе	3	2
должно быть	5	7
языка то	2	4
что до	2	2
бы ни	2	4
в мире	2	3
еще не	3	6
в то	4	4
что иное	2	2
в сравнении	4	3
в самом	3	3
на основании	4	2
об отношении	2	3
слова то	4	2
которые не	2	2
каждый раз	4	4
то и	4	7
не из	5	3
т п	4	4
связь между	3	2
мысль что	3	5
т с	6	25
и не	18	18
членораздельный звук	3	2
даже и	3	2
мы можем	10	2
в одном	4	8
при помощи	3	2
и без	2	3
бы в	2	4
но и	11	20
там же	3	9
того чтобы	4	2
есть наука	2	4
для того	6	3
языка с	3	6
таким же	5	2
потому что	33	52
в которой	6	2
в каждом	3	4
только не	3	2
слова и	5	4
тем более	5	2
в слове	22	8
еще более	2	2
в его	5	5
чем в	2	2
том и	2	2
с ним	5	3
тем самым	4	4
в каком	4	6
в своих	2	4
мы не	8	10
в ней	2	7
никто не	2	3
не было	12	4
все более	3	3
это последнее	4	2
по отношению	10	13
можно думать	2	2
что язык	7	16
что на	2	6
без языка	2	4
нет ничего	3	2
что даже	2	2
в таких	2	2
заметить что	6	2
в действительности	3	4
что например	3	3
мы в	3	2
в нем	7	20
