3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part4_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part7_wordlist_3gram
в конце концов	4	4
то есть в	4	2
во время пира	3	2
с начала и	2	3
в романе рабле	5	8
в эпоху рабле	3	15
слов и выражений	2	2
как мы видели	4	2
в доме де	2	3
доме де баше	2	3
и до конца	2	3
в большинстве случаев	2	5
мы уже говорили	3	5
начала и до	2	3
то есть о	2	2
в то же	9	8
с точки зрения	3	2
кн iii гл	4	4
том числе и	2	2
более или менее	2	3
то же время	9	8
в материально-телесном плане	2	2
таким образом и	2	3
в том числе	4	3
