2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part4_wordlist_2gram
начинает с	2	2
в самых	3	2
в действительности	2	4
сам по	2	4
и ее	2	3
мы имеем	2	4
далеко не	3	5
же мы	2	3
художественной формы	4	12
такой же	2	7
понятно что	3	2
сейчас же	16	5
никогда не	5	9
как будто	8	7
что это	13	8
так же	13	18
в художественном	2	6
мы в	3	3
не на	2	2
в нем	7	4
можно было	4	7
из этого	5	4
так и	3	3
об этом	4	3
действия и	2	2
всю жизнь	2	2
что она	10	16
с точки	4	10
это не	6	2
в своей	4	3
в ее	2	2
и он	3	3
утверждает что	4	5
и в	33	32
не потому	2	2
но не	3	2
на нас	4	3
вместе с	8	2
то есть	13	21
если бы	10	6
тот же	3	6
к тому	12	7
она не	3	2
и т	6	10
который он	2	2
для нас	7	2
должен был	3	2
и так	4	3
что оно	3	2
вслед за	3	5
другой стороны	2	2
все это	13	5
при этом	2	13
знаем что	4	4
же самые	2	2
мы будем	5	2
этот вопрос	4	3
с этим	5	4
и с	2	4
нам что	2	2
их в	3	2
и как	5	7
образом в	2	3
того что	4	8
едва ли	2	4
точки зрения	6	17
говорит эйхенбаум	2	2
сводится к	2	2
же самое	6	6
тому как	2	3
даны в	4	2
столь же	2	4
что он	20	13
говорит что	10	7
так что	7	3
и эти	2	2
как на	6	5
что при	2	9
также и	2	2
была бы	2	2
сами по	3	3
он все	3	3
что они	6	7
с тем	4	11
место в	2	2
в целом	5	4
в таком	4	2
дело с	3	8
во всем	2	3
на этом	3	3
то же	9	13
на все	2	5
как бы	25	6
и говорит	3	2
сих пор	3	5
что в	21	20
в которых	3	3
тем и	2	2
в этом	28	13
бы то	2	2
в жизни	4	4
мы получим	3	2
видим что	2	3
это то	3	2
совершенно верно	6	2
в драме	3	2
совершенно ясно	8	7
никак не	6	4
и этот	3	2
стоит только	2	2
той же	4	8
в их	2	3
это совершенно	3	2
в то	3	5
и для	3	4
то как	2	3
так как	12	12
и мы	15	6
как раз	9	5
меньше всего	2	2
то чтобы	2	2
было бы	12	11
же точно	7	10
в самом	12	12
и до	3	4
таким образом	13	21
и той	2	4
а в	4	4
иметь дело	2	4
точка зрения	2	2
в руках	2	2
которой мы	3	2
что если	3	6
однако не	2	2
что для	5	7
художественного построения	2	3
до сих	3	5
на то	10	11
вовсе не	5	2
все эти	6	7
например в	3	3
ли он	2	2
жизни и	4	4
могло бы	3	2
точно так	3	3
как это	14	4
конце концов	3	3
во всех	2	3
т п	3	8
если мы	12	12
не в	2	8
художественный прием	2	2
себе и	2	2
мы видим	6	4
как она	10	4
и не	13	10
полагает что	5	2
и другое	2	2
к которой	3	2
может быть	22	18
всякий раз	6	2
на него	4	2
ни в	3	2
показать что	7	5
с таким	2	8
мы знаем	2	7
и сейчас	3	3
и из	3	6
и все	12	4
ли это	3	2
мы можем	5	3
в одном	3	2
на самом	6	5
что форма	2	4
при анализе	2	2
о том	20	6
в этой	9	6
при помощи	4	10
по существу	2	3
и к	2	3
совершенно не	4	4
больше того	3	2
в себе	6	2
мы должны	6	3
на примере	2	2
что у	4	5
ни на	2	3
только в	4	7
но и	3	10
и когда	2	4
что не	4	3
для этого	8	3
самое что	2	2
материал и	2	2
того чтобы	22	14
то время	2	3
жизнь и	4	3
из них	4	4
как он	5	2
при таком	3	4
не имеет	2	4
когда мы	6	2
что и	3	17
казалось бы	5	2
для того	23	13
но совершенно	4	3
материала и	2	2
как в	3	9
в искусстве	2	21
то что	44	21
как и	5	10
увидим что	3	2
т д	2	2
потому что	24	21
бы не	2	2
что все	11	9
в которой	4	2
один из	2	3
том как	3	2
и это	5	4
и здесь	3	2
что этот	3	2
ясно что	5	7
говорит о	4	2
с этой	4	4
как нельзя	2	2
что самое	5	2
и его	5	7
и только	7	2
когда он	7	10
до конца	7	3
это было	4	3
надо сказать	3	2
самом деле	12	16
не может	10	17
он не	11	6
могли бы	2	2
первый раз	4	2
в его	10	2
как говорит	2	3
в нашей	2	3
и то	2	3
с его	2	2
не только	7	12
заключается в	5	12
по себе	9	12
не понимает	2	2
том что	22	21
как только	2	2
в какой	5	2
видит в	3	3
на этот	3	2
та же	3	3
в каком	8	3
в них	2	2
в своих	3	9
в виду	2	3
тем что	3	9
смысл и	4	2
же как	3	4
мы не	5	3
одной и	2	4
указывает на	3	3
все те	2	2
в ней	6	5
из которых	3	2
а не	6	7
то это	3	3
и других	4	3
бы и	2	3
же время	2	2
и на	5	5
что именно	3	3
с но	3	2
есть только	2	5
думать что	2	3
во всяком	3	2
целый ряд	5	6
с той	2	4
есть как	2	2
не было	3	2
который не	2	3
того не	2	2
в первый	3	2
тому что	6	4
а на	2	4
что его	3	5
с ее	3	3
и совершенно	5	3
а другой	2	3
в самой	6	2
в конце	8	3
том чтобы	4	3
он говорит	3	5
хотя бы	2	3
те же	2	6
нам казалось	2	2
ничего не	2	4
сущности говоря	2	4
все время	24	6
в основе	3	11
всяком случае	3	2
к составляющим	2	2
в том	21	37
а с	2	2
это в	4	2
иначе говоря	2	4
о ней	2	4
но в	2	3
здесь мы	3	2
и что	25	22
показать как	2	2
с другой	2	3
и от	2	2
но он	6	3
в сущности	6	7
и вот	6	3
время как	2	3
сказать что	13	7
все же	5	4
в частности	4	3
