2gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part7_wordlist_2gram
связи с	4	9
признать что	2	4
наряду с	2	2
никогда не	4	8
так же	14	4
в данном	5	3
к тому	7	7
перед нами	2	2
для нас	2	4
самого ребенка	2	2
по сравнению	9	5
у ребенка	9	15
о которых	2	3
с этим	2	3
к действительности	2	8
едва ли	4	7
точки зрения	28	26
того как	2	4
начале развития	3	2
же самое	5	2
психологии в	3	2
говорит что	2	5
нет и	3	2
учении о	6	5
что они	10	3
в целом	5	10
как бы	6	7
что в	12	14
и речь	3	2
пиаже в	3	8
той же	8	2
нас к	6	2
учения о	4	2
с другими	3	3
было бы	6	10
смысле этого	3	3
и речью	2	6
таким образом	23	14
а в	2	4
в первой	3	2
речи к	5	7
что если	2	2
речь ребенка	8	8
по этому	4	6
очевидно что	3	3
когда ребенок	2	2
речь в	4	3
в эксперименте	2	2
отношению к	5	5
точку зрения	2	6
и другое	3	2
с помощью	13	5
с собой	3	3
в себе	9	2
только в	8	4
не имеет	2	4
речевого развития	2	3
сравнению с	8	5
и его	12	4
и только	4	3
собственном смысле	3	3
не может	11	9
он не	3	7
могли бы	5	4
по себе	3	7
и самым	2	2
мы сумеем	2	4
и тем	6	2
тем что	9	2
в котором	4	2
в учении	6	6
в том	18	33
но в	4	6
все же	6	4
приводит к	4	5
и ее	2	3
для ребенка	2	9
что это	6	6
так и	3	8
об этом	3	3
с точки	21	18
между которыми	2	2
и в	26	15
не можем	4	3
вместе с	12	6
от социальной	6	4
оба эти	5	2
в качестве	5	4
в такой	4	2
нас в	2	2
все это	3	4
о развитии	4	7
и с	5	4
уже в	2	5
что мы	9	9
все что	6	5
между мышлением	3	5
что он	8	12
столь же	2	2
с несомненностью	2	2
но для	2	2
также и	2	2
совершенно в	2	2
эгоцентрическую речь	4	2
детской речи	4	19
развития ребенка	5	3
к ней	2	2
в этом	29	19
должно быть	2	2
это есть	4	2
и психологического	3	2
в их	2	2
в мышлении	2	2
не удивительно	2	4
чем это	5	3
но мы	3	3
пиаже и	2	7
как раз	3	4
в самом	9	11
речь не	5	2
мышления и	9	16
отличие от	2	3
к выводу	3	6
и до	2	3
ее в	8	2
что для	2	3
мысль и	3	2
во всех	6	2
связь между	6	5
значение в	2	3
и не	18	7
речи для	25	2
показать что	4	5
его мысль	2	2
мы можем	3	10
состоит в	3	3
на самом	3	3
но и	11	10
самое что	2	2
того чтобы	19	12
этих двух	2	2
ребенка и	8	4
представление о	7	5
казалось бы	2	8
для того	18	10
друг от	2	2
потому что	16	7
в собственном	3	3
формы речи	3	2
в которой	11	4
в пользу	4	4
ребенок в	2	4
что ребенок	5	8
в его	4	2
чем в	4	2
с ним	3	3
и речи	19	13
можно сказать	5	2
тем самым	8	3
раз в	2	2
одной из	4	3
во время	2	3
ребенка с	4	4
были бы	3	2
в функциональном	4	2
же как	8	2
мы не	7	10
все те	2	2
этого слова	3	3
должны были	2	3
из которых	2	3
детского развития	6	3
в последнее	2	4
по отношению	6	6
от друга	2	2
в детском	3	2
или в	2	3
что на	2	2
в начале	5	4
речи является	3	3
речью и	2	5
на двух	2	3
на всем	5	2
речи которая	2	2
мышлением и	2	7
можно было	2	5
что она	8	3
несмотря на	2	4
и значением	5	3
в своей	3	4
это не	3	5
прежде всего	7	4
но если	2	2
но не	3	3
речи не	5	2
если бы	5	8
данном случае	5	3
для него	3	3
ребенка от	2	2
именно в	6	2
что оно	4	4
говорили выше	2	2
речи ее	3	3
что с	5	5
развития в	3	6
возникает из	6	4
во всем	3	2
представляет собой	19	2
и их	5	5
лишь в	2	3
с одной	5	7
из двух	3	3
детской мысли	2	7
из того	3	4
что между	2	2
и для	5	2
детского мышления	4	23
речи так	3	2
и той	2	2
последнее время	3	5
как известно	2	6
не представляет	2	2
всем протяжении	4	2
вопрос о	6	5
если мы	5	6
отношение между	4	6
друг с	2	2
тогда когда	5	5
его мысли	2	4
мышление и	2	3
мы видим	3	4
находится в	2	2
даже в	2	4
внутренней речи	67	5
как совершенно	3	3
приводит нас	3	2
мы должны	6	6
что эгоцентрическая	8	3
не является	3	9
из всех	5	2
для этого	3	3
что же	2	2
речи и	30	15
в этих	2	2
идет о	2	3
то что	24	20
мы видели	3	6
что все	2	4
с другом	2	2
стороны и	4	2
с этой	5	2
как говорит	5	2
заключается в	6	8
не только	24	15
том что	17	27
могут быть	2	2
мы могли	6	4
а не	6	3
мы находим	3	6
речи но	11	3
к внутренней	6	5
отношения между	4	3
во всяком	2	7
что его	2	4
в самой	3	3
теории пиаже	2	8
для себя	24	3
ничего не	2	3
внутренняя речь	15	3
речи как	6	3
и другой	3	2
во всей	2	5
речи или	3	2
друг друга	4	5
в сущности	9	9
сказать что	8	6
мы уже	3	6
к его	2	2
из этих	3	4
речи это	4	2
внешней речи	18	3
детского эгоцентризма	2	5
речи в	27	6
которое мы	2	3
в процессе	5	11
в силу	5	2
на деле	2	5
процесс развития	2	3
моментов в	2	2
связана с	3	4
и есть	2	2
ребенка как	2	3
того что	14	17
в отношении	2	6
что при	2	3
что эта	6	6
мышления как	3	5
то же	8	5
к этому	2	4
в которых	2	3
эгоцентрическая речь	28	10
том же	2	2
той и	3	2
так как	14	4
развития и	2	3
с ней	2	2
случае не	2	2
бы с	2	3
речи ребенка	10	3
речи от	5	2
в известном	2	2
которой мы	2	2
речью в	3	2
на то	4	6
вовсе не	2	6
как мы	14	6
на вопрос	5	4
все эти	6	3
его к	2	2
не могут	4	2
как это	5	6
не в	4	8
но эта	2	3
об эгоцентрической	2	3
может быть	7	9
его с	3	2
ни в	2	2
мы знаем	2	7
о том	4	9
в этой	3	6
и к	7	6
своей психологической	3	3
что у	4	3
этом отношении	3	3
социальной речи	11	3
от речи	8	4
что и	3	2
как в	4	4
как и	15	6
в развитии	10	26
самом деле	6	6
мысль ребенка	2	3
развитии мышления	2	5
ту же	2	2
речь и	5	5
в виду	5	6
и других	2	2
и обратно	3	2
в конечном	2	4
целый ряд	4	2
эгоцентрической речи	91	13
но с	2	2
в отличие	2	3
с ее	2	2
по своей	10	6
только что	5	3
этому поводу	3	3
в основе	3	3
речи с	7	5
к этой	2	3
одной стороны	5	7
и что	6	8
с другой	4	6
конечном счете	2	4
от внешней	6	5
речи мы	4	4
и по	3	3
