2gram	Losev_DialektikaMifa_partition_part3_wordlist_2gram	Losev_DialektikaMifa_partition_part2_wordlist_2gram
или не	2	5
никогда не	9	7
так же	2	4
отрешенность от	10	2
к нему	4	3
оно есть	3	2
в данном	3	2
того или	2	3
к тому	2	4
перед нами	2	3
одно и	4	5
с этим	3	3
– не	9	7
грань между	3	2
и как	10	8
точки зрения	12	25
стало быть	10	9
зависит от	2	2
есть и	6	12
как бы	14	3
что в	7	7
уже не	3	5
– это	6	6
мифа и	4	6
и уже	3	2
кроме того	3	6
но как	5	2
тех или	2	2
мифа в	4	2
то как	3	2
есть ни	6	3
было бы	3	5
таким образом	4	13
а в	4	2
что если	3	2
это –	23	16
миф не	22	5
только потому	2	2
мифического сознания	3	7
жизни и	6	5
как таковой	4	2
итак миф	2	2
но только	3	4
конечно не	6	4
в себе	15	2
и тогда	3	5
только в	5	5
личность и	2	2
как не	2	2
жизнь и	5	4
где есть	2	2
и –	4	6
вы не	2	6
что миф	5	7
и это	5	4
что этот	3	2
личности и	6	5
и его	5	5
и только	4	6
он не	4	5
не может	9	19
и она	2	2
но что	7	7
не есть	47	54
и я	2	3
и если	4	2
говоря уже	2	2
по себе	18	20
миф и	2	3
– в	8	6
может и	2	2
тем что	2	3
субъекта и	4	4
у меня	3	2
же время	5	3
собственно говоря	2	4
и следовательно	5	2
в сферу	2	3
ведь это	3	2
так или	2	2
быть только	2	2
в том	14	5
но в	2	2
по одному	4	2
хочет быть	3	2
живое существо	2	2
все равно	5	2
все же	4	3
в частности	2	2
что время	2	2
что это	10	12
не на	2	6
так и	10	5
об этом	3	6
но –	5	5
с точки	8	14
говорить о	5	4
в одной	4	3
и в	19	24
не будет	2	3
она не	8	3
миф есть	6	12
другой стороны	4	2
все это	4	6
при этом	4	2
и с	5	6
что мы	2	8
же и	9	2
что он	6	13
также и	2	2
только тогда	7	3
бы только	2	2
в этом	8	8
должно быть	7	3
от всего	2	6
в мифе	16	13
это есть	8	8
в их	2	2
еще не	4	2
в то	6	5
т е	30	48
что иное	3	6
он –	6	7
как раз	5	7
в самом	5	7
мифическая отрешенность	10	2
бытие и	2	3
души и	2	2
это и	3	7
или нет	3	5
ее в	2	2
– тоже	2	2
и не	30	27
за пределы	4	3
пространства и	7	2
в виде	2	8
это значит	8	24
совершенно не	7	2
как же	3	5
не просто	12	18
ни на	2	3
и когда	4	2
но и	12	9
потому что	14	7
– что	2	3
только не	2	10
тех пор	3	2
или иначе	2	2
и они	2	2
в каком	4	3
в своих	2	2
говорят что	4	2
же как	3	2
в ней	2	2
все –	2	2
же в	2	2
есть догмат	4	6
не было	3	3
вещь или	2	2
или в	2	2
следовательно не	2	2
же мы	3	2
что такое	3	21
в зависимости	2	2
для мифа	2	3
в нем	10	3
несмотря на	2	2
что она	14	9
это не	10	4
прежде всего	8	8
но это	7	5
с тех	2	2
таком случае	3	10
но не	6	2
можно только	2	4
понимать как	3	3
и т	17	24
– и	3	4
но вот	2	2
именно в	2	2
что оно	4	7
я уже	2	7
по крайней	9	5
иметь в	2	2
смысле не	2	2
вещи в	4	2
себя в	2	2
так чтобы	2	2
есть просто	3	4
так что	7	8
вопрос об	4	3
есть мифология	2	2
в таком	4	14
на этом	2	2
она и	2	2
не мешает	5	2
солнце и	2	2
но о	2	2
и притом	7	5
тело и	3	4
личность есть	11	3
можно ли	3	5
должна быть	5	6
с одной	2	3
тут –	7	2
тут мы	2	2
они не	3	2
личности в	8	2
нет никакого	2	7
действительно есть	2	2
быть и	4	3
на свете	5	3
миф от	2	3
а именно	5	2
вопрос о	3	5
например в	2	2
нет ни	3	2
есть всегда	11	5
иной раз	5	2
должны быть	3	3
тогда когда	6	5
только как	3	5
значит что	12	24
– все	2	3
я не	6	6
иное как	3	6
во внимание	3	2
можно понимать	2	2
что не	6	5
не что	3	6
миф –	2	5
оно –	2	4
в истории	2	4
что же	2	11
мере в	2	3
то что	14	14
и где	3	2
и пр	5	6
это было	3	3
не только	19	23
тогда –	2	2
том что	10	8
говорил что	2	2
бытия личностного	3	2
уже и	2	3
могут быть	4	2
от того	4	4
а не	16	26
той или	4	2
и даже	14	13
то это	2	9
само по	2	5
он есть	3	3
есть только	4	12
во всяком	2	2
сама по	7	4
ни о	2	3
ничего не	3	17
все время	3	3
мифологии и	7	3
всяком случае	2	2
нет вообще	2	2
и от	3	3
в сущности	2	10
того и	2	2
сказать что	10	4
мы уже	8	3
как я	2	2
сам по	3	5
есть в	2	3
одно из	4	5
д и	2	6
есть нечто	8	23
тело –	5	2
вещей и	3	6
зависимости от	2	3
в силу	5	3
мифология и	3	5
может существовать	3	2
и потому	5	2
и есть	4	16
того что	6	12
только к	2	2
не менее	3	11
в чем	3	4
в своем	4	3
была бы	3	3
сами по	3	3
тем не	2	10
то же	12	6
и нет	2	7
есть бытие	3	2
есть ли	5	5
и говорить	2	2
не значит	3	3
и вообще	6	2
так как	14	6
и прежде	2	3
мы говорим	3	2
как миф	3	2
вовсе не	13	13
как мы	3	2
имеется в	2	3
все эти	2	3
не могут	4	4
и можно	2	2
как это	7	5
только и	2	2
не в	8	3
сознания и	5	4
всегда есть	2	5
может быть	20	13
вещь но	2	3
ни в	10	9
не больше	4	3
и все	12	6
о том	5	6
е в	3	4
я и	2	2
и к	7	5
а я	2	2
что у	2	2
нет никакой	4	4
только одно	2	2
только о	2	3
то время	4	4
из них	3	3
когда мы	3	2
что и	5	6
как и	10	7
т д	15	23
миф о	2	3
реальные вещи	4	2
ясно что	4	7
она есть	9	10
самом деле	4	6
что есть	2	4
крайней мере	9	5
и то	7	4
отнюдь не	6	10
не говоря	2	2
в виду	5	7
их в	2	2
личность как	2	2
и объекта	4	3
тому что	2	4
есть не	7	9
только что	5	4
хотя бы	4	4
– как	2	3
и тут	3	3
уже о	2	2
и что	5	15
в смысле	5	2
с другой	5	4
и вот	4	2
время как	7	4
и по	4	2
его не	2	2
