2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part1_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_2gram
между тем	4	5
ни было	3	4
этого самосознания	2	2
в этот	2	2
голосов в	5	3
но конечно	2	2
никогда не	4	5
как будто	4	3
наконец в	4	2
так же	7	6
достоевского нет	3	3
в нем	16	20
можно было	2	3
друг другу	4	2
его в	4	4
к нему	13	3
так и	8	10
в своей	4	11
это не	3	10
для достоевского	2	6
с точки	2	15
прежде всего	12	7
раз и	3	3
говорить о	3	2
в форме	3	6
но это	6	5
в одной	3	4
и в	35	23
но не	6	8
вместе с	2	2
то есть	16	24
голоса в	2	2
тот же	4	2
но эти	2	2
должна была	2	4
для него	14	15
другой стороны	3	2
все это	14	7
при этом	2	3
у него	4	6
себя как	3	5
мире а	2	2
подобно тому	2	3
момент его	2	2
и с	12	4
однако в	2	2
уже в	3	5
да и	5	2
и как	2	8
самого начала	8	3
того что	3	2
в отношении	9	2
точки зрения	7	21
себя в	2	3
что он	24	10
именно потому	2	2
тому как	2	3
так сказать	2	3
в своем	2	8
но для	2	2
в большинстве	2	2
из подполья	35	11
романах достоевского	4	6
он все	2	2
то же	15	10
в целом	3	4
записок из	3	3
у ивана	2	2
может быть	14	21
как бы	31	28
что в	6	8
произведениях достоевского	2	5
сочетания голосов	2	2
уже не	3	8
творчестве достоевского	7	5
в которых	2	2
в этом	14	25
мы остановимся	3	3
с собою	5	2
в обычном	2	2
за ним	2	2
и самое	2	2
бы то	3	3
в жизни	2	6
этом смысле	3	9
героя и	10	5
эта особенность	2	4
лишь в	7	3
он знает	3	3
совпадает с	2	2
или как	3	5
героя в	5	4
но как	4	3
себе самом	5	6
для его	2	3
той же	2	6
он в	4	2
в каждой	2	2
в мире	4	7
еще не	7	5
в построении	2	5
в то	11	10
и для	8	3
так как	4	7
чужого сознания	4	2
как раз	4	4
и у	4	4
с другими	2	7
точек зрения	2	3
было бы	3	6
со своим	2	3
последним словом	2	2
в самом	6	8
отличие от	2	2
таким образом	7	11
а в	7	7
с миром	3	2
и тон	3	2
дело идет	3	6
это и	3	9
его целом	2	5
образа героя	3	3
у достоевского	12	24
ни одного	9	2
как другой	4	3
вовсе не	7	8
и т.п	6	3
в творчестве	4	5
вопрос о	2	4
как мы	8	5
на вопрос	2	2
из своего	4	3
например в	2	3
он и	5	5
все эти	3	8
как можно	2	2
нет ни	2	2
его к	3	4
достоевского в	3	19
конце концов	3	4
слово о	7	2
во всех	3	5
о нем	2	11
не в	10	6
друг с	4	3
но эта	2	4
но все	4	4
отношению к	7	11
сознания и	4	3
себе и	7	3
себе самому	18	3
за пределы	3	6
всех этих	2	3
и не	27	34
для других	3	2
достоевского по	2	2
даже в	5	2
себя самого	7	4
на него	5	2
только с	3	2
нему и	4	2
и наконец	7	5
одного сознания	3	4
мире достоевского	3	5
в плане	6	5
в первом	2	2
достоевского как	2	12
большинстве случаев	2	2
о себе	17	9
к себе	18	2
на самом	9	4
в одном	6	9
себя сам	2	2
из его	2	3
в произведениях	2	2
человека из	13	4
и все	15	3
о том	2	2
ее как	3	2
и во	3	2
с самого	8	2
я не	8	3
слова его	2	2
в себе	5	5
мы должны	3	2
и к	12	4
последнее слово	4	9
ивана карамазова	4	5
ни на	2	2
только в	6	8
бы в	4	3
себя и	8	2
но и	14	11
отношении к	7	2
но именно	2	4
сказать что	3	5
из них	3	2
как он	2	2
и сам	7	2
в этих	2	2
то ни	3	3
что и	3	5
как в	5	6
слово в	2	2
то что	10	18
как и	18	8
время не	3	2
потому что	8	12
благодаря этому	2	2
что все	2	3
достоевского и	2	12
в которой	2	4
в каждом	6	8
сознание и	2	3
с другом	4	3
и это	5	5
рядом с	4	13
говорит он	4	8
он сам	6	3
и его	14	13
самом деле	10	5
в пределах	11	9
до конца	4	5
к другому	16	2
он не	13	4
не может	18	11
в его	21	24
сливается с	4	2
в той	4	6
с ним	7	6
с его	7	6
не только	10	13
по себе	4	7
том что	3	9
мы уже	8	2
не как	3	12
на этот	2	2
бы уже	4	2
а как	2	6
в них	4	3
мысли в	2	2
тем что	4	3
а не	4	20
их в	2	2
и даже	5	3
этого слова	5	2
самого героя	3	8
кажется что	2	3
в кругозор	2	6
диалог в	2	2
бы и	2	4
же время	10	7
он есть	2	3
и на	6	10
во всяком	4	4
героев достоевского	3	3
тому что	2	2
самим собою	9	2
с ее	3	2
в отличие	2	2
слово героя	4	6
человек из	7	3
по отношению	6	11
в котором	3	2
в конце	5	5
для себя	7	2
в романах	5	7
хотя бы	2	2
ничего не	3	6
ни в	2	3
достоевский заставляет	2	2
всяком случае	4	3
чужому сознанию	3	2
там где	7	6
в том	5	11
это в	2	2
но в	19	4
другого человека	3	4
на его	4	2
с другой	4	2
слову героя	2	2
но он	4	2
друг друга	2	3
в сущности	14	5
и вот	4	2
и по	2	2
все равно	2	2
все же	8	5
человек и	4	2
приводит к	2	3
