3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_3gram
в бесконечный ряд	14	7
в чистом виде	2	2
хотя и не	2	2
и только в	2	2
в каком случае	3	2
в том виде	2	2
на самом деле	3	2
заключается в том	2	3
дело не в	2	2
то время как	2	4
но никак не	2	3
в сравнении с	2	2
символ отличается от	2	2
не есть ни	2	3
или по крайней	2	4
того или иного	3	3
самом же деле	2	4
не имеет ничего	2	3
с другой стороны	6	5
можно было бы	4	3
потому что он	2	4
есть не что	2	4
взятый сам по	2	2
то есть в	6	3
на самом же	2	4
это и не	2	3
о том что	3	3
здесь не в	2	3
как будто бы	2	3
не что иное	2	4
подпадающих под него	2	2
в то время	2	4
не только в	4	2
уж во всяком	2	3
в то же	2	4
содержит в себе	8	3
сами по себе	2	6
мы не будем	2	2
тем не менее	10	10
имеет ничего общего	2	3
ничего общего с	2	2
здесь перед нами	5	2
в связи с	3	7
точно так же	3	3
у нас выше	3	2
но даже и	4	4
вовсе не есть	2	8
мы должны сказать	2	3
только при помощи	2	2
только и можно	3	2
той или другой	3	4
во всяком случае	4	6
же самое время	2	4
сам по себе	6	6
сама по себе	2	8
тех или иных	3	4
а то что	2	2
и в частности	2	2
в том что	8	9
необходимо сказать что	3	2
разлагается в бесконечный	2	2
ни в каком	5	4
в том или	2	2
это значит что	7	2
с точки зрения	11	2
том виде как	2	2
и тем не	3	3
в данном случае	5	7
и ни в	3	2
и тем более	2	2
или иной мере	3	2
той или иной	11	8
вовсе не является	2	2
все такого рода	2	2
по своему содержанию	5	2
в той или	7	2
чем же в	2	2
по крайней мере	6	5
и больше ничего	2	2
даже и не	2	4
то же самое	6	7
в нашем смысле	10	2
и т д	3	13
в том смысле	2	3
что иное как	2	4
всякий символ есть	4	2
