3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part3_wordlist_3gram	Bakhtin_ProblemyTvorchestvaDostoevskogo_partition_part1_wordlist_3gram
по ту сторону	2	2
в конце концов	5	3
героя и его	3	2
во всяком случае	3	5
в мире достоевского	4	3
бы он ни	2	3
записок из подполья	2	3
в его целом	6	2
о себе самом	9	5
не входит в	3	2
к нему и	2	5
слово о себе	2	4
на самом деле	4	10
бы то ни	2	4
по отношению к	8	5
человек из подполья	4	7
подобно тому как	3	2
но в то	5	3
и в этом	5	2
в большинстве случаев	2	2
в самом деле	2	3
в романах достоевского	5	3
в то же	9	12
с точки зрения	13	4
же время не	3	2
человека из подполья	2	13
как раз и	3	2
и в то	2	5
хотя бы и	2	2
с другой стороны	3	3
и т п	3	6
не может быть	4	6
и не может	2	2
самого героя и	3	2
именно потому что	2	2
в этом смысле	10	4
в творчестве достоевского	4	3
то же время	9	12
он ни был	2	3
в произведениях достоевского	3	2
