2gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_2gram	Vygotskiy_Myshlenieirech_partition_part6_wordlist_2gram
связи с	3	9
никогда не	8	4
их развития	5	2
так же	15	17
связи и	3	3
этого процесса	2	9
к тому	10	4
для нас	2	2
он имеет	2	2
по сравнению	15	4
у ребенка	13	19
с этим	4	4
но на	2	3
переход от	4	3
и как	6	5
самого начала	7	6
пути развития	2	3
точки зрения	13	6
того как	5	3
что они	2	10
в целом	3	13
при решении	5	2
как бы	11	10
показывает исследование	6	2
мы называем	2	2
что в	17	17
тем и	3	4
отличается от	3	3
этом смысле	2	2
но как	3	3
той же	4	4
образования понятий	2	45
что развитие	6	3
для развития	5	3
нас к	4	2
от понятия	3	3
с другими	2	2
было бы	9	10
с понятием	2	3
таким образом	18	17
а в	2	4
когда ребенок	3	2
и т.д	3	5
речь в	2	2
общего к	2	3
приходит к	2	6
предметов в	3	3
это противоречие	2	2
но только	2	3
отношению к	10	2
и другое	2	5
в себя	3	3
ребенка мы	2	2
с помощью	13	42
в связи	2	6
для решения	3	2
как показывают	3	2
в себе	4	2
которые в	4	3
является не	2	2
только в	18	10
от этого	3	6
имеет место	2	3
в структуру	4	4
сравнению с	14	3
школьного возраста	3	3
и его	3	2
и только	3	2
ребенка в	8	12
не может	19	6
он не	7	4
могли бы	9	11
по себе	3	7
в них	3	2
понятий не	4	2
тем что	8	8
хотя и	3	2
и частного	2	2
связи между	6	5
в котором	2	3
как показывает	7	2
в том	28	23
понятий но	2	4
в понятии	4	5
все же	2	6
в совершенно	2	2
приводит к	6	4
к одному	2	5
в частности	4	4
между двумя	2	2
мы имеем	4	4
для ребенка	6	10
его в	6	3
так и	6	5
показал что	4	3
и в	28	25
вместе с	7	14
оба эти	3	3
в качестве	4	12
понятия в	6	7
к жизни	4	2
не станем	2	4
как оно	3	3
другой стороны	2	3
все это	2	6
при этом	3	5
то в	5	3
понятий на	4	2
имели возможность	2	4
этот вопрос	3	3
к которому	2	3
развития является	2	2
что мы	11	7
что он	18	6
его развития	3	3
показывает что	7	8
с несомненностью	4	3
с тем	5	16
детской речи	5	6
в этом	27	14
понятий ребенка	14	2
мы и	4	2
в мышлении	6	11
понятие как	2	2
еще не	8	4
в то	6	4
в самом	8	3
мышления и	7	23
по типу	2	5
на данной	4	2
связь между	4	4
на основе	4	22
мышления в	5	17
и не	11	10
новых и	2	2
в плане	3	2
мы можем	9	7
в одном	2	2
состоит в	2	3
с самого	7	6
бы в	3	2
но и	10	4
того чтобы	10	8
и отношения	3	2
