3gram	Ircho_Komedia_partition_part2_wordlist_3gram	Ircho_Komedia_partition_part3_wordlist_3gram
так или иначе	2	3
до тех пор	3	3
во всяком случае	3	2
для того чтобы	6	4
на этот раз	2	4
что и в	2	2
о том что	4	4
в афинах в	2	3
и с этой	2	2
то время как	2	2
речь идет о	3	2
новой аттической комедии	5	2
бы то ни	2	2
по отношению к	3	3
в том что	9	5
вместе с тем	3	4
в то время	2	3
к тому же	4	10
судя по всему	3	2
в то же	4	3
у того же	3	2
в третейском суде	6	7
и т п	3	2
с одной стороны	3	2
в связи с	3	3
то же время	4	3
до сих пор	9	2
то ни было	2	2
