3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram	Vygotskiy_Psychologia_partition_part2_wordlist_3gram
том что у	2	2
в конце концов	3	3
и в самом	4	2
надо сказать что	2	3
во всяком случае	2	3
на то что	6	6
для того чтобы	13	19
о том что	4	10
сам по себе	4	2
в сущности говоря	4	2
одной и той	4	2
с таким образом	8	2
на самом деле	5	5
заключается в том	10	3
то время как	2	2
мы видим что	2	2
в том что	17	12
к тому что	2	5
что в этой	2	2
в то время	3	2
в самом деле	11	7
том что он	3	3
сами по себе	3	3
с точки зрения	10	4
таким образом в	2	2
и той же	4	2
то же самое	6	6
так же точно	7	5
и что в	2	3
с другой стороны	2	2
те же самые	2	2
можно было бы	4	4
и т п	8	3
что он не	2	4
в первый раз	2	3
и т д	2	2
точно так же	3	3
совершенно ясно что	6	3
же самое что	2	2
так же как	4	3
до сих пор	5	3
в том чтобы	3	3
на то как	2	2
