2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram
для них	3	3
не так	4	2
связи с	7	5
разного рода	4	4
далеко не	4	4
ли в	2	2
как будто	3	6
так же	5	5
можно было	2	5
есть в	2	4
из этого	4	2
к нему	3	2
так и	7	7
об этом	4	2
его в	6	3
несмотря на	6	3
свидетельствует о	2	2
прежде всего	6	11
раз и	2	5
как о	4	3
в данном	2	10
в заключение	2	2
и в	30	35
не будет	2	11
таком случае	2	10
но не	7	4
вместе с	7	2
то есть	21	39
тот же	3	4
к тому	2	3
значение и	2	8
в качестве	4	2
данном случае	2	5
еще в	5	2
для нас	10	9
здесь не	7	2
нас в	4	3
другой стороны	6	5
тоже не	2	7
при этом	4	3
по крайней	4	6
в настоящее	3	16
настоящее время	3	16
совсем не	3	7
в результате	7	4
о котором	3	3
по поводу	2	2
и с	5	10
уже в	2	3
да и	2	10
и как	6	4
гораздо более	4	4
того что	3	12
едва ли	4	9
точки зрения	10	2
не все	2	4
в отношении	3	4
не менее	5	13
все что	2	3
что он	7	4
в своем	11	4
так что	11	11
тем не	5	12
также и	12	12
с тем	5	3
что они	3	3
только тогда	3	3
в таком	2	11
и является	2	3
то же	2	5
а также	3	2
как бы	6	4
и их	5	3
сих пор	2	4
что в	5	11
и притом	5	3
оказывается что	4	3
уже не	6	8
в этом	17	17
и вполне	4	4
бы то	2	2
человека но	2	2
этом смысле	3	5
необходимо сказать	4	6
с одной	3	5
кроме того	2	5
никак не	8	11
тех или	2	3
всякого рода	2	4
мы и	2	6
то более	2	2
от всяких	2	2
и о	5	4
еще не	3	10
в то	4	6
и для	6	6
и вообще	9	16
так как	6	7
что иное	3	3
как раз	5	8
но уже	2	5
было бы	4	8
в самом	5	5
и самого	3	4
таким образом	13	4
а в	6	4
значительной мере	2	3
как именно	4	3
до сих	2	4
в н	12	2
подобного рода	7	4
на то	2	6
по этому	2	3
вовсе не	8	37
а именно	12	6
то и	2	4
некоторого рода	4	7
как мы	2	5
без всякого	2	4
все эти	2	7
ли он	2	3
все еще	4	4
не могут	2	4
иной раз	2	3
точно так	3	3
конце концов	6	7
внимание на	3	3
в значительной	2	3
только и	3	3
не в	7	2
тогда когда	4	3
такого рода	2	15
но только	3	4
у нас	7	18
но все	4	2
об его	2	2
и не	12	37
может быть	7	18
ни в	4	6
смысле слова	3	7
на него	2	2
в виде	10	6
конечно не	2	2
даже и	4	18
мы можем	5	6
и все	9	5
говорится о	4	2
о том	12	18
в этой	10	9
при помощи	6	8
и к	4	3
в связи	7	5
иное как	3	3
в себе	4	5
нет никакой	3	2
и без	2	5
не просто	5	11
только в	9	14
но и	13	16
что не	2	5
не что	3	3
о своем	2	2
учение о	3	2
того чтобы	2	2
не то	2	2
и сам	4	2
представление о	2	5
знает что	3	2
и более	2	5
для того	3	3
тут же	6	8
то ни	2	3
мере в	2	2
что и	6	2
то что	18	38
как и	7	5
и которые	2	2
но даже	4	3
в науке	2	3
потому что	13	13
нас не	3	3
бы не	3	3
если не	4	4
один из	2	3
в области	2	6
будто бы	5	5
ясно что	4	8
том числе	2	2
он сам	3	3
самом деле	2	4
и только	2	4
он не	3	2
не может	5	13
еще более	3	2
в его	12	7
а скорее	2	2
в нашей	2	3
крайней мере	4	6
и то	5	10
не только	18	24
по себе	2	8
и речи	2	3
можно сказать	6	6
том что	17	19
на тот	2	2
отнюдь не	4	5
и тем	3	4
в них	2	2
уже и	2	3
не столь	3	2
в виду	3	8
тем что	2	4
а не	5	10
хотя и	8	3
мы не	2	7
указывает на	3	5
и даже	14	11
в ней	3	2
и на	6	5
есть только	3	8
во всяком	2	13
мыслится в	2	2
этому поводу	2	2
в конце	8	7
для себя	5	9
хотя бы	2	12
или в	4	2
ничего не	2	10
еще и	4	5
быть только	3	3
всяком случае	2	10
и тут	2	4
одной стороны	3	5
в том	12	12
вообще и	2	2
в таких	2	3
но в	9	6
и что	6	13
с другой	6	6
здесь как	2	2
сказать что	9	24
все же	9	8
в частности	4	5
