2gram	Propp_RusskieAgrarnyePrazdniki_partition_part2_wordlist_2gram	Propp_RusskieAgrarnyePrazdniki_partition_part1_wordlist_2gram
для них	3	2
между тем	7	3
мы имеем	4	6
связи с	4	2
далеко не	3	4
к таким	3	2
а иногда	4	2
из этих	4	2
многие другие	2	2
вс миллер	3	2
на ивана	3	6
в этот	10	10
не совсем	4	2
что это	3	3
же а	2	2
так же	3	4
что она	2	3
одно из	5	2
это делалось	6	4
об этом	9	2
это не	10	5
после того	2	2
с в	4	8
в свете	2	3
другие праздники	5	2
и в	36	29
одна из	4	11
но не	2	5
в шейн	7	10
иногда и	5	2
не можем	3	2
вместе с	10	6
праздник в	2	2
на украине	3	2
еще в	4	2
в качестве	3	3
она не	2	3
xix в	13	3
многих случаях	2	2
должна была	2	5
к жизни	3	5
шейн №	10	2
для нас	6	6
и т	10	5
это время	2	2
кладут на	2	2
следующим образом	4	5
все это	6	10
при этом	6	6
у русских	8	4
на урожай	2	2
снегирев iii	6	8
а макаренко	6	2
i ч	3	9
этот вопрос	2	2
и м	14	8
в советское	2	3
с этим	2	2
и с	2	10
и п	16	13
и другие	13	14
в аничков	5	5
переход от	2	2
ивана купалу	4	6
и как	2	2
того что	4	3
того как	5	2
не менее	3	2
к зеленин	5	3
показывает что	5	8
так что	2	4
после этого	4	2
или на	3	8
главным образом	2	3
тем не	3	2
и чичеров	13	2
сахаров ii	9	12
сообщает из	3	15
с тем	8	6
то же	3	4
на этом	3	3
к этому	4	5
а также	3	4
как бы	5	18
калинский пишет	2	2
представляет собой	4	2
п сахаров	5	7
что в	19	22
во многих	5	9
уже не	6	4
к ней	2	2
по нескольку	2	2
тем и	2	2
в этом	12	11
п в	13	12
другие сроки	6	3
обрядовых празднеств	2	2
в другие	8	4
в году	2	3
на троицу	7	2
том же	2	4
природы и	2	2
о чем	3	4
в xix	10	3
в семик	2	2
и многие	2	2
саратовской губернии	4	3
в их	4	2
еще не	4	6
связанные с	3	2
и для	2	2
нас к	2	3
т е	17	24
исконный смысл	3	3
поле и	2	4
что иное	2	2
этом случае	5	6
видно что	6	2
так как	15	13
в максимов	3	8
советское время	2	3
как уже	4	2
вокруг этого	2	2
пели песни	2	2
с ней	2	5
этого обряда	3	2
таким образом	6	6
а в	9	9
песни и	3	4
в которых	5	4
этот обряд	3	6
тогда как	2	2
по этому	3	2
как мы	10	3
представляют собой	7	7
все эти	2	3
в других	11	15
как можно	2	2
в некоторых	4	9
этот день	10	10
как это	8	4
во всех	4	3
связь между	2	2
в фольклоре	2	4
у нас	8	4
в честь	3	3
полагает что	6	2
а а	25	8
между собой	2	2
может быть	8	13
в поле	3	19
чтобы они	2	2
в виде	6	4
д к	8	3
кн vii	8	12
состоит в	8	15
на самом	2	2
о том	8	9
так в	4	2
этот обычай	11	4
по существу	4	4
н афанасьев	4	3
е в	8	10
приводит нас	2	2
в день	6	7
иное как	2	2
м снегирев	9	7
вывод что	3	2
не с	3	2
но и	16	8
не будем	3	3
не что	2	2
для этого	2	5
там же	5	12
в сибири	2	2
по домам	3	3
из них	8	4
не имеет	6	3
представление о	3	5
в этих	3	3
что и	7	2
как в	5	7
на семик	3	3
должно было	2	3
с религией	2	2
смоленской губернии	2	4
в последний	2	3
то что	6	5
как и	10	11
потому что	10	5
нас не	2	2
т д	9	5
это показывает	2	3
в течение	5	2
на масленицу	14	8
один из	8	2
будто бы	6	5
в и	17	3
шейн i	6	9
в разные	2	2
и пр	2	2
в земле	2	4
пишет в	3	3
в целях	3	2
как например	3	3
это имеет	2	2
до конца	2	3
в дом	2	8
не может	4	5
в г	4	2
связаны с	3	3
в образе	2	2
чем в	2	2
на могилах	8	2
сообщает что	4	8
не только	22	10
а н	18	3
том что	19	22
та же	2	2
что по	4	4
на себя	2	2
во время	14	12
в пищу	3	2
воздействовать на	2	2
в них	6	4
говорится что	3	4
в своих	2	2
могут быть	2	2
тем что	4	3
а не	2	4
их в	3	4
мы не	6	6
и других	7	3
должны были	2	2
и на	10	6
не было	2	2
новый год	25	3
эти представления	2	4
этому поводу	2	2
на новый	2	3
уже указывалось	3	2
других местах	3	8
к весне	2	2
или в	2	7
предположить что	2	4
что на	4	2
и по	8	3
в песнях	2	3
снегирев сообщает	3	4
начиная с	3	2
но она	2	2
после чего	2	2
п калинский	5	4
там где	2	2
в том	17	22
а с	4	2
не объясняет	2	3
и другой	3	3
этого праздника	3	2
но в	2	5
что от	2	3
и что	4	5
на святках	11	5
а терещенко	3	4
а и	5	2
снегирев ii	8	2
и обрядов	6	2
ii кн	8	12
обычаев и	2	2
все же	5	2
также в	3	2
