2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part7_wordlist_2gram	Propp_IstoricheskieKorniVolshebnoiSkazki_partition_part3_wordlist_2gram
и ее	3	2
связи с	6	3
мы имеем	19	12
из этих	3	3
эти случаи	3	7
но конечно	2	2
никогда не	3	4
не совсем	3	2
в нем	9	6
так же	3	6
его в	3	3
к нему	5	7
так и	2	5
что она	5	5
пребывание в	4	2
в лесу	26	2
это не	6	10
после того	2	4
в свете	5	3
прежде всего	3	2
но это	3	3
и он	2	3
со стороны	3	2
в данном	4	4
в одной	3	2
и в	22	24
но не	7	6
в брак	14	4
одна из	2	7
в русской	3	5
в силу	2	2
вместе с	9	7
этих случаях	7	16
в качестве	2	3
она не	4	2
данном случае	3	3
и т	16	17
следующим образом	3	3
для нас	4	6
должен был	3	2
здесь не	3	2
и так	2	2
здесь герой	3	6
другой стороны	7	8
у него	3	10
при этом	2	4
происходит в	2	3
знаем что	2	3
связь с	6	2
герой в	2	2
этот вопрос	2	2
и другие	4	9
с этим	8	2
что герой	3	12
большого дома	3	4
случаях мы	2	2
сказка сохранила	2	2
того что	5	6
а после	2	2
точки зрения	2	4
указать что	3	2
не все	6	3
не менее	5	5
в чем	3	5
если это	3	2
что он	9	21
показывает что	5	8
после этого	2	3
так что	5	3
отношение к	4	5
тем не	5	4
здесь можно	6	2
сказка здесь	6	3
есть и	5	4
вступает в	3	3
что они	8	3
для нее	2	2
то же	6	8
не имеют	2	2
к этому	7	2
и герой	2	3
представляет собой	3	4
и говорит	9	4
сих пор	5	3
во многих	2	2
что в	15	13
уже не	7	2
к ней	4	2
за него	2	4
в этом	17	12
возвращается домой	3	2
представления о	2	4
и там	4	2
волшебный помощник	2	3
что отец	2	2
дочери и	2	2
видим что	4	3
не всегда	4	4
в обряде	5	3
с одной	2	5
на острове	3	2
этого мотива	4	5
и о	2	2
еще не	10	8
ином царстве	2	6
в то	2	2
т е	16	16
его дочери	2	2
они не	4	2
видно что	2	5
жить в	3	2
так как	7	8
и у	3	2
в тех	2	5
этой сказки	2	2
очень много	2	2
было бы	3	2
с ней	6	3
с того	2	4
и др	2	2
царь и	2	2
и возвращается	2	2
сюда же	2	2
только на	2	2
таким образом	10	7
а в	6	10
эти материалы	2	2
случаи когда	4	2
ее в	3	3
его на	2	2
этот обряд	2	2
до сих	5	2
но по	3	2
худ неи	2	2
уже выше	2	6
на том	3	2
как мы	8	3
а именно	4	6
то и	6	4
вопрос о	2	3
вовсе не	2	4
представляют собой	4	5
поставлен вопрос	2	2
например в	2	3
все эти	4	2
в других	4	4
не знаю	8	3
как это	4	2
точно так	2	2
здесь и	2	2
в ином	6	12
но тем	2	2
между прочим	3	3
не в	4	9
но есть	2	3
имеем в	4	5
но все	2	4
сказке о	4	3
в русских	3	2
себе и	2	3
мы видим	8	10
и не	12	4
всех этих	2	6
возможно что	6	3
может быть	11	14
быть поставлен	3	2
большом доме	6	2
ни в	2	2
на ней	5	3
связано с	4	3
уже знаем	2	3
мы знаем	2	2
и все	3	6
мы можем	6	4
мы рассмотрим	2	3
о том	3	9
с собой	2	7
так в	6	4
при помощи	3	3
в связи	3	2
стоит в	2	2
что у	3	4
мы должны	7	4
см и	2	2
сказке она	4	2
не вполне	6	3
что здесь	6	7
только в	4	6
но и	12	11
пребыванием в	2	3
что не	2	2
образом мы	2	2
и сказка	2	2
в дальнейшем	4	3
аф неи	5	4
там же	2	2
ином мире	4	5
известно что	2	2
мы здесь	4	2
то время	2	2
из них	7	2
не имеет	2	4
у нее	2	2
представление о	3	3
в этих	11	13
выше мы	3	3
как в	2	12
что и	9	8
должно было	2	2
то что	7	7
как и	3	6
мы видели	13	7
девушки в	2	2
мы увидим	3	6
потому что	3	9
в другой	4	3
т д	15	16
герой также	2	2
а она	2	4
если не	2	4
этот случай	8	9
один из	5	7
в особенности	2	2
стороны и	3	2
и это	2	2
женится на	6	2
и здесь	7	12
он на	2	2
и его	4	3
в сказках	9	4
него и	2	3
не может	4	14
он не	5	6
русской сказке	2	5
и она	3	3
когда герой	2	4
не только	14	21
том что	8	10
мы уже	6	4
как только	2	2
с пребыванием	2	3
что по	2	2
на себя	2	2
во время	6	6
в них	6	3
попадает в	11	2
тем что	4	6
а не	6	8
же как	2	4
хотя и	2	3
раньше чем	3	3
и даже	2	3
должны были	3	3
то это	2	5
и на	4	2
случай мы	2	4
можно найти	4	2
неи здесь	2	3
после смерти	2	3
в котором	2	2
этот мотив	5	3
или в	11	8
предположить что	7	3
ничего не	6	5
если он	2	3
но они	2	3
к отцу	2	2
одной стороны	2	5
после чего	10	2
там где	7	5
превращается в	3	3
в том	9	7
об этой	2	2
русских сказках	2	2
в сказке	50	36
но в	10	5
здесь мы	5	5
что сказка	5	4
и что	2	10
на его	3	2
с другой	7	9
от него	2	3
и от	3	2
но он	4	2
власть над	4	2
друг друга	6	2
то не	2	4
а если	3	2
время как	2	2
вот тебе	2	3
сказать что	3	2
все же	5	9
его не	3	2
