2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
не обязательно	2	2
не так	3	3
связи с	8	3
том или	3	3
не символы	2	2
так же	5	5
в данном	9	6
как о	5	3
того или	6	3
есть символ	11	11
к тому	3	3
перед нами	8	13
для нас	16	6
для ее	2	2
и единичное	4	2
нам представляется	2	2
о которых	3	2
в результате	2	8
с этим	2	4
и как	3	3
но никак	3	2
едва ли	5	10
точки зрения	5	14
том смысле	3	2
же самое	9	6
нечто целое	2	3
от нас	2	2
сравнении с	2	2
при условии	2	2
что они	5	2
что символ	6	4
как бы	9	4
что в	8	3
уже не	7	5
нашем смысле	2	10
отличается от	4	4
ни с	4	4
разлагается в	2	2
все они	2	3
кроме того	3	4
но как	4	3
никак не	9	4
тех или	5	4
и о	5	5
имеет ничего	3	2
есть ни	3	2
с другими	3	3
было бы	8	14
только на	5	2
таким образом	9	8
а в	5	4
из себя	3	2
жизни и	6	5
но только	6	2
у нас	10	14
всех этих	2	6
виде и	3	2
чистом виде	2	2
с собой	3	3
в связи	7	3
в себе	8	12
является не	2	2
и тогда	3	2
что здесь	5	6
только в	19	23
не будем	2	2
уж во	3	2
общее и	6	3
жизнь и	2	4
не имеет	9	4
само собой	2	3
не то	2	2
в аллегории	15	5
к другой	2	2
или иной	8	13
тоже является	5	3
а это	3	3
но даже	4	4
если не	3	3
и это	9	2
есть именно	5	2
и его	5	10
и только	6	4
это будет	4	2
не может	7	5
он не	8	2
не есть	35	12
и если	6	5
по себе	25	11
и тем	9	7
содержит в	3	8
в типе	3	2
тем что	4	3
хотя и	5	5
а только	5	6
ни к	3	2
виде как	2	3
в условиях	3	3
в котором	2	2
гоголя и	2	3
том виде	2	2
все такого	2	2
самый настоящий	3	2
нас выше	2	3
в том	21	20
символа мы	2	3
символа от	2	2
но в	12	8
под него	4	2
является символом	3	6
в понятии	2	2
все равно	3	3
все же	6	2
в частности	2	2
ни было	3	2
и ее	3	4
мы имеем	2	6
натуралистическая копия	2	2
моделью для	3	2
как будто	3	11
что это	3	2
из этого	3	3
так и	10	10
об этом	3	6
его в	3	2
с точки	2	11
в ее	4	5
говорить о	3	2
и в	44	20
вместе с	2	5
в качестве	3	10
здесь не	8	7
является здесь	2	2
другой стороны	5	6
все это	5	9
при этом	4	6
то в	3	2
и с	9	7
и ни	3	5
уже в	3	4
не являются	2	2
да и	5	5
что мы	8	3
в символе	13	6
же и	4	3
что он	9	8
также и	16	13
с тем	5	4
образности и	4	5
первой степени	6	3
в этом	17	9
своим собственным	2	2
и вполне	5	5
на себе	3	3
в мифе	3	3
это есть	3	3
здесь в	3	5
символ и	18	8
для его	3	2
еще не	5	7
в то	9	4
символа и	6	8
что иное	4	2
у пушкина	6	3
как раз	8	4
в сравнении	2	2
в самом	3	2
другими словами	6	3
же деле	4	2
ни только	2	2
в буквальном	2	3
это и	7	4
каждый раз	3	5
математики и	2	3
то и	5	5
во всех	2	4
или иных	4	3
бы быть	3	2
нераздельное целое	2	5
и не	35	28
за пределы	5	2
смысле слова	8	15
в виде	6	22
совсем другое	4	2
даже и	16	13
мы можем	6	3
на самом	7	5
это значит	4	10
идет речь	3	2
при помощи	8	10
совершенно не	4	3
мы только	2	2
и без	4	6
ни на	3	3
не просто	23	16
но и	10	14
в другом	2	3
больше ничего	2	2
тут же	4	3
потому что	25	15
в которой	2	2
что всякий	9	3
тем более	3	4
структурно-семантические категории	3	7
в его	9	3
в той	3	8
