2gram	Tiupa_LitereturaIMentalnost_partition_part1_wordlist_2gram	Tiupa_LitereturaIMentalnost_partition_part3_wordlist_2gram
авторитарного сознания	2	4
между тем	3	2
связи с	2	6
далеко не	2	3
в рамках	4	6
всего лишь	5	4
никогда не	4	4
как будто	4	2
в хх	3	6
в нем	2	2
его в	2	3
так и	9	4
несмотря на	2	3
в своей	7	4
одно из	4	3
это не	5	4
с точки	3	2
прежде всего	3	11
героя как	2	2
со стороны	7	4
в данном	4	5
и в	16	8
но не	4	4
не случайно	3	2
то есть	5	6
в стихотворении	6	4
х годов	15	2
еще в	3	4
к тому	6	2
в качестве	5	17
данном случае	4	4
для него	2	2
в принципе	2	3
человеческого духа	3	2
по аналогии	2	3
при этом	15	19
искусства и	3	5
хх века	11	10
что ему	2	3
подобно тому	2	2
художественного творчества	2	3
мира в	3	3
однако в	4	2
особого рода	5	2
того что	9	6
точки зрения	7	6
не менее	2	7
себя в	7	6
эстетический субъект	2	3
что он	5	5
тому как	3	2
коммуникативное событие	4	4
то же	9	5
в целом	5	8
а также	4	5
как бы	8	7
общественного сознания	2	3
е годы	9	2
представляет собой	2	4
что в	2	3
в кругозоре	2	2
уже не	3	7
в этом	14	12
эстетического объекта	6	6
другого в	4	3
в году	5	13
в жизни	8	6
одного из	2	3
лишь в	5	4
того же	2	2
с одной	4	2
все они	2	2
но одновременно	2	2
той же	3	3
xix века	2	6
в мире	16	2
эстетического субъекта	7	9
еще не	6	4
в то	9	5
из того	2	2
объект и	2	2
как раз	2	4
было бы	2	2
в самом	3	3
творческое поведение	3	2
отличие от	5	5
по мысли	6	2
а в	5	3
русской литературы	2	2
нашего столетия	2	3
от себя	2	2
[] в	3	4
своего рода	10	11
тогда как	17	13
и т.п	6	4
что я	5	2
эстетический объект	3	3
творческого поведения	2	4
например в	3	3
но без	2	2
он и	2	3
жизни и	3	3
на смену	3	6
как это	3	8
не в	10	8
мыслится как	3	3
такого рода	10	10
отношению к	4	2
оказывается не	2	2
и не	22	12
может быть	12	13
неклассической художественности	2	8
даже в	4	2
поэзии и	2	2
лирическому герою	2	2
к себе	8	3
состоит в	6	11
о том	6	2
в этой	8	4
не как	2	4
говоря словами	3	3
я и	10	7
я не	2	7
в себе	6	7
этом отношении	5	2
художественное произведение	2	2
только в	7	8
но и	14	17
в другом	6	2
что не	2	2
как мыслилось	2	2
своего другого	4	3
из них	4	4
художественной культуры	5	10
коммуникативного события	5	7
по этой	2	2
и сам	2	6
как в	5	5
или иной	2	2
то что	12	10
как и	5	6
потому что	3	3
причастность к	2	2
произведение искусства	6	8
этого текста	2	3
объекта и	2	2
один из	2	3
это как	3	2
в области	3	3
нас самих	2	2
уединенного сознания	14	50
или иначе	2	9
с этой	2	5
и его	6	4
и только	2	2
конвергентного сознания	7	3
самом деле	3	2
в слове	3	2
лирический герой	5	4
я в	7	5
не может	8	5
самим собой	3	2
в его	6	7
одним из	4	5
говоря уже	4	2
с его	6	5
не только	14	24
том что	8	14
тем самым	7	5
во втором	2	2
жизни не	2	2
для своего	2	2
и тем	3	4
на себя	2	2
отнюдь не	3	2
не говоря	4	2
эстетической деятельности	2	4
в своих	2	4
в случае	2	4
тем что	2	2
а не	12	16
субъекта и	5	3
и даже	2	3
вплоть до	2	2
в е	8	2
то это	2	2
же время	7	5
собственного я	2	5
же в	2	5
в тексте	4	8
в отличие	5	5
дискурс свободы	2	5
ментальный кризис	2	2
по своей	3	3
все более	2	2
по отношению	4	3
так или	2	8
в конце	2	4
для себя	2	5
эстетическое переживание	2	2
и адресата	2	4
еще и	2	3
как дискурс	2	2
тому же	5	2
в основе	5	3
одной стороны	4	2
хх веке	3	5
в том	12	16
но в	3	3
с другой	6	3
отказ от	2	7
здесь как	2	2
все же	2	4
парадигмы художественности	2	7
в частности	11	15
