3gram	Losev_ProblemaSimvolaiRealistich_partition_part1_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_3gram
есть не что	4	2
в бесконечный ряд	7	11
в конце концов	3	4
всякий знак есть	3	2
а не просто	3	4
взятые сами по	4	2
хотя и не	2	2
той или иной	8	4
во всяком случае	6	3
то есть в	3	4
же самое время	4	4
на этот раз	3	2
и если мы	2	3
в каком случае	2	3
что всякий символ	2	3
о том что	3	5
вовсе не является	2	3
сам по себе	6	7
сама по себе	8	4
может быть даже	3	2
и как бы	2	2
по своему содержанию	2	2
и то что	7	2
только потому что	2	2
тех или иных	4	2
на самом деле	2	4
по крайней мере	5	2
и тем самым	2	3
литературы и искусства	2	4
и вовсе не	4	4
в настоящее время	2	3
в том что	9	5
не есть ни	3	5
не что иное	4	2
что же касается	4	3
необходимо сказать что	2	2
ни в каком	4	3
того или иного	3	2
в таком случае	4	6
и в этом	6	2
д и т	4	3
не имеет ничего	3	2
в таких случаях	2	2
о том как	2	2
когда мы говорим	3	2
в то же	4	4
только то что	2	4
содержит в себе	3	7
сами по себе	6	3
с точки зрения	2	3
и тем не	3	8
тем не менее	10	18
имеет ничего общего	3	2
даже и не	4	2
то же самое	7	9
в этом случае	5	2
ничего общего с	2	7
это вовсе не	4	2
как раз и	4	7
в данном случае	7	8
также и то	4	2
можно сказать что	2	3
с другой стороны	5	3
общего с тем	2	2
здесь перед нами	2	3
можно было бы	3	2
не есть символ	4	5
дело в том	3	3
еще не есть	2	4
т д и	4	4
и т д	13	10
в связи с	7	4
точно так же	3	4
есть также и	2	2
не может быть	5	2
у нас выше	2	2
что иное как	4	2
может быть и	3	3
до сих пор	2	3
вовсе не есть	8	6
всякий символ есть	2	2
мы должны сказать	3	2
указывает на нечто	2	4
символ потому что	2	2
