3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_3gram
той или иной	2	4
друг на друга	2	2
и сам знаю	3	2
сам по себе	3	2
в отличие от	3	2
о себе самом	3	5
в братьях карамазовых	2	3
слово о себе	3	4
друг с другом	5	4
сам знаю что	3	2
и не в	2	2
по отношению к	5	6
в том что	2	2
как мы уже	2	2
я ведь и	4	2
но в то	2	4
в большинстве случаев	8	2
в романах достоевского	4	4
с самим собой	2	7
в пределах одного	6	5
в то же	5	10
с точки зрения	9	2
как раз и	3	2
к себе самому	3	13
с другой стороны	3	3
к одному знаменателю	3	2
можно было бы	2	2
мы увидим что	2	2
с самим собою	3	7
в отношении к	2	7
не может быть	8	3
и не может	7	2
как и все	4	2
в этом смысле	2	3
то же время	5	10
в произведениях достоевского	2	2
