2gram	Potebnia_Myslijsyk_partition_part2_wordlist_2gram	Potebnia_Myslijsyk_partition_part3_wordlist_2gram
связи с	2	6
так же	3	2
со стороны	3	3
за собою	2	2
на нас	2	3
с нею	2	2
для нас	20	31
одно и	5	2
к мысли	3	2
внутренняя форма	15	4
мысли о	2	4
с этим	6	7
или что	3	2
и как	5	6
что слово	7	2
того как	4	7
том смысле	3	4
не дает	2	2
может стать	2	2
заключить что	2	2
остается только	2	2
слова но	2	2
зависит от	6	2
что они	2	5
в целом	3	3
как бы	3	9
себе представить	3	2
точки [зрения]	4	2
для говорящего	3	2
что в	17	16
уже не	6	4
и проч	16	10
этого не	3	2
той же	2	3
восприятий и	4	2
могла бы	2	3
внутреннею формою	3	4
с другими	5	5
было бы	9	13
смысле этого	7	3
в нас	2	3
таким образом	14	11
а в	12	8
вместе и	5	5
из себя	2	2
очевидно что	5	3
сознании и	2	2
имеет для	3	3
только потому	3	2
в других	2	4
это содержание	5	2
но только	2	2
на мысль	4	3
steinthal с	6	2
что только	6	2
на него	3	3
состоит не	3	2
нам кажется	2	4
в себе	16	10
и тогда	3	3
только в	21	11
первобытный человек	2	2
отношении к	2	2
не имеет	6	6
не то	3	2
к другой	3	2
звука и	2	10
на предмет	2	2
если не	4	4
и это	4	2
более или	3	8
и его	4	2
в животном	3	2
внутреннюю форму	5	3
языка мы	2	2
не может	6	12
но что	2	2
не есть	17	6
и если	2	4
не знаем	3	2
по себе	16	15
или же	4	7
и тем	5	3
в них	5	5
мере того	3	4
быть не	2	3
тем что	7	7
перед собою	2	2
а только	3	8
же время	5	2
и следовательно	3	2
в котором	4	4
для меня	4	4
слова в	7	5
быть только	4	2
слова для	3	2
в том	32	18
этот звук	3	4
в человеческой	3	3
и действия	2	2
все же	2	5
а к	3	2
содержание слова	2	2
в сознание	7	10
мысли а	4	2
относится к	4	3
в природе	2	5
по мере	4	5
что это	4	3
и при	4	3
его в	3	3
в словах	3	3
так и	11	5
одной мысли	2	4
понимать себя	2	2
и в	30	24
не можем	3	6
вместе с	12	11
другой стороны	4	2
все это	4	2
при этом	3	13
в сознании	15	23
уже в	5	5
что мы	8	11
и наоборот	4	5
языка и	2	3
все что	4	3
звук и	3	6
тому как	5	4
что он	6	4
столь же	4	5
с тем	7	4
только тогда	9	3
мысль о	5	7
место в	3	4
к ней	5	2
в этом	10	8
должно быть	5	2
мысль об	2	2
бы ни	3	5
от них	2	3
но мы	2	3
еще не	5	4
в то	10	6
с каким	2	2
в самом	8	4
души и	2	4
только один	2	4
что для	4	3
до сих	3	4
слово как	5	2
то и	6	9
т п	2	3
образ предмета	2	4
бы быть	2	3
связь между	2	2
так например	2	3
т с	22	18
нашей мысли	4	8
и не	15	19
за пределы	2	2
слово с	2	2
членораздельный звук	3	9
такое же	3	2
мы можем	3	12
в одном	2	6
так в	2	4
не как	2	3
бы в	2	2
но и	19	9
себя и	4	2
того чтобы	3	2
предмета в	2	2
для того	4	5
в собственном	2	2
потому что	46	49
в которой	3	5
в каждом	3	2
объективное значение	2	5
слова и	5	3
в слове	32	13
в его	4	2
с ним	6	5
тем самым	7	4
во время	2	4
говорит гумбольдт	5	3
в каком	5	3
согласно с	2	3
мы не	9	11
одной и	4	2
указывает на	6	2
этого слова	11	6
в ней	8	3
сравнительно с	5	4
но вместе	4	2
же в	2	5
не было	4	6
это последнее	2	4
по отношению	5	2
можно думать	3	2
прибавить что	3	2
или в	3	2
в звуке	4	10
что язык	2	2
как при	2	3
говоря о	4	3
а с	2	2
а потому	6	5
далеко не	4	3
в какой	2	2
заметить что	3	6
чувственных восприятий	7	3
в действительности	5	2
настолько насколько	3	3
что такое	2	2
при таких	2	3
что например	3	2
что вообще	2	2
в нем	9	9
оно не	4	3
что она	3	3
что ни	2	2
с в	2	2
прежде всего	3	7
но это	6	3
таком случае	2	2
но не	7	12
то есть	34	30
если бы	12	11
и т	5	6
независимо от	5	9
для него	9	10
что оно	11	4
новое восприятие	5	4
у него	2	2
этого последнего	2	3
по крайней	5	5
человека и	5	3
в ряду	3	6
одним словом	2	4
что хотя	2	4
разница между	3	2
не все	4	2
что с	2	2
так что	7	10
так сказать	2	4
новыми впечатлениями	2	2
в таком	3	4
только по	5	3
