3gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_3gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_3gram
в конце концов	6	7
на то что	2	4
во всяком случае	2	10
для того чтобы	2	2
о том что	9	14
и то что	3	7
по крайней мере	4	6
как будто бы	3	5
и в частности	3	3
бы то ни	2	2
в значительной мере	2	3
не что иное	3	3
в настоящее время	3	16
в том что	8	4
необходимо сказать что	4	5
может быть только	3	2
в таком случае	2	10
тем не менее	5	12
но и в	2	3
в данном случае	2	5
можно сказать что	3	3
только тогда когда	3	3
по этому поводу	2	2
с другой стороны	5	5
также и то	2	2
с одной стороны	3	5
в связи с	7	5
точно так же	3	3
никак не может	2	2
не может быть	2	3
что иное как	3	3
в этом смысле	3	5
до сих пор	2	4
в том числе	2	2
