2gram	Losev_ProblemaSimvolaiRealistich_partition_part2_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part4_wordlist_2gram
не так	3	2
связи с	3	5
том или	3	3
так же	5	5
и мышления	3	2
к нему	3	2
без всякой	2	5
в данном	6	10
как о	3	3
от всякой	2	2
того или	3	7
и понятие	4	2
к тому	3	3
перед нами	13	2
есть отражение	5	3
для нас	6	9
есть тоже	2	3
о которых	2	3
в результате	8	4
с этим	4	5
и как	3	4
но никак	2	2
едва ли	10	9
точки зрения	14	2
же самое	6	6
от нас	2	3
нет и	2	3
при условии	2	6
что они	2	3
как бы	4	4
ли кто-нибудь	2	2
что в	3	11
уже не	5	8
отличается от	4	2
этом смысле	3	5
ни с	4	2
кроме того	4	5
но как	3	6
никак не	4	11
тех или	4	3
и этот	3	3
и о	5	4
имеет ничего	2	2
есть ни	2	3
с другими	3	5
было бы	14	8
в корне	2	2
только на	2	9
таким образом	8	4
а в	4	4
по этому	2	3
если оно	2	3
но только	2	4
у нас	14	18
пусть хотя	3	2
всех этих	6	4
конечно не	3	2
чистом виде	2	3
в связи	3	5
нам кажется	2	2
в себе	12	5
является не	2	2
только в	23	14
не будем	2	4
уже давно	4	5
уж во	2	2
не имеет	4	7
не то	2	2
или иной	13	5
тоже является	3	4
а это	3	3
но даже	4	3
если не	3	4
и это	2	5
есть именно	2	5
более или	2	4
и только	4	4
это будет	2	3
не может	5	13
он не	2	2
не есть	12	33
говоря уже	2	4
и если	5	3
по себе	11	8
и тем	7	4
содержит в	8	2
в них	5	2
тем что	3	4
хотя и	5	3
а только	6	6
в условиях	3	2
или иные	4	3
или других	2	3
не существует	5	6
в том	20	12
но в	8	6
все равно	3	3
все же	2	8
в частности	2	5
и ее	4	2
относится к	2	6
вообще не	3	4
как будто	11	6
из этого	3	2
так и	10	7
об этом	6	2
его в	2	3
говорить о	2	10
и в	20	35
не будет	2	11
вместе с	5	2
в качестве	10	2
здесь не	7	2
ли сказать	2	2
чтобы не	2	2
является здесь	2	2
другой стороны	6	5
все это	9	4
при этом	6	3
представить себе	2	4
и с	7	10
и ни	5	3
уже в	4	3
не являются	2	3
да и	5	10
что мы	3	14
и уж	2	5
же и	3	2
что он	8	4
также и	13	12
с тем	4	3
в этом	9	17
и вполне	5	4
еще не	7	10
в то	4	6
что иное	2	3
как раз	4	8
в самом	2	5
другими словами	3	6
только один	2	3
это и	4	3
слова то	2	3
каждый раз	5	3
то и	5	4
как знак	4	2
во всех	4	2
себе и	3	2
и не	28	37
смысле слова	15	7
в виде	22	6
и наконец	4	3
даже и	13	18
мы можем	3	6
на самом	5	4
это значит	10	4
идет речь	2	2
при помощи	10	8
совершенно не	3	2
как же	2	4
и без	6	5
не просто	16	11
но и	14	16
учение о	3	2
и независимо	2	2
того чтобы	2	2
казалось бы	3	7
для того	3	3
тут же	3	8
потому что	15	13
что всякий	3	5
только не	4	3
тем более	4	10
по содержанию	2	2
еще более	2	2
в его	3	7
в той	8	2
можно сказать	5	6
тем самым	4	7
в каком	6	4
были бы	3	2
мы все	3	3
мы не	7	7
из которых	3	2
