3gram	Vygotskiy_Psychologia_partition_part3_wordlist_3gram	Vygotskiy_Psychologia_partition_part4_wordlist_3gram
и в самом	2	10
то что в	3	2
на то что	6	12
во всяком случае	3	2
для того чтобы	19	8
о том что	10	3
то что он	3	2
в сущности говоря	2	7
смысле этого слова	3	2
на самом деле	5	2
заключается в том	3	6
легко показать что	2	3
то время как	2	2
все то что	11	6
мы видим что	2	7
речь идет о	2	3
в том что	12	11
к тому что	5	2
что в этой	2	2
в то время	2	2
вместе с тем	2	2
в какой мере	2	2
и в этом	3	3
в самом деле	7	18
о том как	2	2
и та же	2	2
с точки зрения	4	9
с самого начала	5	6
не то что	3	2
то же самое	6	8
очень легко показать	2	3
мы все время	2	2
с другой стороны	2	5
и т п	3	5
с одной стороны	3	5
и т д	2	4
совершенно ясно что	3	5
он говорит что	2	2
до сих пор	3	5
