3gram	Losev_DialektikaMifa_partition_part4_wordlist_3gram	Losev_DialektikaMifa_partition_part1_wordlist_3gram
не имеет никакого	3	2
той или другой	4	3
на то что	4	3
и стало быть	2	4
по сравнению с	2	2
сам по себе	6	2
сама по себе	8	5
случае не есть	2	2
ничего не говорит	4	4
по крайней мере	4	7
та или иная	3	2
и в частности	2	2
то и другое	2	2
в том что	7	9
не есть ни	6	9
ни в каком	8	4
или по крайней	2	3
то или иное	2	3
и в этом	3	3
д и т	2	2
не имеет ничего	3	2
в то же	4	6
это значит что	9	7
с точки зрения	12	9
иметь в виду	3	2
имеет ничего общего	3	2
тех или других	2	3
ни на что	2	2
ничего общего с	3	2
ровно ничего не	3	6
и в то	2	2
т е о	2	3
само по себе	5	4
т д и	2	3
и т д	19	15
точно так же	2	2
не может быть	3	6
это и есть	2	4
в этом смысле	3	4
то же время	4	6
что миф есть	3	2
я утверждаю что	4	4
миф не есть	11	8
