2gram	Losev_ProblemaSimvolaiRealistich_partition_part5_wordlist_2gram	Losev_ProblemaSimvolaiRealistich_partition_part3_wordlist_2gram
для них	2	3
не так	3	4
мы имеем	2	2
связи с	8	7
разного рода	2	4
никогда не	6	7
как будто	3	3
в нем	9	6
так же	5	5
можно было	4	2
есть в	3	2
из этого	3	4
так и	10	7
об этом	3	4
его в	3	6
в своей	5	22
это не	9	2
с точки	2	8
прежде всего	3	6
раз и	4	2
в ее	4	3
как о	5	4
в данном	9	2
в заключение	3	2
и в	44	30
таком случае	4	2
но не	3	7
вместе с	2	7
то есть	34	21
в стихотворении	2	14
к тому	3	2
значение и	5	2
в качестве	3	4
данном случае	7	2
для нас	16	10
здесь не	8	7
нас в	4	4
именно в	2	3
другой стороны	5	6
тоже не	5	2
при этом	4	4
по крайней	5	4
в настоящее	2	3
настоящее время	2	3
совсем не	2	3
мы будем	2	2
в результате	2	7
этом стихотворении	2	2
по поводу	2	2
и другие	3	3
и с	9	5
однако в	2	3
уже в	3	2
да и	5	2
и как	3	6
поэтому и	2	2
гораздо более	5	4
того что	8	3
едва ли	5	4
точки зрения	5	10
в отношении	2	3
в символе	13	2
не менее	10	5
в чем	4	2
что он	9	7
в своем	5	11
так что	12	11
это уже	3	2
тем не	10	5
также и	16	12
сравнении с	2	3
с тем	5	5
что они	5	3
только тогда	2	3
в таком	5	2
и является	4	2
то же	13	2
а также	4	3
как бы	9	6
и нет	2	2
сих пор	2	2
что в	8	5
и притом	4	5
уже не	7	6
в этом	17	17
и вполне	5	4
бы то	4	2
человека но	3	2
нас и	2	2
того же	2	4
необходимо сказать	3	4
по мнению	2	2
с одной	2	3
кроме того	3	2
здесь в	3	2
никак не	9	8
тех или	5	2
всякого рода	4	2
мы и	2	2
он в	2	3
только еще	3	3
дело в	4	2
и о	5	5
еще не	5	3
в то	9	4
и для	2	6
и вообще	8	9
так как	9	6
что иное	4	3
нисколько не	2	5
как раз	8	5
и у	2	5
но уже	3	2
было бы	8	4
в сравнении	2	3
в самом	3	5
же не	2	4
нет никакого	4	3
и до	2	2
таким образом	9	13
тем же	2	3
а в	5	6
себе а	3	2
человеческой жизни	2	2
до сих	2	2
подобного рода	3	7
на то	3	2
вовсе не	37	8
а именно	8	12
то и	5	2
некоторого рода	10	4
как мы	8	2
без всякого	3	2
все эти	7	2
он и	2	5
жизни и	6	2
иной раз	3	2
точно так	3	3
конце концов	3	6
только и	8	3
или иных	4	2
же рода	2	3
не в	13	7
такого рода	6	2
но только	6	3
у нас	10	7
но все	3	4
об его	4	2
и не	35	12
может быть	28	7
ни в	8	4
смысле слова	8	3
в виде	6	10
даже и	16	4
и все	3	9
мы можем	6	5
о том	6	12
такого же	2	3
в этой	3	10
мы читаем	2	6
при помощи	8	6
по существу	2	2
и к	6	4
в связи	7	7
иное как	4	3
в себе	8	4
что у	3	5
и тогда	3	2
и без	4	2
что здесь	5	2
только в	19	9
не просто	23	5
но и	10	13
в другом	2	3
не что	4	3
то время	4	3
жизнь и	2	3
из них	2	2
не то	2	2
и сам	5	4
и более	2	2
и за	2	2
находим в	3	2
то ни	6	2
тут же	4	6
что и	9	6
как в	5	2
то что	23	18
и после	2	3
как и	10	7
потому что	25	13
но даже	4	4
тоже имеет	2	2
нас не	5	3
его не	2	2
в которой	2	5
если не	3	4
будто бы	3	5
и сама	2	2
ясно что	6	4
жизнь в	3	3
с этой	3	2
он сам	4	3
и его	5	6
и только	6	2
когда он	2	2
самом деле	3	2
он не	8	3
не может	7	5
в его	9	12
в нашей	2	2
крайней мере	5	4
и то	14	5
мы выше	4	2
с ним	7	3
не только	14	18
по себе	25	2
том что	12	17
можно сказать	6	6
бесконечный ряд	8	2
отнюдь не	10	4
и тем	9	3
в виду	10	3
тем что	4	2
а не	18	5
хотя и	5	8
мы не	7	2
указывает на	7	3
мы находим	7	7
в ней	5	3
и даже	14	14
есть только	4	3
во всяком	9	2
же в	3	3
гораздо больше	2	2
который в	2	9
свой собственный	3	2
как символа	2	6
в котором	2	2
в самой	2	3
в конце	5	8
для себя	2	5
хотя бы	3	2
или в	4	4
ничего не	3	2
еще и	7	4
в начале	2	3
всяком случае	6	2
в бесконечный	7	2
свое собственное	2	2
в том	21	12
а с	2	4
в таких	3	2
но в	12	9
и что	7	6
с другой	7	6
является символом	3	2
время как	4	3
сказать что	16	9
все же	6	9
однако для	2	2
в частности	2	4
