2gram	Vinokur_StatiiOPushkine_partition_part2_wordlist_2gram	Vinokur_StatiiOPushkine_partition_part1_wordlist_2gram
между тем	3	5
он был	3	2
вообще не	2	3
пушкин писал	5	4
никогда не	5	3
что это	4	3
работы пушкина	2	3
так же	5	3
в москве	2	2
в нем	5	4
борисе годунове	2	32
мне кажется	5	3
его в	2	2
так и	9	9
об этом	3	6
речь идет	4	4
с точки	8	2
несмотря на	2	2
в своей	6	7
прежде всего	7	5
в ее	4	2
словаре академии	3	2
но это	6	3
пушкина к	3	5
со стороны	6	2
в данном	14	2
и в	44	29
но не	3	3
по рукописям	3	3
пушкиным и	4	3
оба эти	2	3
если бы	9	2
пушкина от	2	4
в качестве	4	5
для пушкина	3	21
что пушкин	8	15
пушкина который	2	3
должна была	4	2
и т	30	9
для него	6	4
должен был	2	4
именно в	6	4
другой стороны	7	3
все это	5	11
при этом	2	2
пушкин был	2	4
пушкина не	5	6
и потому	2	2
в результате	3	2
этот вопрос	4	2
по поводу	7	8
с этим	3	3
и с	3	4
по его	2	3
того что	9	5
в отношении	9	2
далее в	2	2
в пушкинское	2	2
точки зрения	11	5
том смысле	2	2
пушкина это	4	2
академии российской	4	2
не менее	5	3
что он	10	13
что с	2	2
так что	6	3
в своем	2	9
была бы	5	5
что эта	2	3
тем не	2	2
материал для	3	3
также и	9	2
и те	2	2
обстоятельство что	3	4
в числе	2	2
что они	7	2
то же	5	2
бахчисарайского фонтана	5	11
а также	2	2
как бы	4	5
сам пушкин	2	3
сих пор	7	5
что в	30	19
за то	3	3
в этом	21	21
пушкина является	3	2
ни с	3	2
того же	3	2
пушкина и	13	9
очень большое	2	2
дело в	6	4
в то	9	2
т е	15	10
и вообще	3	2
так как	5	2
у пушкина	8	12
как раз	4	8
в статье	7	2
в тех	3	2
было бы	17	5
в рукописи	4	2
то обстоятельство	2	4
в самом	7	7
случае не	2	2
тем же	3	2
таким образом	7	10
в печати	5	4
в печатном	3	4
своего рода	3	5
ни одного	2	3
до сих	7	6
к сожалению	3	2
борису годунову	2	3
по этому	3	2
на то	4	2
вовсе не	19	6
вопрос о	4	6
на вопрос	4	3
все эти	5	2
например в	8	3
к пушкину	2	3
очень мало	3	2
как это	4	2
внимание на	3	4
вряд ли	5	3
т п	9	3
между прочим	2	12
сочинений пушкина	28	5
не в	12	4
самого пушкина	5	3
достаточно для	2	2
так например	7	7
у нас	11	3
но все	4	7
такого рода	2	2
но также	9	4
и не	16	9
может быть	15	2
даже в	3	2
пушкина на	3	4
ни в	3	3
только с	2	2
и сейчас	4	3
по словам	4	4
на самом	6	3
нового академического	2	2
о том	17	17
и чернышев	66	10
в россии	4	3
в этой	11	2
при помощи	2	4
по существу	2	2
я не	7	7
совершенно не	5	2
пушкина как	6	3
в себе	2	2
в автографе	2	2
что у	4	4
этом отношении	7	9
только в	10	2
но и	10	19
в другом	3	4
не является	3	3
дело не	4	2
в истории	3	2
не по	3	2
того чтобы	11	6
из них	8	3
не имеет	4	2
и сам	2	2
бориса годунова	15	74
что и	6	2
и более	2	2
в этих	2	3
для того	10	7
и чернышева	41	2
как в	13	3
мере в	2	2
должно было	2	3
которая была	2	2
идет о	2	3
то что	18	11
как и	9	2
т д	21	6
потому что	6	9
в которой	4	11
пушкина для	5	2
если не	2	2
свободен от	2	2
в области	14	2
в пользу	2	3
в борисе	2	28
и это	2	2
в и	130	13
что этот	2	2
говорит о	3	2
с этой	3	2
отметить что	2	2
и его	8	6
самом деле	11	3
подчеркнуть что	2	3
это слово	4	3
он не	2	9
не может	8	2
еще более	4	4
в г	3	7
в его	9	13
и я	3	2
в той	6	5
не только	18	19
к борису	2	3
и речи	2	2
том что	29	27
в какой	3	2
раз в	2	2
пушкина в	24	18
на этот	3	2
во время	3	2
а как	2	4
для которых	2	2
в каком	3	2
издания сочинений	6	2
в словаре	3	2
того времени	5	4
тем что	5	3
а не	16	5
же как	3	3
и даже	5	3
пушкинское время	2	2
годунова в	2	4
в ней	3	7
кажется что	3	3
во всяком	6	3
тому что	3	7
это очень	3	2
пушкина но	8	4
г в	5	5
не было	4	3
но с	3	4
в котором	5	7
этому поводу	2	2
в конце	3	2
пушкина с	3	7
хотя бы	6	3
что на	2	3
ничего не	2	4
еще и	2	3
в начале	3	3
всяком случае	6	3
там где	5	2
в том	36	27
а с	3	3
пушкина над	2	4
русского языка	2	3
другом месте	2	2
но в	10	8
и что	4	6
конечно и	3	2
говорит об	2	2
с другой	9	4
но он	2	3
времени не	4	2
и по	5	3
сказать что	7	2
все же	8	6
академического издания	30	4
в частности	4	4
