3gram	Ircho_Komedia_partition_part3_wordlist_3gram	Ircho_Komedia_partition_part2_wordlist_3gram
так или иначе	3	2
до тех пор	3	3
во всяком случае	2	3
для того чтобы	4	6
на этот раз	4	2
что и в	2	2
о том что	4	4
в афинах в	3	2
и с этой	2	2
то время как	2	2
речь идет о	2	3
новой аттической комедии	2	5
бы то ни	2	2
по отношению к	3	3
в том что	5	9
вместе с тем	4	3
в то время	3	2
к тому же	10	4
судя по всему	2	3
в то же	3	4
у того же	2	3
в третейском суде	7	6
и т п	2	3
с одной стороны	2	3
в связи с	3	3
то же время	3	4
до сих пор	2	9
то ни было	2	2
