2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part4_wordlist_2gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part3_wordlist_2gram
между тем	2	2
в античности	4	2
никогда не	2	6
в нем	10	17
влияние на	12	2
в своей	3	3
так и	6	4
есть в	3	6
это не	6	5
для достоевского	3	2
с точки	2	9
прежде всего	15	9
но это	3	6
в одной	2	2
в заключение	2	2
и в	53	46
карнавальный смех	5	4
карнавального мироощущения	13	2
одна из	7	2
но не	5	4
вместе с	2	2
то есть	48	40
на площади	2	5
перед нами	5	12
во сне	5	2
отношение к	6	3
здесь не	4	4
и так	3	2
в большей	2	2
все это	8	6
при этом	3	5
и одновременно	4	2
живет в	2	2
времени и	2	2
человека и	7	3
и другие	9	3
с этим	2	2
и с	6	7
уже в	2	4
да и	2	4
точки зрения	4	11
не менее	3	2
что он	4	6
так сказать	5	5
не знает	4	4
также и	4	3
в большинстве	4	9
есть и	2	2
во всем	2	4
большей или	3	2
то же	6	6
обычной жизни	3	3
на все	2	2
как бы	14	19
и их	2	3
между ними	2	10
сих пор	5	8
что в	2	4
произведениях достоевского	3	3
творчестве достоевского	5	2
в этом	8	16
братьях карамазовых	2	2
в жизни	8	5
того же	2	3
кроме того	3	4
здесь в	10	2
здесь конечно	4	2
отчасти и	2	2
мы и	2	3
той же	5	3
карнавального типа	15	2
в их	2	4
в духе	8	2
в мире	5	3
на некоторых	2	2
еще не	5	7
в то	5	5
и для	4	3
они не	3	2
но здесь	2	3
так как	7	5
в сне	7	2
значение для	2	3
было бы	5	3
карнавальное мироощущение	10	2
к самому	4	2
в самом	2	9
и до	5	3
таким образом	6	4
а в	2	2
у достоевского	17	16
его творчества	6	3
до сих	5	8
своего рода	3	4
образов и	4	2
вовсе не	3	9
и т.п	31	14
что я	2	6
как мы	5	12
эпохи возрождения	5	2
произведений достоевского	2	6
и т.д	2	3
например в	5	4
все эти	9	4
жизни и	9	5
преступлении и	2	2
достоевского в	3	8
здесь и	4	3
во всех	12	5
не в	2	10
мир наизнанку	3	2
значение в	4	2
себе самому	6	4
карнавализации в	4	3
и не	15	27
может быть	12	23
в себя	6	4
а между	2	2
на пороге	10	12
и наконец	2	4
конечно не	4	8
большинстве случаев	4	8
мы можем	5	4
к себе	6	6
о себе	2	5
настасьи филипповны	2	6
и все	10	9
о том	2	5
и во	4	3
почти всегда	3	3
более того	6	3
по существу	5	3
и к	5	9
в себе	5	7
правда в	2	3
только в	4	6
себя и	2	3
но и	7	12
мы здесь	3	2
для понимания	2	2
сказать что	10	2
как он	2	3
этих двух	2	4
творчество достоевского	2	2
в этих	5	4
что и	3	3
как в	7	4
творчества достоевского	10	2
слово в	2	6
то что	9	4
как и	11	12
потому что	5	4
достоевского и	6	2
и мысли	2	2
в карнавализованной	2	3
в каждом	4	6
оба полюса	2	2
смех в	2	3
и это	3	3
жизнь в	2	3
том числе	11	4
слова и	3	7
он сам	4	2
в братьях	2	2
более или	3	3
и его	10	6
числе и	10	3
смешного человека	18	3
не может	2	19
он не	3	4
еще более	5	3
в его	8	9
в известной	2	2
одним из	3	3
и наказании	2	2
в той	2	3
с ним	2	2
к другим	2	2
с его	2	5
не только	4	14
том что	5	4
можно сказать	8	4
мы уже	5	3
у рабле	3	2
или меньшей	3	2
с самим	5	5
бытия и	2	3
меньшей степени	2	2
и они	2	2
и тем	2	2
могут быть	4	2
тем что	2	3
а не	11	11
их в	2	3
хотя и	4	6
мы не	4	4
и даже	2	3
пороге в	3	2
мы находим	2	5
и идеи	4	3
и других	9	4
же время	5	5
карнавализации для	3	2
и на	18	11
в рассказе	2	2
героев достоевского	2	3
в условиях	4	3
не было	4	2
самим собою	4	3
по своей	9	3
особенно в	4	5
по отношению	2	5
в конце	3	3
или менее	3	3
например у	3	2
хотя бы	2	2
ничего не	6	2
смен и	5	3
в том	14	9
но в	5	6
и через	3	2
конечно и	4	3
с другой	2	3
и элементы	2	2
в преступлении	2	2
но он	2	3
в сущности	10	7
и по	3	2
все равно	4	2
далеко не	2	3
к одному	2	6
