2gram	Vygotskiy_Psychologia_partition_part2_wordlist_2gram	Vygotskiy_Psychologia_partition_part5_wordlist_2gram
понятно что	2	2
никогда не	9	9
так же	13	18
утверждает что	2	5
произведения искусства	2	4
в данном	3	4
увидеть что	2	2
к тому	8	7
для нас	3	2
по сравнению	4	2
с этим	2	4
он дает	2	2
и как	7	7
едва ли	2	4
точки зрения	7	17
того как	2	4
же самое	5	6
в психологии	3	7
говорит что	6	7
стиха и	2	2
материал для	2	4
что они	5	7
в целом	5	4
как бы	19	6
басни и	2	3
и говорит	3	2
что в	24	20
отличается от	2	2
что всякое	4	2
совершенно верно	4	2
никак не	6	4
он в	2	3
той же	3	8
учения о	3	2
в него	4	2
было бы	5	11
исходит из	4	5
только на	4	5
в нас	13	3
таким образом	20	21
а в	4	4
художественного произведения	3	5
что если	6	6
этой теории	2	2
очевидно что	2	2
жизни и	6	4
это только	3	3
но только	3	4
как она	4	4
и другое	2	2
по существу	2	3
в себе	5	2
художественное произведение	5	6
только в	5	7
в искусстве	6	21
на искусство	2	3
точно как	2	3
сравнению с	4	2
содержания и	4	2
и это	8	4
говорит о	4	2
что самое	2	2
и его	6	7
и только	3	2
до конца	2	3
не может	9	17
он не	3	6
могли бы	4	2
совершенно справедливо	3	6
по себе	7	12
как только	4	2
что по	2	2
и тем	6	4
в них	4	2
что тот	2	3
тем что	6	9
и заключается	4	3
и следовательно	2	2
не существует	3	2
когда говорит	8	3
в том	27	37
но в	5	3
s и	2	3
но он	3	3
все же	7	4
в частности	4	3
мы имеем	8	4
как будто	6	7
что это	8	8
и при	2	2
полагал что	2	2
из этого	2	4
так и	3	3
об этом	3	3
действия и	4	2
с точки	2	10
в ее	3	2
и в	30	32
вместе с	12	2
оба эти	2	2
должен был	4	2
другой стороны	5	2
все это	2	5
при этом	8	13
представить себе	2	3
знаем что	2	4
указывает что	5	4
этот вопрос	4	3
и с	2	4
психологии искусства	5	15
эта теория	5	2
что он	17	13
с и	5	12
именно потому	3	2
показывает что	3	3
в стихе	4	7
с тем	8	11
в этом	14	13
мы получим	2	2
видим что	3	3
что искусство	4	4
формы и	3	6
в их	3	3
еще не	5	2
в то	2	5
образом все	2	2
как раз	13	5
в самом	14	12
отличие от	2	2
и до	2	4
до сих	5	5
в басне	2	15
к искусству	3	5
конце концов	2	3
во всех	2	3
т п	3	8
себе и	2	2
и не	6	10
показать что	12	5
мы можем	7	3
состоит в	3	3
в одном	2	2
на самом	2	5
так в	3	2
это значит	2	3
не как	3	3
совершенно не	6	4
но и	6	10
и когда	9	4
того чтобы	20	14
психологической теории	2	3
этих двух	7	2
при таком	3	4
казалось бы	4	2
для того	20	13
и поэтому	3	4
материала и	5	2
увидим что	9	2
потому что	23	21
искусство как	2	4
в которой	3	2
в каждом	2	2
художественном произведении	2	5
которых мы	4	3
когда он	5	10
в его	4	2
том и	2	2
не могли	4	3
это может	2	2
в каком	3	3
которого мы	2	3
с можно	2	2
в своих	5	9
имеет дело	4	3
же как	2	4
мы не	3	3
одной и	2	4
указывает на	4	3
из которых	4	2
в ней	4	5
что именно	5	3
действие и	3	2
чтобы показать	2	3
и совершенно	4	3
том чтобы	2	3
что на	3	4
и отсюда	3	2
это в	3	2
а с	5	2
оказывается совершенно	2	3
художественной формы	3	12
в нем	7	4
можно было	3	7
если же	2	4
несмотря на	5	4
что она	6	16
в своей	4	3
это не	3	2
в состоянии	3	2
но не	7	2
то есть	13	21
если бы	11	6
тот же	3	6
данном случае	3	4
и т	7	10
и так	2	3
что оно	6	2
противоречие с	2	2
искусства и	5	9
по самому	2	3
каким образом	2	3
что с	6	3
так что	3	3
в таком	3	2
дело с	5	8
во всем	2	3
на этом	6	3
совершенно ясно	7	7
когда она	3	4
стоит только	5	2
это совершенно	2	2
из того	3	2
и для	6	4
и той	2	4
же самую	2	2
на том	2	2
если мы	16	12
искусства как	4	2
мы видим	8	4
полагает что	3	2
искусства с	3	2
одного и	2	2
в прежней	2	2
мы должны	3	3
во внимание	5	2
для этого	9	3
как он	2	2
из самых	2	2
в этих	3	2
и таким	2	2
то что	37	21
что все	6	9
ответ на	5	2
и здесь	6	2
говорит он	2	4
с этой	2	4
как говорит	4	3
с его	2	2
не только	16	12
заключается в	8	12
том что	21	21
на этот	3	2
могут быть	8	4
от того	4	4
а не	8	7
мы находим	2	2
и даже	2	5
то это	4	3
именно на	5	2
само по	2	3
и на	3	5
с но	2	2
есть только	2	5
с той	2	4
он говорит	3	5
ничего не	2	4
все время	20	6
показать как	4	2
в сущности	12	7
сказать что	9	7
сам по	3	4
сейчас же	8	5
как на	11	5
есть нечто	3	2
и он	2	3
искусства в	2	5
на деле	8	8
в свою	3	3
того что	8	8
в отношении	2	3
чувства и	5	2
сводится к	5	2
что при	3	9
была бы	3	2
сами по	2	3
то же	7	13
сих пор	5	5
в которых	2	3
образом и	2	4
того же	2	2
так как	9	12
и мы	16	6
меньше всего	3	2
же точно	6	10
за основу	3	2
с двумя	3	2
на то	17	11
вовсе не	3	2
все эти	2	7
не могут	3	3
как это	7	4
в романе	2	2
не в	8	8
может быть	11	18
всякий раз	2	2
его с	2	2
ни в	3	2
с таким	2	8
мы знаем	2	7
и сейчас	3	3
и все	4	4
о том	10	6
в этой	5	6
и к	4	3
на примере	4	2
что у	3	5
этом отношении	3	5
онегина и	3	2
совершенно правильно	2	4
из них	2	4
когда мы	6	2
что и	3	17
как в	3	9
как и	6	10
т д	3	2
один из	5	3
для психологии	3	2
ясно что	6	7
