3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part5_wordlist_3gram	Bakhtin_ProblemyPoetikiDostoevskogo_partition_part2_wordlist_3gram
он и не	2	2
в конце концов	3	3
и в самом	2	3
той или иной	3	4
в мире достоевского	2	3
в его целом	3	2
о себе самом	3	5
смысле этого слова	2	2
в братьях карамазовых	2	3
но все же	2	2
в той или	2	4
друг с другом	2	4
протяжении всего романа	2	2
по отношению к	8	6
или иной степени	2	2
человек из подполья	2	7
в том что	4	2
друг к другу	3	3
мы можем сказать	2	2
подобно тому как	2	2
но в то	3	4
мы уже говорили	2	5
и в этом	6	2
в большинстве случаев	2	2
в романах достоевского	5	4
нет ни одного	2	2
в то же	3	10
с точки зрения	9	2
можем сказать что	2	2
на протяжении всего	2	4
не может быть	6	3
и не может	2	2
в этом смысле	5	3
то же время	3	10
в произведениях достоевского	3	2
