3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part8_wordlist_3gram	Bakhtin_FransuaRableINarodnaiaKultura_partition_part7_wordlist_3gram
с начала и	2	3
в романе рабле	5	14
хвалы и брани	2	4
хвала и брань	3	3
кн ii гл	2	2
в эпоху рабле	3	5
в четвертой книге	3	3
как и в	2	4
как мы видели	4	2
в том что	3	6
и до конца	2	4
но в то	3	2
в большинстве случаев	2	6
мы уже говорили	3	7
в третьей книге	2	4
начала и до	2	3
в то же	9	10
с точки зрения	3	2
кн iii гл	4	2
том числе и	2	2
дело в том	2	2
в эпоху ренессанса	3	2
в средние века	4	2
более или менее	2	2
в эпизоде с	4	2
то же время	9	10
таким образом и	2	3
в том числе	4	3
