3gram	Vygotskiy_Myshlenieirech_partition_part3_wordlist_3gram	Vygotskiy_Myshlenieirech_partition_part2_wordlist_3gram
в развитии мышления	4	6
на то что	6	3
во всяком случае	6	4
по сравнению с	5	3
для того чтобы	10	7
ступень в развитии	3	6
в собственном смысле	3	6
о том что	4	3
в отличие от	3	6
мы склонны видеть	2	2
в зависимости от	6	5
смысле этого слова	3	4
в эту пору	3	2
друг с другом	2	5
заключается в том	7	7
мы знаем о	2	2
отношения между знаком	3	2
с помощью которого	2	2
развития мышления и	2	3
мышление и речь	2	3
по отношению к	5	2
в том что	21	17
мы могли бы	4	7
как мы уже	3	2
в развитии речи	10	4
в генетическом отношении	2	2
мышления и речи	9	18
фазу в развитии	4	2
в этом отношении	3	3
мы уже говорили	3	5
речи и мышления	3	2
собственном смысле слова	3	2
все что мы	4	2
является то что	2	4
как уже сказано	2	5
в последнее время	4	3
в развитии ребенка	3	2
в высшей степени	7	6
а с другой	4	3
можно было бы	5	5
между знаком и	3	2
мы не станем	2	4
по своей психологической	3	2
с одной стороны	7	5
само по себе	2	2
в связи с	6	5
не может быть	6	2
в пользу того	2	2
функциональное употребление знака	2	2
что мы знаем	6	3
в этом смысле	2	2
развития детского мышления	7	2
мы видели что	3	3
зависимости от этого	2	2
состоит в том	3	3
